,Hardness,Al,Co,Cr,Cu,Fe,Ni
216,458,0.167,0.167,0.167,0.167,0.167,0.167
217,581.7,0.333,0.167,0.167,0,0.167,0.167
218,430.9,0.222,0.222,0,0.222,0.222,0.111
219,420,0.208,0.208,0,0.208,0.208,0.167
220,323.8,0.182,0.182,0,0.182,0.182,0.273
221,299.2,0.167,0.167,0,0.167,0.167,0.333
222,279.6,0.143,0.143,0,0.143,0.143,0.429
223,305.4,0.18,0.3,0.1,0,0.1,0.32
224,863,0.43,0.23,0.21,0,0.08,0.05
225,840,0.46,0.21,0.18,0.05,0.05,0.05
226,183,0.157,0.189,0.189,0.189,0.189,0.189
227,110,0.159,0.235,0.235,0,0.235,0.235
228,162,0.138,0,0.192,0.192,0.192,0.385
229,170,0.157,0,0.189,0.189,0.189,0.377
230,304,0.163,0,0.313,0,0.469,0.156
231,134,0,0.25,0.25,0.25,0.25,0
232,180,0.07,0.233,0.233,0.233,0.233,0
233,207,0.111,0.222,0.222,0.222,0.222,0
234,271,0.167,0.208,0.208,0.208,0.208,0
235,476,0.245,0.189,0.189,0.189,0.189,0
236,510,0.273,0.182,0.182,0.182,0.182,0
237,557,0.31,0.172,0.172,0.172,0.172,0
238,567,0.333,0.167,0.167,0.167,0.167,0
239,603,0.365,0.159,0.159,0.159,0.159,0
240,624,0.385,0.154,0.154,0.154,0.154,0
241,657,0.412,0.147,0.147,0.147,0.147,0
242,644,0.429,0.143,0.143,0.143,0.143,0
