,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x000001ADB3993880>,0.8761384935919514,66.5910058072843,0.03461222957800004,32.71998823102015,48.28410166253327,0.9166316049179021,0.9181295722995598,-49.51956392821881,0.030887839781049982,-25.452368167459902,-35.648903711352304,0.9297483939880911,7,7,6,4,5,4,0,1,2,1,0,0,4
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=350, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9107638293336844,56.52204396575683,0.023377105028000646,24.104049682617188,41.354565938313804,0.9241144022306698,0.9171397275690196,-49.225548602466645,0.021894792591270803,-26.877853012084962,-35.75748012966581,0.9248835441944552,3,3,3,0,3,3,1,0,0,3,1,1,6
"ExtraTreesRegressor(max_depth=15, n_estimators=61, n_jobs=-2)",0.9295363596892334,50.226155149609085,0.023124631887587985,31.401639344262264,39.736065573770475,0.9504946983123809,0.9006059118703413,-56.49008716036565,0.026228077661442546,-22.992213114754087,-39.22054644808743,0.9198605414722284,0,0,2,3,1,0,2,3,1,0,3,3,12
"GradientBoostingRegressor(learning_rate=0.09, n_estimators=350, subsample=0.6)",0.9193964259723507,53.718582652772234,0.018582189395617687,31.18659999506339,39.629285377706196,0.9427989447217524,0.8796115271092418,-53.482953116493256,0.030948854936512657,-25.658755690979525,-38.31623430432707,0.9221811485011211,1,1,1,2,0,1,3,2,3,2,2,2,14
"RandomForestRegressor(max_depth=14, min_samples_split=5, n_estimators=50)",0.8797002010984672,65.62659119160344,0.02868138601724459,33.701238095238125,50.6789993843194,0.9113655048779281,0.8708007799735075,-66.82305195504858,0.03445328634314743,-32.96506135642136,-49.35223439353856,0.8766862818733889,6,6,4,6,6,6,4,4,4,5,4,4,25
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(50, 8), max_iter=60,
             solver='lbfgs')",0.8223827495220266,79.74252207098505,0.052844522503052285,39.61117566632541,55.8604413157583,0.8530795739800354,0.8041574708055415,-69.5870705693517,0.0368219380043657,-32.12549400014942,-52.552925738680315,0.8284511224257948,9,9,10,8,8,10,8,5,5,4,5,9,36
"LGBMRegressor(learning_rate=0.11, max_depth=13, n_estimators=650, num_leaves=5)",0.8172900323883399,80.87764857310304,0.04853535129930868,42.24960022035651,63.723537584345635,0.8547893790877608,0.8304840435931832,-71.46794772961191,0.06832171456352133,-46.64914601079514,-56.65947207292852,0.865575431495212,10,10,9,9,12,9,5,7,9,8,8,5,42
"AdaBoostRegressor(learning_rate=0.001, loss='square')",0.8450416802124304,74.48260288241005,0.03309376421702157,37.906140350877166,56.7746957612391,0.8760128509569461,0.780617305745045,-74.7106808169964,0.043180059481964704,-42.05152586098757,-53.14553025401635,0.8340599877856725,8,8,5,7,9,8,9,9,6,7,6,8,45
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=200)",0.886168102762075,63.838016252747494,0.040059272866627894,48.6168292748917,52.660043831168835,0.9047764956416607,0.8290772529060266,-70.5971896496348,0.057085192237416926,-49.327955784632046,-58.789636189594354,0.857112151452282,5,5,7,11,7,7,6,6,8,10,10,6,46
"SVR(C=1.6, cache_size=3000, epsilon=0.09, gamma=4, kernel='poly')",0.9018966730257107,59.26376843870262,0.04140964317267984,27.779779459727052,42.599921924400824,0.9117745027839093,0.8100471760454498,-73.24086591083842,0.07417455834499516,-48.3142448252605,-57.19757988936349,0.8433813936757808,4,4,8,1,4,5,7,8,10,9,9,7,50
"DecisionTreeRegressor(max_depth=15, min_samples_leaf=2)",0.9150145516619672,55.159418708161006,0.01826189596013266,33.5,40.57277777777777,0.9243092273181545,0.7804356216200987,-86.37032927644184,0.05434542739980663,-40.17583333333333,-55.98475925925926,0.8107281604148936,2,2,0,5,2,2,10,13,7,6,7,10,53
"Lasso(alpha=0.1, max_iter=4000)",0.7820040413567388,88.34289297490757,0.07263122864207941,48.85767967538675,63.72104907789779,0.8134526077653075,0.7452742731402863,-85.19937239585043,0.12761265666983854,-55.29071238269171,-67.74890576249828,0.7744245569632418,12,12,11,12,11,12,11,10,12,12,11,12,68
"Ridge(alpha=0.1, solver='saga')",0.7829224239038781,88.15660924349564,0.07351914189154499,49.89222586190536,64.26258486181081,0.8138793715230329,0.7449922651507712,-85.2884174455638,0.11554422158955942,-55.86892776143965,-68.14861563173243,0.7754130763630404,11,11,13,13,13,11,12,11,11,13,13,11,71
LinearRegression(positive=True),0.7801904610765462,88.70960867954203,0.07286240345380006,48.10311460961296,63.67855194300702,0.8119255240737584,0.7420298830281488,-85.84297521069671,0.1792282500184959,-55.07386624085923,-68.03563894008742,0.7706883129519433,13,13,12,10,10,13,13,12,13,11,12,13,74
