,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=350, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9242185892028253,62.866801766204986,0.03580328022779421,36.066650390625,46.739643859863286,0.9258911235944526,0.8979691074699631,-51.80623403042552,0.018382778824677943,-22.611674499511718,-35.636802901495074,0.9021430196380568,4,4,6,5,6,6,0,0,0,0,0,0,0
<catboost.core.CatBoostRegressor object at 0x0000020663C6EFD0>,0.9382949114814726,56.72839726881383,0.02650276153350796,29.497098765024077,42.74352533417485,0.9415311266058863,0.885571383762335,-52.02939117248238,0.019443730358132908,-25.134540032033932,-36.57521672688594,0.897319783675903,0,0,0,3,2,0,1,1,1,2,1,1,7
"GradientBoostingRegressor(learning_rate=0.07, max_depth=9, n_estimators=650,
                          subsample=0.6)",0.9204195167629037,64.42335083278854,0.035550820220409673,27.952347418354634,43.32067175317734,0.9287423814685978,0.8746877531877774,-60.85750848046367,0.024924708947997948,-23.203740783074277,-38.52898255382668,0.8911959321467903,6,6,5,2,3,5,3,4,3,1,3,2,16
"ExtraTreesRegressor(max_depth=10, n_estimators=41, n_jobs=-3)",0.936764455081275,57.42759865785572,0.030012444242334235,18.926200560956715,38.02952809468076,0.9409917090340607,0.8656156486961575,-58.99771057951874,0.024186752480520966,-25.854618882641724,-37.813526198705766,0.8862036247203452,1,1,1,0,0,1,4,3,2,3,2,4,18
"LGBMRegressor(learning_rate=0.11, max_depth=13, n_estimators=500, num_leaves=8)",0.9342657410105796,58.55121474658476,0.030098802479638195,36.96897643429378,44.58644406406196,0.9344428357034347,0.8759831091301038,-53.386250117794404,0.02582325208982831,-30.434538258697955,-39.54977571565592,0.8879381863016402,2,2,2,6,4,3,2,2,4,5,4,3,20
"RandomForestRegressor(max_depth=18, n_estimators=500)",0.929086977437376,60.813923346926934,0.0351557810471812,24.43779999999998,41.86980327868854,0.9348675731840098,0.842699233234981,-63.510960053262274,0.029517440978216233,-27.671990000000005,-42.33475747619048,0.8513212363114786,3,3,4,1,1,2,6,5,5,4,5,6,31
"AdaBoostRegressor(loss='square', n_estimators=140)",0.9232876221717797,63.25177920024243,0.031041946700942923,34.888888888888914,45.914916308965125,0.9298925215564624,0.8495090296508051,-66.92742732456435,0.0334397130789486,-35.83257547229077,-48.29782533712015,0.8569347225952451,5,5,3,4,5,4,5,6,6,6,6,5,34
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=500)",0.8986648396187438,72.69760501697239,0.06845351341441548,57.055204682539,59.42235037600837,0.9092807247514916,0.8107653093033946,-69.89813933213544,0.04868081150769209,-44.72526333333337,-53.865040095363646,0.850455935305372,8,8,9,11,10,7,9,7,8,9,9,7,49
"SVR(C=1.6, cache_size=4000, epsilon=0.01, gamma=4, kernel='poly')",0.8859296283722629,77.1305542440476,0.20295195937088484,44.12759319767929,55.87947356194267,0.8859446408893242,0.8312414674916585,-71.49222204512633,0.08424727124542754,-41.597508290785846,-53.40712414420146,0.8459282066873364,9,9,13,9,8,9,7,8,13,8,8,8,52
"DecisionTreeRegressor(max_depth=5, min_samples_split=10)",0.867180621998062,83.22824653589032,0.051517890655640185,39.375,57.373877843468,0.8793508444284182,0.6928862168414573,-81.50320379356444,0.04357874536080992,-37.89554668534081,-57.58278001603823,0.6911177418154818,10,10,7,7,9,10,10,9,7,7,10,12,55
"MLPRegressor(hidden_layer_sizes=(70, 9), max_iter=60, solver='lbfgs')",0.9077330491480444,69.36862853113605,0.06438701332261655,42.582740372672276,52.8648257349842,0.9088700621103595,0.8122538694410621,-90.11200802904285,0.08419140885274463,-50.77426616529722,-52.89813696452842,0.8138730519068549,7,7,8,8,7,8,8,13,12,10,7,9,59
"Lasso(alpha=0.7000000000000001, max_iter=5000)",0.8639022701990309,84.24913767522865,0.08203701549457157,61.5074759381402,66.7594571973245,0.8644639934686595,0.6889897954356569,-85.42746088761245,0.06834557235748179,-60.331890309554055,-67.39633454172215,0.6977199848580065,11,11,10,13,11,11,11,10,9,13,13,10,66
"Ridge(alpha=0.1, solver='sag')",0.8575268500409151,86.19985535114408,0.10711324840835465,56.96473328889067,67.81554485235456,0.8581165085686021,0.6802051065339375,-85.55389463895033,0.0722255651551379,-59.04427319191869,-67.19500172004318,0.6938217883327746,12,12,11,10,12,12,12,11,10,12,12,11,68
LinearRegression(positive=True),0.8555840545016435,86.78558551887154,0.1441553292956372,58.108284544270646,68.76294058314153,0.8562230385485158,0.6702594194120564,-85.7330864028081,0.07508422006522757,-58.67295531397158,-66.8561358402293,0.6879886983152359,13,13,12,12,13,13,13,12,11,11,11,13,71
