,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni
0,18,609.0,0.308,0.154,0.154,0.077,0.154,0.154
1,19,694.0,0.429,0.071,0.143,0.071,0.143,0.143
2,40,576.0,0.286,0.143,0.143,0.143,0.143,0.143
3,41,149.0,0.07,0.0,0.233,0.0,0.233,0.465
4,42,639.0,0.222,0.222,0.222,0.111,0.222,0.0
5,43,615.0,0.238,0.238,0.238,0.0,0.238,0.05
6,44,175.0,0.0,0.333,0.167,0.167,0.167,0.167
7,45,479.0,0.231,0.192,0.192,0.0,0.192,0.192
8,46,617.0,0.167,0.167,0.333,0.0,0.167,0.167
9,47,388.0,0.158,0.211,0.211,0.0,0.211,0.211
10,48,438.0,0.238,0.238,0.05,0.0,0.238,0.238
11,49,207.0,0.091,0.182,0.182,0.182,0.182,0.182
12,50,580.0,0.23,0.15,0.23,0.08,0.15,0.16
13,51,135.0,0.077,0.308,0.0,0.0,0.308,0.308
14,52,624.0,0.384615385,0.153846154,0.153846154,0.153846154,0.153846154,0.0
15,53,441.0,0.1,0.0,0.35,0.24,0.05,0.26
16,54,139.0,0.0,0.25,0.25,0.0,0.25,0.25
17,55,408.0,0.192,0.0,0.192,0.192,0.192,0.231
18,56,629.0,0.28,0.1,0.27,0.1,0.05,0.2
19,57,290.0,0.123,0.0,0.175,0.175,0.175,0.351
20,58,657.0,0.411764706,0.147058824,0.147058824,0.147058824,0.147058824,0.0
21,59,601.0,0.167,0.167,0.25,0.083,0.167,0.167
22,60,392.0,0.167,0.0,0.167,0.167,0.167,0.333
23,61,315.0,0.138,0.0,0.172,0.172,0.172,0.345
24,62,371.0,0.167,0.0,0.556,0.0,0.0,0.278
25,63,604.0,0.2,0.2,0.2,0.1,0.2,0.1
26,64,454.0,0.1,0.0,0.35,0.26,0.05,0.24
27,65,550.0,0.242,0.0,0.152,0.152,0.152,0.303
28,66,171.0,0.0,0.213,0.213,0.213,0.15,0.213
29,67,720.0,0.25,0.25,0.25,0.0,0.25,0.0
30,68,479.0,0.2,0.0,0.2,0.2,0.2,0.2
31,92,620.0,0.1,0.3,0.3,0.0,0.3,0.0
32,93,125.0,0.0,0.333333,0.0,0.0,0.333333333,0.333333333
33,94,548.0,0.225,0.225,0.225,0.0,0.225,0.1
34,95,655.0,0.359,0.128,0.128,0.128,0.128,0.128
35,96,157.0,0.0,0.167,0.167,0.167,0.333,0.167
36,97,450.0,0.118,0.0,0.294,0.0,0.441,0.147
37,98,200.0,0.074,0.0,0.185,0.185,0.185,0.37
38,99,310.0,0.154,0.154,0.154,0.077,0.154,0.308
39,100,625.0,0.333,0.133,0.133,0.133,0.133,0.133
40,101,555.0,0.213,0.213,0.213,0.0,0.213,0.15
41,102,546.0,0.2,0.2,0.1,0.1,0.2,0.2
42,103,170.0,0.0,0.225,0.225,0.225,0.225,0.1
43,104,516.0,0.2,0.2,0.2,0.0,0.2,0.2
44,105,764.0,0.43,0.06,0.33,0.06,0.06,0.06
45,106,153.0,0.0,0.238,0.05,0.238,0.238,0.238
46,107,338.0,0.149,0.213,0.213,0.0,0.213,0.213
47,108,131.0,0.086,0.229,0.229,0.0,0.229,0.229
48,109,740.0,0.429,0.143,0.143,0.0,0.143,0.143
49,110,472.0,0.1,0.0,0.35,0.25,0.05,0.25
50,111,172.0,0.0,0.222222222,0.222222222,0.111111111,0.222222222,0.222222222
51,112,170.0,0.057,0.0,0.189,0.189,0.189,0.377
52,113,545.0,0.222,0.111,0.0,0.222,0.222,0.222
53,114,415.0,0.2,0.2,0.2,0.2,0.0,0.2
54,115,475.0,0.206,0.159,0.159,0.159,0.159,0.159
55,116,242.0,0.143,0.143,0.143,0.0,0.143,0.429
56,117,451.0,0.167,0.25,0.167,0.083,0.167,0.167
57,118,475.0,0.05,0.317,0.317,0.0,0.317,0.0
58,119,370.0,0.185,0.0,0.185,0.185,0.185,0.259
59,120,702.0,0.462,0.154,0.077,0.077,0.154,0.077
60,121,168.0,0.053,0.211,0.211,0.0,0.263,0.263
61,122,166.0,0.143,0.429,0.0,0.143,0.143,0.143
62,123,624.0,0.175,0.075,0.25,0.0,0.25,0.25
63,124,591.0,0.429,0.143,0.071,0.071,0.071,0.214
64,125,172.0,0.0,0.225,0.225,0.225,0.1,0.225
65,126,576.0,0.306,0.0,0.139,0.139,0.139,0.278
66,127,205.0,0.143,0.286,0.0,0.0,0.286,0.286
67,128,701.0,0.429,0.214,0.071,0.071,0.071,0.143
68,129,304.0,0.063,0.0,0.313,0.0,0.469,0.156
69,130,775.0,0.4,0.2,0.2,0.0,0.2,0.0
70,131,517.0,0.272727273,0.181818182,0.181818182,0.0,0.181818182,0.181818182
71,132,521.0,0.194,0.0,0.161,0.161,0.161,0.323
72,133,510.0,0.272727273,0.181818182,0.181818182,0.181818182,0.181818182,0.0
73,134,527.0,0.184,0.204,0.204,0.0,0.204,0.204
74,135,271.0,0.166666667,0.208333333,0.208333333,0.208333333,0.208333333,0.0
75,136,654.0,0.28,0.08,0.25,0.08,0.19,0.12
76,137,127.0,0.091,0.227,0.227,0.0,0.227,0.227
77,138,207.0,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0.0
78,139,459.0,0.13,0.0,0.28,0.22,0.06,0.31
79,140,546.0,0.231,0.0,0.154,0.154,0.154,0.308
80,141,558.0,0.265,0.147,0.147,0.147,0.147,0.147
81,142,593.0,0.333,0.0,0.133,0.133,0.133,0.267
82,143,125.0,0.0,0.2,0.2,0.0,0.2,0.4
83,144,695.0,0.2,0.267,0.267,0.0,0.267,0.0
84,145,473.0,0.182,0.091,0.182,0.182,0.182,0.182
85,146,278.0,0.107,0.0,0.179,0.179,0.179,0.357
86,147,155.0,0.0,0.2,0.2,0.2,0.2,0.2
