,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.01, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.925851003,59.83312246,0.016798322,23.02745056,39.6148486,0.925953616,0.839572953,-49.7700047,0.017778969,-26.11500885,-35.7446709,0.865807519,2,2,0,1,1,2,1,0,0,1,0,1,3
"GradientBoostingRegressor(learning_rate=0.05, max_depth=5, n_estimators=500,
                          subsample=0.6)",0.926334029,59.63791947,0.018246436,18.68834311,37.63417333,0.926681731,0.832023427,-53.23571767,0.022676467,-26.09112115,-36.29034456,0.852406874,0,0,1,0,0,1,2,1,2,0,1,2,8
<catboost.core.CatBoostRegressor object at 0x00000206697678B0>,0.91306439,64.78700152,0.038143241,32.27066783,48.24481278,0.916293359,0.844605354,-54.47377134,0.026484376,-30.72122236,-38.68863515,0.872532021,5,5,8,5,6,5,0,2,4,4,2,0,12
"ExtraTreesRegressor(max_depth=15, n_estimators=41, n_jobs=-4)",0.926273839,59.66227874,0.020785497,29.90487805,41.10710569,0.927315316,0.821147967,-59.3817845,0.021606532,-30.00823171,-41.23398538,0.836801276,1,1,2,3,2,0,3,4,1,2,3,5,18
"RandomForestRegressor(max_depth=18, min_samples_leaf=2, n_estimators=50)",0.910944069,65.57230498,0.025518102,25.59851905,44.25524514,0.911076103,0.804214795,-58.11280928,0.027964588,-30.32226159,-41.515395,0.84242405,6,6,4,2,3,6,4,3,5,3,4,3,22
"AdaBoostRegressor(loss='square', n_estimators=110)",0.918612564,62.68558899,0.025790459,37.48141696,46.59528067,0.91946286,0.763437632,-60.16593414,0.023408307,-38.95775245,-42.80509136,0.816222577,3,3,5,8,5,3,9,6,3,6,5,7,36
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=200)",0.885423125,74.37680417,0.051560438,40.33416667,55.79577494,0.886141704,0.795830198,-66.64448739,0.043826552,-41.41026649,-49.65566208,0.842396307,10,10,9,9,10,10,5,7,7,7,7,4,37
"LGBMRegressor(learning_rate=0.09, max_depth=7, n_estimators=200, num_leaves=8)",0.889840037,72.92911057,0.03037725,37.38683769,51.26797862,0.889845282,0.785463114,-59.61642951,0.03143464,-33.24526217,-43.41007088,0.800453016,8,8,6,7,7,8,8,5,6,5,6,8,38
"SVR(C=1.3, cache_size=4000, epsilon=0.09, gamma=4, kernel='poly')",0.886939843,73.88288049,0.056628305,33.53278616,55.56062799,0.887135865,0.795698119,-73.56142232,0.070039899,-49.8358144,-55.51477822,0.825945966,9,9,10,6,9,9,6,8,9,10,9,6,48
"DecisionTreeRegressor(max_depth=5, min_samples_leaf=4, min_samples_split=10)",0.916576399,63.46488446,0.024512041,30.14,45.97459048,0.917322068,0.668127425,-75.82242958,0.044206581,-41.43860964,-55.47123956,0.739493343,4,4,3,4,4,4,10,9,8,8,8,9,52
"MLPRegressor(alpha=0.01, hidden_layer_sizes=(60, 8), max_iter=60,
             solver='lbfgs')",0.891159408,72.49106388,0.035166706,42.34852229,52.33062948,0.892272797,0.785906296,-119.5325501,0.130213238,-44.16446981,-56.45673719,0.676331876,7,7,7,10,8,7,7,13,12,9,10,10,61
"Lasso(alpha=0.8, max_iter=3000)",0.847270537,85.87177476,0.062591051,49.19577653,63.47124422,0.847314885,0.648752207,-84.31939604,0.074163509,-56.01623151,-65.15171063,0.668207223,13,13,13,13,13,13,11,10,10,13,13,11,68
LinearRegression(positive=True),0.847897455,85.69535203,0.06182137,46.82225787,63.02863943,0.847921672,0.640471889,-84.84126975,0.095589142,-53.66740761,-64.52627358,0.652774911,12,12,12,11,12,12,13,12,11,11,11,13,71
"Ridge(alpha=0.1, solver='saga')",0.849361105,85.28204141,0.061614028,48.75558321,62.86050088,0.849363689,0.646806954,-84.41562922,0.143434361,-54.96096271,-64.68540953,0.661102307,11,11,11,12,11,11,12,11,13,12,12,12,72
