,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x000001E9B4C72E80>,0.9621079214083385,44.9945414250628,0.02524512496622008,23.225139583667044,33.510923425195124,0.9649378991880473,0.8880303284324722,-50.45841373956355,0.023575010765673497,-25.79622958874571,-35.556454274709836,0.8930222523638607,2,2,6,3,4,3,0,1,1,0,0,1,3
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.05, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=200, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9692052212386584,40.56244818817763,0.013448567574087383,25.057598876953136,30.948836873372393,0.9710231087952937,0.8873702225260269,-50.38898133344692,0.018421711649225857,-28.036972656249997,-36.55271562848772,0.902690013657292,1,1,1,4,1,1,1,0,0,1,1,0,3
"ExtraTreesRegressor(max_depth=25, n_estimators=21, n_jobs=-3)",0.9620512011720326,45.02820474966864,0.016091837767542427,18.0,32.06857142857144,0.9653081089563792,0.8590804798754721,-57.255338746408505,0.024632718664213113,-29.37547619047619,-43.323079365079366,0.8803866442615899,3,3,3,0,2,2,3,3,2,2,3,2,15
"GradientBoostingRegressor(learning_rate=0.11, max_depth=5, n_estimators=500,
                          subsample=0.6)",0.9775071891951338,34.66629914665587,0.010216414002182655,21.392435189602224,26.27729173744194,0.9777859478524238,0.8766890273830198,-56.13269078031495,0.025983779014507824,-33.06796503776063,-39.10539956381835,0.8628262934360645,0,0,0,1,0,0,2,2,3,4,2,4,17
"RandomForestRegressor(max_depth=18, n_estimators=650)",0.959321822942218,46.619365286836846,0.015594434392407312,21.693384615385696,32.49428717948716,0.9612899705921315,0.844459960457978,-62.03826614527654,0.029229718559595018,-32.17417692307693,-45.18196827838829,0.8645066258312066,4,4,2,2,3,4,4,4,4,3,5,3,23
"LGBMRegressor(learning_rate=0.09, max_depth=13, n_estimators=650, num_leaves=8)",0.9500356039992922,51.66732011664489,0.02549929786172246,28.177484362357518,38.51068970500671,0.951493880382183,0.8139557278986713,-63.26273908923499,0.036587288959630565,-33.64895087392734,-45.142888505376405,0.8410366177588333,6,6,7,5,5,5,6,5,5,5,4,7,32
AdaBoostRegressor(),0.9512032355957266,51.06003735628604,0.023227392578444542,38.21666666666667,39.88616058350169,0.9513436030607009,0.7847024661981862,-69.75238933313386,0.038581497229743106,-43.21553601893298,-52.13220351805334,0.8581223254229469,5,5,5,8,6,6,8,6,6,9,6,5,40
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=200)",0.9379577659977895,57.57438782831131,0.04351299797380807,39.86900000000003,46.288958721340414,0.9412599038509122,0.8100752746910989,-72.39651772108756,0.05413836196353332,-41.135591666666656,-55.03407539021164,0.83174419719822,7,7,9,10,9,8,7,8,8,7,9,8,47
"SVR(C=1.6, cache_size=4000, epsilon=0.09, gamma=4, kernel='poly')",0.9267957006268833,62.5394286739351,0.06952645685131839,38.32901312246133,47.06390046336333,0.9304911236668876,0.8184066947912259,-72.71342746445086,0.10924821102394841,-42.700424599544974,-52.944042981451716,0.8499460584494635,10,10,10,9,10,10,5,9,13,8,7,6,48
"DecisionTreeRegressor(max_depth=15, min_samples_leaf=2, min_samples_split=5)",0.9364829954821767,58.254652969463244,0.019385376601982862,28.75,40.55222222222222,0.943063597519795,0.7240686661989222,-75.99830509501389,0.03992173695186597,-37.55916666666667,-53.938968253968255,0.769619368487308,9,9,4,6,7,7,10,10,7,6,8,10,51
"MLPRegressor(alpha=0.1, hidden_layer_sizes=(60, 6), max_iter=60, solver='lbfgs')",0.9368070993566483,58.105836871661765,0.042976629113619214,36.019785266232645,45.60882163755826,0.9368253970217695,0.783384692369963,-71.25650918993736,0.059071603678362034,-47.47109369170143,-58.801041246240686,0.7723534817878879,8,8,8,7,8,9,9,7,9,10,10,9,54
"Lasso(alpha=0.8, max_iter=3000)",0.8727865113985369,82.44269810300148,0.08759691989109411,52.53248246861449,63.737671544571334,0.8732708780232756,0.6861952186175625,-86.61907488023093,0.07399141902637599,-57.570428295914304,-67.4922304423047,0.7089785622586668,11,11,12,12,11,11,11,11,10,12,12,12,68
LinearRegression(positive=True),0.8648809529878616,84.96575130589623,0.12349801020594203,50.47757084928526,63.812287946541396,0.8649865849138492,0.677035400365858,-87.40648159667894,0.09534055446942671,-54.33825436672364,-67.28246415745022,0.6944082525644223,13,13,13,11,12,13,12,12,12,11,11,13,71
Ridge(solver='saga'),0.8690431812762511,83.64686591574254,0.08728108835709619,54.20578298918758,66.10012142998748,0.8695172834293738,0.6626843400042163,-87.93115526557192,0.0757601086724763,-63.02682216429887,-70.29268424132269,0.7147382515401367,12,12,11,13,13,12,13,13,11,13,13,11,74
