,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9562773275737747,46.31324101620432,0.022391590173606795,26.470489501953125,32.785038248697916,0.9575528602403136,0.9602808709918277,-44.82322827531563,0.01615326545380087,-19.80939743041992,-31.7563155023484,0.9628575830372871,1,1,1,3,1,1,0,0,0,0,1,0,1
<catboost.core.CatBoostRegressor object at 0x000001D5EF751D60>,0.9442761278073083,52.284440902126825,0.03731688926309579,18.188797799144822,35.91021498533141,0.9477191194220277,0.9577654515222778,-45.045394035935004,0.022045020849716174,-20.375068059705463,-31.53810882558752,0.9606373776148743,2,2,5,0,2,2,1,1,3,1,0,1,7
"GradientBoostingRegressor(learning_rate=0.11, max_depth=5, n_estimators=50,
                          subsample=0.6)",0.9358336802563674,56.10549393353656,0.031159971164680743,23.857296081958395,39.662978556989316,0.9359643454212534,0.9567395691052972,-48.53144363206815,0.016263541331549378,-25.33675390273362,-36.05363056611388,0.9589677933564543,4,4,2,2,5,4,2,2,1,3,3,3,14
"ExtraTreesRegressor(max_depth=20, n_estimators=21, n_jobs=-4)",0.9632770706778732,42.444408234482545,0.014190646077961642,21.190476190476147,31.26878306878307,0.9634428083920102,0.9483842649563178,-51.30966016323145,0.021231308923935453,-24.620476190476193,-34.46221088435375,0.9590003989095999,0,0,0,1,0,0,3,3,2,2,2,2,14
"RandomForestRegressor(max_depth=22, n_estimators=50)",0.9235165981039384,61.254136625845746,0.03998406385324339,29.360000000000014,42.20084444444444,0.9241958997808355,0.9454094743797968,-54.38220617940254,0.02292001817170013,-25.792299999999976,-38.89809142857142,0.9503676714219351,6,6,6,5,6,6,4,5,4,4,5,4,26
"LGBMRegressor(learning_rate=0.07, max_depth=19, n_estimators=500, num_leaves=5)",0.9385057250676844,54.92488637621254,0.031169621625375423,29.694400234923705,38.279065508010035,0.9392833431275276,0.9444832674291639,-53.4447817200242,0.029140795778903605,-29.00694879809894,-38.44464503819468,0.949511071330803,3,3,3,6,3,3,5,4,7,5,4,5,30
"AdaBoostRegressor(loss='square', n_estimators=110)",0.8914453348538013,72.97533050553791,0.04387780704733469,34.02499999999998,48.68756170115709,0.8930926390170545,0.9338379592470993,-58.95220936192262,0.02773592299370874,-33.70083529579985,-43.679216624754474,0.9335594891932185,8,8,7,8,7,8,6,6,5,6,6,6,35
DecisionTreeRegressor(max_depth=15),0.7076956315043248,119.74833332173495,0.11088781248859665,30.0,66.75333333333333,0.7345624314435992,0.9286512723775864,-60.54837562211055,0.02787385260819214,-33.725,-44.78409523809525,0.9327654076412373,13,13,13,7,13,13,7,7,6,7,7,7,41
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=350)",0.8911709149264999,73.0675109971206,0.06237776341483157,53.40085714285715,57.675528707483004,0.8919454563832643,0.923329453341591,-63.99309080568782,0.04763527426336206,-38.75460703102466,-49.44316312591907,0.9264900601006296,9,9,10,13,9,9,8,8,8,8,8,8,48
"MLPRegressor(alpha=0.1, hidden_layer_sizes=(40, 5), max_iter=60, solver='lbfgs')",0.9332051667864948,57.243115092563364,0.036479139407936505,27.52570205668644,39.052557403511635,0.9350664671792603,0.9146786825929072,-68.3512127743035,0.05407724630198664,-39.510181610425114,-50.53231268793985,0.9109376706077231,5,5,4,4,4,5,9,10,9,9,10,10,57
"SVR(C=1.6, cache_size=3000, epsilon=0.01, gamma=4, kernel='poly')",0.9037387968719275,68.71910067931974,0.05418528134420038,38.984190431389266,51.09302515385494,0.9062905134194601,0.9087152790046812,-66.91280306051713,0.08854896157863067,-41.45306804162128,-50.16885718818918,0.9222414701547097,7,7,8,9,8,7,10,9,13,10,9,9,60
"Lasso(alpha=0.3, max_iter=8000)",0.8649445490600203,81.39690339795557,0.062197974092425196,51.345004210393085,62.61469200026867,0.8654367797257106,0.8775333154258039,-77.81137416835158,0.06489535350239446,-53.29961397619911,-61.45645141997852,0.8836157732925976,10,10,9,11,10,10,11,12,10,12,11,11,67
"Ridge(alpha=0.1, solver='sparse_cg')",0.8614278520196856,82.44983655132984,0.06366197094606287,52.92700008734391,63.449502039754115,0.8618923101603182,0.8774065281232712,-77.80404004522659,0.06827189701963107,-54.14295789023104,-61.473687134807584,0.8833434816302367,11,11,12,12,12,11,12,11,11,13,12,12,71
LinearRegression(positive=True),0.8605545242197195,82.70924163556074,0.06321111230124177,51.029047066114344,63.062903427832794,0.8610305946281975,0.8758032690069015,-78.22284972778161,0.07290479915180961,-52.84244975057034,-61.4893090134167,0.8815991333710823,12,12,11,10,11,12,13,13,12,11,13,13,75
