,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.940490111053102,53.493656874721566,0.017131524766558014,27.967330932617188,37.619450577445654,0.9407297162195613,0.9451889763310696,-42.71725448946118,0.01316881059207275,-21.86371726989746,-30.600333040237423,0.9473750613413902,2,2,1,2,2,2,0,0,0,0,0,0,0
"ExtraTreesRegressor(max_depth=10, n_estimators=21, n_jobs=-4)",0.9406172235639698,53.43649538380279,0.019415392647389843,19.500000000000014,36.31307305530909,0.941662206900619,0.9204570417390474,-49.71733754465184,0.016979089781684067,-24.03451530612245,-33.07438330939836,0.9423047134484035,1,1,3,0,0,1,3,3,1,1,1,1,10
"GradientBoostingRegressor(learning_rate=0.11, n_estimators=650, subsample=0.7)",0.9347884899763268,55.99765572175338,0.019224608156159985,31.83249095483194,40.015018717768946,0.9351507698331643,0.936437872122219,-46.974855417363834,0.02165813758137504,-24.82140068321623,-33.62413820148836,0.9355606317225208,3,3,2,6,4,3,1,1,2,2,2,3,11
<catboost.core.CatBoostRegressor object at 0x000001F0ADC6D250>,0.9314735482047525,57.40329742936744,0.02773370416931621,23.19913199818518,39.79897464277467,0.9314739109646706,0.9338706131479716,-48.618660925744464,0.0239047826187107,-26.056113050658332,-35.462566838288794,0.937036242899706,4,4,6,1,3,4,2,2,3,3,3,2,15
"RandomForestRegressor(max_depth=22, n_estimators=50)",0.9457296529380061,51.08448473639143,0.01620715452879922,28.65799999999996,36.63839130434783,0.9467751808323205,0.9030448540267777,-58.90484234472295,0.024385378401051157,-30.004600000000003,-39.89777,0.9110476154028737,0,0,0,3,1,0,5,6,4,4,4,5,28
"LGBMRegressor(learning_rate=0.11, max_depth=13, n_estimators=650, num_leaves=5)",0.9045123998366359,67.76121851141272,0.0341362850426567,33.37539749673462,49.80056524241789,0.906178733753048,0.910322562379919,-54.466700450492134,0.03927058212025153,-30.665853071729906,-40.06945910897798,0.915145732186873,7,7,7,9,8,7,4,4,6,5,5,4,28
"AdaBoostRegressor(loss='square', n_estimators=140)",0.9293500475525782,58.28591984221888,0.02271484853277723,32.9482142857143,43.60454931115551,0.9300586919886824,0.8991566144803457,-56.570721894566326,0.025802321549330518,-34.78951636299472,-44.90012239238338,0.9074956937087778,5,5,4,8,5,5,6,5,5,7,6,6,35
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(70, 7), max_iter=60,
             solver='lbfgs')",0.8776576700050323,76.7001284789794,0.04448482196423524,30.669891216299533,50.7146243204099,0.8776605022338948,0.898098039284041,-68.61971411662185,0.06302467752705627,-39.64622339509588,-51.51187464837885,0.8945670207648438,10,10,10,5,10,10,7,8,9,8,8,7,47
"DecisionTreeRegressor(max_depth=10, min_samples_leaf=2, min_samples_split=5)",0.8944199913719548,71.25224693465263,0.023690700297336994,30.583333333333314,44.54999999999998,0.8952197721387424,0.8642721544072021,-71.23916508260514,0.04292039704161064,-32.15375,-45.660204861111104,0.8762267302785475,9,9,5,4,6,9,9,10,7,6,7,10,49
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=350)",0.904343991614937,67.82094626236439,0.03860202501275076,35.47542857142855,48.55971521492656,0.9046415698577199,0.8788786495636925,-66.51953933992655,0.051207120821856064,-44.47981326530616,-53.24550202933081,0.885377936425318,8,8,9,10,7,8,8,7,8,10,10,8,51
"SVR(C=1.6, cache_size=2000, epsilon=0.09, gamma=4, kernel='poly')",0.9090277415729964,66.1396977580572,0.03842042400496774,32.694299739051104,50.483978866514846,0.9106942713142784,0.8599891071624505,-69.19463635992605,0.12338757137623667,-39.85151689485533,-51.97954378267758,0.8810079220776066,6,6,8,7,9,6,10,9,11,9,9,9,57
"Lasso(alpha=0.1, max_iter=4000)",0.846499732953465,85.91367279456537,0.053774074853210584,45.27691278732675,64.23368970172979,0.847236890252194,0.7859264924132892,-83.96466981491747,0.13324396754128745,-54.487949039403965,-66.96882877815621,0.8207537638119164,12,12,11,12,11,12,12,11,12,11,11,12,69
Ridge(solver='sag'),0.8530458284504201,84.06179843624284,0.05742740429060735,48.2713303374383,65.58119642602344,0.8535348567999268,0.7860282194232393,-84.0565259189835,0.07877565127013735,-60.27127974700593,-68.43626308152386,0.8224844467786758,11,11,13,13,13,11,11,12,10,13,12,11,69
LinearRegression(),0.8457750605034369,86.11623258362032,0.054025488662539145,45.13623629008518,64.34167929063977,0.8465771296454363,-0.9150789621806321,-217.1696344138994,0.2107385802741356,-54.78910195533558,-88.93301855678325,-0.7746490961501713,13,13,12,11,12,13,13,13,13,12,13,13,77
