,Hardness,Al,Co,Cr,Cu,Fe,Ni,result_0,result_1,result_2,result_3,result_4,result_5,result_6,result_7,result_8,result_9,result_10,result_11,result_12,result_13,result_14,result_15,result_16,result_17,result_18,result_19,result_20,result_21,result_22,result_23,result_24,result_25,result_26,result_27,result_28,result_29,result_30,result_31,result_32,result_33,result_34,result_35,result_36,result_37,result_38,result_39,result_40,result_41,result_42,result_43,result_44,result_45,result_46,result_47,result_48,result_49
0,486.0,0.208,0.0,0.208,0.208,0.208,0.167,4.822835670623652,4.181384683568813,4.23251806792722,4.771060603648686,4.8032269838705695,4.6664332202763,4.763758714433,4.852534309867663,4.8080880569694155,4.7863211908683665,4.499741888005498,4.593276955076162,4.724920916380242,4.757232651369545,4.707329004236028,4.705492751967716,4.862998425245941,4.850320259907907,4.843251188620784,5.065710906945383,4.806574766562219,4.7967107311727855,4.787008457815828,4.794289405268897,4.956523243531816,4.954571319111152,4.709475822446672,4.706804330326719,4.762059591452246,4.742102922513646,4.838547191658933,5.019798804251282,4.8639043328498985,4.885196283165075,4.884062476913764,4.87395066314802,4.90014844582532,4.876014014826303,4.882847357009955,4.960796515272978,4.955173750013433,4.817364893005932,5.086628791890945,5.091736687977465,4.983022925452805,4.953477121812939,4.9510122609444025,4.964171523095495,4.9510122609444025,4.992439987651715
1,469.0,0.11,0.0,0.28,0.27,0.06,0.28,4.822835670623652,2.211309207656584,2.8554463125561655,3.382224972337346,3.3808215996996744,3.5372297693520274,3.6697789716623377,3.825972204555042,4.091379415791364,4.088154928136827,3.510928166912515,4.4012843801036645,4.504010134425627,4.554864247861443,4.4353879227405,4.435129941586403,3.3654247009569467,3.364077260442582,3.34871640964144,3.5074679074800583,3.790544119586163,3.7894427292983917,3.7745441262495563,3.7875828189136502,3.6124216880616435,3.6335161644627343,3.9518050286719006,3.970502210898343,4.014759298696272,3.8855124024471634,4.059567804064973,3.9592184635758856,4.322101657646775,4.261351024838426,4.320798992629147,4.319684387445704,4.289554500583003,4.141941110239088,4.138000927493745,3.8983572167346834,3.893428410901987,4.1773667164583355,4.024883452779499,4.020662130123244,3.9955984758600778,4.186748990632344,4.191109059283556,4.200775038127085,4.191109059283556,4.261001315174551
2,358.0,0.167,0.167,0.167,0.083,0.167,0.25,4.822835670623652,3.357169433442268,3.6429778882396793,4.190017125242922,4.2109043838965095,3.9181738756317386,3.9955940993504226,4.070605361782569,3.860918441937862,3.84964415181494,3.574950073585665,3.5391846989190126,3.522174271341636,3.5649785823090663,3.5179520265345867,3.5174881515159706,3.9357789072825624,3.9303608248008453,3.926783146742952,4.019751471838322,4.226066863591082,4.2216762881078305,4.166596008203814,4.167016746760808,3.976180697196217,3.997677858794668,3.8899332553362,3.911042475572502,3.7975074959328903,3.764613794054395,3.8516734426631096,3.8410268887574164,3.6811769882571994,3.651969263705288,3.717955921200838,3.7138398234563876,3.7130595571755722,3.8170301617290416,3.803689489286879,3.6761255826321895,3.6602199501532997,3.745136093458568,3.7916749920308117,3.7784124709123885,3.7192814036082646,3.789595478125308,3.7968009874376505,3.7920758658064537,3.770861604265686,3.822135911756521
3,477.0,0.11,0.0,0.28,0.29,0.07,0.25,4.822835670623652,2.211309207656584,2.8554463125561655,3.382224972337346,3.3808215996996744,3.5372297693520274,3.6697789716623377,3.825972204555042,4.091379415791364,4.088154928136827,3.575959540432775,4.4012843801036645,4.504010134425627,4.554864247861443,4.4353879227405,4.435129941586403,3.4548584598087193,3.453479213397535,3.4381033372748377,3.596869860435011,3.921849027533053,3.92070094044524,3.9146398428412184,3.931080201263165,3.8071800197935053,3.8202996104213565,4.0970224134971,4.107053771974904,4.142054223610059,4.042690998454256,4.190357642547959,4.1511144618233695,4.411493971480609,4.369097036631824,4.402280180676097,4.401125928728279,4.376657398664076,4.279210071662481,4.276115119831578,4.053100503150677,4.048513828923104,4.3037622116881655,4.179968870800616,4.176173083184958,4.150683893881196,4.304410230875368,4.301978505702104,4.320609649330751,4.301978505702104,4.364107600842778
4,140.0,0.0,0.267,0.267,0.0,0.267,0.2,4.822835670623652,0.0,1.0,1.823327835151148,1.76646078369551,1.8737791831725035,2.0071930884698865,2.224424299153573,2.3782170052572167,2.3782170052572167,1.950949626444185,2.3852146032893637,2.232102672503903,2.2861812735942557,2.2861812735942557,2.2861812735942557,1.5136104201459013,1.5136104201459013,1.504673670920281,1.4030010671833777,1.6999034336106151,1.6999034336106151,1.6827441154489886,1.6827441154489886,1.7900360684989174,1.7900360684989174,1.8630978853893212,1.8630978853893212,1.8630978853893212,1.863304340707737,1.8631777519592678,1.8630978853893212,1.8352587645021026,1.8352587645021026,1.8713803323155378,1.8713803323155378,1.8713803323155378,1.8352587645021026,1.8352587645021026,1.8352587645021026,1.8352587645021026,1.8352587645021026,1.9667138063796143,1.9667138063796143,1.8761830574043346,1.8075410874994158,1.8075410874994158,1.8075410874994158,1.8075410874994158,1.8075410874994158
5,567.0,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0.0,4.822835670623652,6.700936986197802,6.21193089844103,6.547258549173272,6.5780701197429154,6.3443844022965505,6.413468862095533,6.401124372513705,6.277736536350089,6.188453575519621,6.277736536350089,6.044254848860219,6.061940925108042,6.026736565367926,6.103046511390559,6.097552701824094,5.9251276137358335,5.862908085558273,5.858443752334094,5.952965398595749,5.583036934253888,5.535117214067736,5.506344548006186,5.5108557242746565,5.46436409970375,5.46436409970375,5.239253534812581,5.239253534812581,5.239253534812581,5.350735331363697,5.338057443792613,5.405920201812581,5.269169455261355,5.269169455261355,5.269169455261355,5.221249735075202,5.269169455261355,5.269169455261355,5.269169455261355,5.269169455261355,5.221249735075202,5.226896345059852,5.352704776952714,5.352704776952714,5.247469811332885,5.263137282908444,5.263137282908444,5.263137282908444,5.263137282908444,5.263137282908444
6,167.0,0.0,0.213,0.213,0.213,0.213,0.15,4.822835670623652,0.0,1.0,1.823327835151148,1.76646078369551,1.6502961158181235,1.7602954209708939,1.961309334245917,1.8319834888212947,1.8319834888212947,1.542490507129428,1.4368347271140824,1.2837227963286217,1.3378013974189746,1.3378013974189746,1.3378013974189746,1.3149824433190618,1.3149824433190618,1.310778954788678,1.3123730903565378,1.4565446374915252,1.4565446374915252,1.4129005992898165,1.4147182302561618,1.4374760754378482,1.4374760754378482,1.3578774028926102,1.3578774028926102,1.3578774028926102,1.3525027351354044,1.3552797733570965,1.5708774028926102,1.1235173577842337,1.1235173577842337,1.2620476873768758,1.2620476873768758,1.2620476873768758,1.1235173577842337,1.1235173577842337,1.1235173577842337,1.1235173577842337,1.1235173577842337,1.2549723996617455,1.2549723996617455,1.1693237087600794,1.1509888336961742,1.1464033547655423,1.162210358494686,1.1464033547655423,1.183681246259657
7,494.0,0.217,0.0,0.217,0.217,0.217,0.13,4.822835670623652,4.362309982377079,4.365273837895187,4.89860673305483,4.9326003547146975,4.832665528533071,4.933989095395234,5.024002593270358,5.0281338714571175,5.0034222049356725,4.768261681381967,4.87431194773335,5.037531722854632,5.06689865742354,5.02368227895276,5.021395358978826,5.02457538742537,5.0097444945358065,5.00169476410922,5.216135141573283,4.5852890960008255,4.574694792580717,4.554797403360736,4.5630024280404635,4.783680124545905,4.782125419407728,4.53766203044648,4.5361636252792294,4.582654307274471,4.574839471961558,4.6521430872654035,4.88005214719665,4.6920762286441775,4.718743972272902,4.718262624946453,4.707394884770977,4.740754712813986,4.706178702324889,4.715013206784166,4.820826317110962,4.817412692998478,4.637715488580478,4.94886773487599,4.957536128875295,4.85397587442395,4.801424601773336,4.7946593306943015,4.813099969799326,4.7946593306943015,4.827007572722124
8,550.0,0.238,0.05,0.238,0.0,0.238,0.238,4.822835670623652,4.784469012929699,4.680203710916077,5.1962143683358315,5.233456152969721,5.223471329025856,5.333490479767076,5.422761214017752,5.54980617504507,5.51721903894234,5.057974216830514,5.594884244971496,5.802971626736946,5.824463091724569,5.807252444374032,5.8039958568184735,5.509882023737441,5.488591672556854,5.4781691798515055,5.623982319594331,5.930716037496698,5.911923660051346,5.895362233675866,5.895362233675866,5.717227194232088,5.731541681879012,5.902223726289775,5.913717787639703,5.890468481105679,5.846451768793631,5.998481749170992,5.913717787639703,6.190457520517209,6.145436383706964,6.149999618148491,6.131687808845283,6.121741091166782,6.221831161812768,6.204893576513345,6.249675322400054,6.216862325436577,6.235674901492617,6.348317367314089,6.332087599889975,6.292792046688616,6.259110716924079,6.259067751994085,6.259110716924079,6.253004579226786,6.253004579226786
9,273.0,0.138,0.172,0.172,0.172,0.172,0.172,4.822835670623652,2.774187915060078,3.2388025111308156,3.779035152712015,3.7894047945759866,3.512484367261086,3.594126684953627,3.6891290674175945,3.4761331907177793,3.469768619805927,3.2469021913076856,3.1379016297068487,3.123386330189095,3.1711003603675962,3.109031283046502,3.10876461086867,3.8004373307147516,3.797472870785516,3.793745413073109,3.876863517822992,4.349349790517609,4.346784023158887,4.330428532700158,4.3341097969327524,4.169043698446438,4.17480805279364,4.042984831903505,4.048302216557037,3.9917783758565735,3.976080028637843,4.050822049279141,3.9770231583911997,3.8126448265932655,3.7894272809925793,3.8331622847040974,3.8306985680689825,3.8192225001386553,3.8719653659079882,3.865220303776138,3.6103282348504613,3.6011284901700207,3.801993417617838,3.7325835320475322,3.7249220131427343,3.661772799560559,3.728371763522757,3.72757261751299,3.7363811609422677,3.7039169341490763,3.745666302735861
