,complexity,loss,score,equation,sympy_format,lambda_format
1,1,17.39220191,0,4.822835671,4.822835671,PySRFunction(X=>4.822835670623652)
2,3,3.316208001,0.828599989,(20.102810978696215 * Al),20.102810978696215*Al,PySRFunction(X=>20.102810978696215*Al)
3,4,1.592630221,0.733435086,(23.65422924687719 ^ sqrt(Al)),23.65422924687719**(sqrt(Al)),PySRFunction(X=>23.65422924687719**(sqrt(Al)))
4,5,1.039745248,0.426411147,((14.171792156238165 * Al) + 1.823327835151148),14.171792156238165*Al + 1.823327835151148,PySRFunction(X=>14.171792156238165*Al + 1.823327835151148)
5,6,1.022762967,0.016467973,((14.705645867106416 * sin(Al)) + 1.76646078369551),14.705645867106416*sin(Al) + 1.76646078369551,PySRFunction(X=>14.705645867106416*sin(Al) + 1.76646078369551)
6,7,0.729982037,0.337243108,((14.593413955199729 * Al) + (10.505513018414813 ^ Cr)),10.505513018414813**Cr + 14.593413955199729*Al,PySRFunction(X=>10.505513018414813**Cr + 14.593413955199729*Al)
7,8,0.684183853,0.064793255,((14.544428645766274 * Al) + cube(0.9944296966290574 + Cr)),14.544428645766274*Al + (Cr + 0.9944296966290574)**3,PySRFunction(X=>14.544428645766274*Al + (Cr + 0.9944296966290574)**3)
8,9,0.615490085,0.105807836,((14.021195870600426 * Al) + exp(sin(Cr / 0.28819400289542146))),14.021195870600426*Al + exp(sin(3.4698848343588728*Cr)),PySRFunction(X=>14.021195870600426*Al + exp(sin(3.4698848343588728*Cr)))
9,10,0.463678415,0.283227596,((14.544428645766274 * Al) + exp(cube(sin(Cr / 0.21123541564980622)))),14.544428645766274*Al + exp(sin(4.7340546419443058*Cr)**3),PySRFunction(X=>14.544428645766274*Al + exp(sin(4.7340546419443058*Cr)**3))
10,11,0.459643401,0.008740267,((14.544428645766274 * sin(Al)) + exp(cube(sin(Cr / 0.21123541564980622)))),exp(sin(4.7340546419443058*Cr)**3) + 14.544428645766274*sin(Al),PySRFunction(X=>exp(sin(4.7340546419443058*Cr)**3) + 14.544428645766274*sin(Al))
11,12,0.450361385,0.020400636,((14.544428645766274 * Al) + exp(cube(sin((Cr / 0.21123541564980622) - Ni)))),14.544428645766274*Al + exp(sin(4.7340546419443058*Cr - Ni)**3),PySRFunction(X=>14.544428645766274*Al + exp(sin(4.7340546419443058*Cr - Ni)**3))
12,13,0.396897162,0.126373129,(((14.544428645766274 * Al) + exp(sin((Cr / -0.07025225110843257) - Al))) - -0.5405002911057243),14.544428645766274*Al + 0.5405002911057243 + exp(-sin(Al + 14.2344193135751*Cr)),PySRFunction(X=>14.544428645766274*Al + 0.5405002911057243 + exp(-sin(Al + 14.2344193135751*Cr)))
13,14,0.340143414,0.154309874,(((14.544428645766274 * Al) + exp(sin((Cr / -0.07025225110843257) - sqrt(Al)))) + 0.3873883603202635),14.544428645766274*Al + 0.3873883603202635 + exp(-sin(sqrt(Al) + 14.2344193135751*Cr)),PySRFunction(X=>14.544428645766274*Al + 0.3873883603202635 + exp(-sin(sqrt(Al) + 14.2344193135751*Cr)))
