,Hardness,Al,Co,Cr,Cu,Fe,Ni,result_19
0,486,0.208,0,0.208,0.208,0.208,0.167,5.065710907
1,469,0.11,0,0.28,0.27,0.06,0.28,3.507467907
2,358,0.167,0.167,0.167,0.083,0.167,0.25,4.019751472
3,477,0.11,0,0.28,0.29,0.07,0.25,3.59686986
4,140,0,0.267,0.267,0,0.267,0.2,1.403001067
5,567,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0,5.952965399
6,167,0,0.213,0.213,0.213,0.213,0.15,1.31237309
7,494,0.217,0,0.217,0.217,0.217,0.13,5.216135142
8,550,0.238,0.05,0.238,0,0.238,0.238,5.62398232
9,273,0.138,0.172,0.172,0.172,0.172,0.172,3.876863518
10,538,0.179,0.205,0.205,0,0.205,0.205,4.538957255
11,182,0,0.238,0.238,0.238,0.05,0.238,1.333592315
12,265,0.154,0.154,0.154,0,0.154,0.385,3.139109233
13,423,0.182,0.182,0.182,0.182,0.182,0.091,4.741504525
14,557,0.310344828,0.172413793,0.172413793,0.172413793,0.172413793,0,5.709504553
15,580,0.23,0.15,0.23,0.08,0.15,0.16,5.599319866
16,135,0.077,0.308,0,0,0.308,0.308,1.739875806
17,624,0.384615385,0.153846154,0.153846154,0.153846154,0.153846154,0,6.519307198
18,441,0.1,0,0.35,0.24,0.05,0.26,3.62391915
19,139,0,0.25,0.25,0,0.25,0.25,1.38927804
20,408,0.192,0,0.192,0.192,0.192,0.231,4.665459863
21,629,0.28,0.1,0.27,0.1,0.05,0.2,6.291418863
22,290,0.123,0,0.175,0.175,0.175,0.351,3.125960682
23,657,0.411764706,0.147058824,0.147058824,0.147058824,0.147058824,0,6.831917174
24,601,0.167,0.167,0.25,0.083,0.167,0.167,4.698297273
25,392,0.167,0,0.167,0.167,0.167,0.333,3.83128477
26,315,0.138,0,0.172,0.172,0.172,0.345,3.363160074
27,371,0.167,0,0.556,0,0,0.278,5.275847054
28,604,0.2,0.2,0.2,0.1,0.2,0.1,5.202367591
29,454,0.1,0,0.35,0.26,0.05,0.24,3.690195248
30,550,0.242,0,0.152,0.152,0.152,0.303,4.99167986
31,171,0,0.213,0.213,0.213,0.15,0.213,1.31237309
32,720,0.25,0.25,0.25,0,0.25,0,6.317653918
33,479,0.2,0,0.2,0.2,0.2,0.2,4.881528295
34,620,0.1,0.3,0.3,0,0.3,0,4.907615525
35,125,0,0.333333,0,0,0.333333333,0.333333333,0.953283209
36,548,0.225,0.225,0.225,0,0.225,0.1,5.775912437
37,655,0.359,0.128,0.128,0.128,0.128,0.128,6.519517736
38,157,0,0.167,0.167,0.167,0.333,0.167,1.283392386
39,450,0.118,0,0.294,0,0.441,0.147,4.209596967
40,200,0.074,0,0.185,0.185,0.185,0.37,2.393354942
41,310,0.154,0.154,0.154,0.077,0.154,0.308,3.506147127
42,625,0.333,0.133,0.133,0.133,0.133,0.133,6.251759079
43,555,0.213,0.213,0.213,0,0.213,0.15,5.382860795
44,546,0.2,0.2,0.1,0.1,0.2,0.2,4.471049847
45,170,0,0.225,0.225,0.225,0.225,0.1,1.322084728
46,516,0.2,0.2,0.2,0,0.2,0.2,4.906837898
47,764,0.43,0.06,0.33,0.06,0.06,0.06,8.63885047
48,153,0,0.238,0.05,0.238,0.238,0.238,1.06731448
49,338,0.149,0.213,0.213,0,0.213,0.213,3.978973299
50,131,0.086,0.229,0.229,0,0.229,0.229,2.748635479
51,740,0.429,0.143,0.143,0,0.143,0.143,8.049169845
52,472,0.1,0,0.35,0.25,0.05,0.25,3.657574616
53,172,0,0.222222222,0.222222222,0.111111111,0.222222222,0.222222222,1.319280188
54,170,0.057,0,0.189,0.189,0.189,0.377,2.162487445
55,545,0.222,0.111,0,0.222,0.222,0.222,4.123193338
56,415,0.2,0.2,0.2,0.2,0,0.2,4.681528295
57,475,0.206,0.159,0.159,0.159,0.159,0.159,4.856051772
58,242,0.143,0.143,0.143,0,0.143,0.429,2.805209336
59,451,0.167,0.25,0.167,0.083,0.167,0.167,4.330905166
60,475,0.05,0.317,0.317,0,0.317,0,4.486318996
61,370,0.185,0,0.185,0.185,0.185,0.259,4.449970137
62,702,0.462,0.154,0.077,0.077,0.154,0.077,7.632127387
63,168,0.053,0.211,0.211,0,0.263,0.263,2.062606115
64,166,0.143,0.429,0,0.143,0.143,0.143,3.26137236
65,459,0.13,0,0.28,0.22,0.06,0.31,3.734128921
66,546,0.231,0,0.154,0.154,0.154,0.308,4.825365104
