,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"ExtraTreesRegressor(max_depth=10, n_estimators=41, n_jobs=-2)",0.9558809776399584,46.0829656344832,0.01536359392045197,22.587321138211337,32.30746557913631,0.9558810598178684,0.9608862432753098,-37.59545334322755,0.010289524201380967,-22.801583696283384,-29.052546563784638,0.9635350808227934,1,1,1,3,1,1,0,0,0,1,0,0,1
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=200, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9561478481272865,45.94337916084453,0.013049651180115317,19.330490112304688,31.49589551842731,0.9561828836820221,0.9518044334084663,-39.43541718311262,0.011638906979187385,-25.537126983642576,-30.15587301661173,0.9560695551835912,0,0,0,0,0,0,1,1,1,4,1,1,9
"GradientBoostingRegressor(learning_rate=0.09, max_depth=5, n_estimators=50,
                          subsample=0.6)",0.9540892159164065,47.00941371089477,0.0173158233584873,21.29923872641328,32.331845273863316,0.9542344488260803,0.9459973718827506,-41.176164044982585,0.013308437098057938,-24.522518982218386,-30.860562468664,0.9513188244755637,2,2,2,2,2,2,3,2,2,2,2,2,13
"RandomForestRegressor(max_depth=18, min_samples_leaf=4, min_samples_split=5,
                      n_estimators=350)",0.9470495204649227,50.48500791086367,0.017728085791084168,29.930362944513575,37.15441525189842,0.9472078740966935,0.9425753935361147,-42.67620893356334,0.014563945379859744,-22.671041959811973,-32.44685335077973,0.9469191673828004,3,3,4,11,5,3,4,3,3,0,4,4,18
<catboost.core.CatBoostRegressor object at 0x0000011ECCA157F0>,0.9337942273744145,56.451489951297255,0.023296726579039907,24.62821853986273,39.522863781424306,0.9340449209911114,0.946270389378889,-42.683335785901754,0.015340793289938027,-26.693307605769668,-31.220772618199117,0.9501061422084481,8,8,8,4,6,8,2,4,5,7,3,3,24
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=350)",0.9418222704337509,52.91829757610899,0.022187806950495912,20.511609523809483,35.44545536823428,0.9418788816621476,0.9392537486112211,-44.46462720153188,0.022373171935082786,-24.832120000000046,-34.15294505595462,0.9465256016273045,4,4,7,1,3,4,6,6,9,3,7,5,36
"LGBMRegressor(learning_rate=0.09, max_depth=13, n_estimators=200, num_leaves=8)",0.941014534581084,53.28438837974903,0.017655074169317702,25.796724193311803,35.88660444425623,0.9410742382288839,0.9376537464592593,-44.20527944186104,0.021635751440385608,-26.27860734923978,-33.97746125374365,0.9414772933870694,6,6,3,5,4,7,7,5,7,5,6,7,37
"AdaBoostRegressor(loss='square', n_estimators=80)",0.9412269025036192,53.18838084266875,0.019756168510491758,35.821428571428584,42.309600262595666,0.9412317387802654,0.9395144120282168,-45.21758647111082,0.014733680610538768,-31.986721977291715,-33.34612525675777,0.9449716073606362,5,5,5,13,8,6,5,7,4,11,5,6,38
"Ridge(alpha=0.01, solver='sparse_cg')",0.9202277024841108,61.96600960872923,0.031107995091854686,27.20875592198101,44.96393677184857,0.9202293303201663,0.9161441898377752,-51.56834769705593,0.02505221560809867,-28.237749267990473,-38.27722194704565,0.9272043720571871,11,11,11,7,12,11,10,9,10,8,10,9,56
"Lasso(alpha=0.8, max_iter=3000)",0.9293340066268639,58.32204102414152,0.02798396054554084,28.965866405831378,43.73835336767501,0.9293743866654294,0.9181897556158635,-50.887735238800836,0.026324041457859118,-30.42565039200843,-38.77301476737063,0.9301257010963898,9,9,9,10,9,9,9,8,11,10,11,8,57
"SVR(C=1.6, cache_size=3000, epsilon=0.01, gamma=4, kernel='poly')",0.9180630698561023,62.8011106187534,0.03178034042876887,26.202678209173186,44.39505559902023,0.9181724351944064,0.9134460939788898,-53.213698097269656,0.026816971347023495,-26.38075773957297,-38.032519493697556,0.9241237096015193,13,13,13,6,11,13,11,10,12,6,9,10,58
"MLPRegressor(hidden_layer_sizes=(30, 7), max_iter=60, solver='lbfgs')",0.9221278134682236,61.223572026212565,0.02962073306659285,28.915104251413766,43.843568904757156,0.9221612851792568,0.9291287349424712,-81.8795114085201,0.021793974895464606,-39.092600984552654,-35.3627589353693,0.8441604491398449,10,10,10,9,10,10,8,13,8,13,8,13,63
"DecisionTreeRegressor(max_depth=20, min_samples_leaf=4, min_samples_split=5)",0.9399715163913341,53.753428077265674,0.021443301671718488,32.979166666666686,41.30356935817806,0.9414405640447197,0.9058162366157149,-54.70989708241895,0.02014881638202428,-34.212333333333326,-41.282506646825404,0.9159175239818802,7,7,6,12,7,5,12,11,6,12,13,11,65
LinearRegression(),0.919665670120918,62.183915925700845,0.03137614170788176,27.60012707487209,45.03928482247422,0.9196679789573632,0.8969876593292202,-55.77508203312689,0.02958229235916992,-28.276499475818753,-39.74893869801776,0.9129286969838336,12,12,12,8,13,12,13,12,13,9,12,12,71
