,Hardness,Al,Co,Cr,Cu,Fe,Ni,
39,418,0.182,0.182,0.182,0.182,0.091,0.182,0.042356271
267,245.8,0.13,0.217,0.217,0.217,0.217,0.217,0.961961563
19,694,0.429,0.071,0.143,0.071,0.143,0.143,0.716175426
25,110,0.059,0.235,0.235,0,0.235,0.235,0.076412386
268,169,0.048,0.238,0.238,0.238,0.238,0.238,0.284743061
85,768,0.4,0.133,0.067,0.133,0.2,0.067,0.868278361
42,639,0.222,0.222,0.222,0.111,0.222,0,0.662628185
81,644,0.428571429,0.142857143,0.142857143,0.142857143,0.142857143,0,0.172910959
46,617,0.167,0.167,0.333,0,0.167,0.167,0.606519155
242,644,0.429,0.143,0.143,0.143,0.143,0,0.355005685
31,150,0,0.1,0.225,0.225,0.225,0.225,0.151585582
265,109,0,0.143,0.143,0,0.571,0.143,0.516706383
183,799,0.47,0.13,0.13,0.05,0.12,0.1,0.609862882
175,699,0.34,0.17,0.34,0,0.05,0.1,0.304491546
21,510,0.167,0.167,0.167,0,0.333,0.167,0.460561696
272,510,0.273,0.182,0.182,0,0.182,0.182,0.261066005
123,624,0.175,0.075,0.25,0,0.25,0.25,0.641928383
186,816,0.43,0.2,0.19,0,0.09,0.09,0.794775586
263,165.03,0.05,0.225,0.25,0.225,0,0.25,0.519553747
222,279.6,0.143,0.143,0,0.143,0.143,0.429,0.755477213
225,840,0.46,0.21,0.18,0.05,0.05,0.05,0.894139227
223,305.4,0.18,0.3,0.1,0,0.1,0.32,0.573408058
88,469,0.12,0,0.31,0.21,0.05,0.31,0.928562389
76,602,0.25,0.167,0.167,0.083,0.167,0.167,0.804207654
22,172,0,0.167,0.333,0.167,0.167,0.167,0.586657957
29,512,0.333333333,0.166666667,0.166666667,0,0.166666667,0.166666667,0.388778844
220,323.8,0.182,0.182,0,0.182,0.182,0.273,0.369381554
260,578.26,0.196,0.196,0.196,0.196,0.196,0.196,0.749764865
84,158,0,0.167,0.167,0.167,0.167,0.333,0.584416045
48,438,0.238,0.238,0.05,0,0.238,0.238,0.126149058
221,299.2,0.167,0.167,0,0.167,0.167,0.333,0.020628941
241,657,0.412,0.147,0.147,0.147,0.147,0,0.091633622
180,811,0.47,0.12,0.12,0.05,0.13,0.11,0.235739161
181,855,0.43,0.19,0.19,0,0.11,0.08,0.445992933
43,615,0.238,0.238,0.238,0,0.238,0.05,0.436003806
33,476,0.245283019,0.188679245,0.188679245,0.188679245,0.188679245,0,0.612839833
218,430.9,0.222,0.222,0,0.222,0.222,0.111,0.91390403
136,654,0.28,0.08,0.25,0.08,0.19,0.12,0.759718914
24,158,0,0.225,0.1,0.225,0.225,0.225,0.346448333
228,162,0.138,0,0.192,0.192,0.192,0.385,0.047753364
