,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9423195617719343,53.49640428734278,0.018370559934260157,22.25653076171875,36.22124159792636,0.9426836970740423,0.9204288299728358,-40.99591049947823,0.012492669184018033,-23.450006256103514,-29.924799833679195,0.9306664686945203,0,0,0,2,0,0,1,0,0,2,0,1,4
<catboost.core.CatBoostRegressor object at 0x0000011E1A4659A0>,0.9254944715562876,60.80013818597895,0.035519881202973495,23.94294944941805,39.540178184586566,0.9291954550576694,0.9271330094421841,-45.583212208668726,0.02163994210675354,-26.047747347342757,-32.3414802107526,0.9326640331730042,4,4,7,4,4,4,0,2,2,3,1,0,8
"GradientBoostingRegressor(learning_rate=0.11, n_estimators=650, subsample=0.7)",0.9360041802827671,56.34898787678036,0.020182678742108013,21.135262337186134,38.66280877070507,0.9367734818451015,0.9109774749878181,-43.38643811245141,0.02116776051717965,-23.02804079935137,-33.67588884967986,0.9149463529484312,3,3,2,1,3,3,2,1,1,1,2,2,9
"ExtraTreesRegressor(max_depth=15, n_estimators=61, n_jobs=-2)",0.9403518259546648,54.40125183480537,0.025256753596228698,20.639344262295026,36.627185211021974,0.9418671442544552,0.9046676009947612,-56.002508341858544,0.021717730962471968,-23.004653005464494,-36.69333175416341,0.9130542954966666,1,1,5,0,2,1,3,5,3,0,3,3,17
"RandomForestRegressor(max_depth=22, n_estimators=350)",0.9378137083977587,55.54662112505939,0.019449268838091612,22.709085714286118,36.5133477203648,0.9386453060358213,0.8969369583255631,-54.49688728967541,0.023152836999880258,-30.046432857142815,-38.68006997619047,0.8995791730772027,2,2,1,3,1,2,4,3,4,4,4,4,23
"LGBMRegressor(learning_rate=0.07, max_depth=13, n_estimators=650, num_leaves=5)",0.9051819123974462,68.58922765126039,0.03591693741516254,37.039928447429475,50.2438175843613,0.909687661664966,0.8738511418437056,-55.64241364788463,0.037057364569529905,-32.85956440631573,-40.051490955788964,0.8824905118334057,8,8,8,10,9,8,5,4,7,6,5,5,32
"AdaBoostRegressor(loss='square', n_estimators=80)",0.924769371253349,61.095280404051955,0.022992015642029486,28.272727272727252,44.511963600584544,0.9281612357507725,0.8536390887236769,-58.84055664312855,0.02707026718159393,-34.91566726700717,-40.933428950553434,0.854505956439964,5,5,3,7,6,5,7,6,5,7,6,7,38
"DecisionTreeRegressor(max_depth=20, min_samples_split=5)",0.9190253313056831,63.384768214513215,0.02299841997986193,27.799999999999955,43.07872340425532,0.9202322284312417,0.8112541896774788,-67.78827110234373,0.0360380095149257,-32.3625,-44.92768854166666,0.8440059199493135,6,6,4,6,5,6,9,8,6,5,7,10,45
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=650)",0.8910998151945537,73.5063105442862,0.044888036539414936,31.635764102564337,51.341073710377714,0.8917080807211345,0.8442436852586578,-66.63207343145841,0.05121666359017433,-46.07991971481506,-51.737333222924846,0.8534058906629991,9,9,12,8,10,9,8,7,8,9,9,8,49
"SVR(C=1.6, cache_size=3000, epsilon=0.01, gamma=4, kernel='poly')",0.9171841802334307,64.10131947589905,0.0328430709283407,33.42192243354697,48.5227628284764,0.9175771531025693,0.8552418713078669,-69.18913598853692,0.1730150825047071,-39.84227972821496,-51.78947977138394,0.8660087751813428,7,7,6,9,7,7,6,9,13,8,10,6,52
"MLPRegressor(hidden_layer_sizes=(50, 6), max_iter=60, solver='lbfgs')",0.8834698777912556,76.03777805531514,0.046359001634039804,27.423839792081708,48.71264205971155,0.8834720566455044,0.727653071799033,-74.6864842322944,0.14238037098094206,-46.18219898105211,-51.546360569698685,0.8533371648497609,10,10,13,5,8,10,10,10,12,10,8,9,59
Ridge(solver='saga'),0.8684415576463946,80.79224534890288,0.04149413676321308,51.23367561181351,63.468646932285644,0.869370550086844,0.7138129449001237,-86.1777719602251,0.07376024267408342,-64.68673775656079,-70.50054430746593,0.7330624754404436,11,11,11,12,12,11,11,11,9,13,12,11,67
"Lasso(alpha=0.1, max_iter=4000)",0.8576296345919197,84.04659365372349,0.038535667329013285,50.0190764092107,63.39026071279964,0.8591855592981599,0.6860003280371156,-86.65022019801681,0.09004375250067656,-60.93967785253858,-69.14898249204924,0.7263796561087055,12,12,9,11,11,12,12,12,10,12,11,12,69
LinearRegression(),0.8566213064285342,84.3436955938965,0.03872133728254038,51.26292288395632,63.56232961605745,0.858290338041198,0.40831456144184,-138.23710473799082,0.11339935427168661,-60.77489628825956,-80.2777129022911,0.4661889935996609,13,13,10,13,13,13,13,13,11,11,13,13,74
