,Hardness,Al,Co,Cr,Cu,Fe,Ni
15,531,0.238,0.048,0,0.238,0.238,0.238
16,534,0.222,0,0.222,0.111,0.222,0.222
17,482,0.31,0.172,0.172,0,0.172,0.172
18,609,0.308,0.154,0.154,0.077,0.154,0.154
19,694,0.429,0.071,0.143,0.071,0.143,0.143
20,503,0.182,0.182,0.182,0,0.182,0.273
21,510,0.167,0.167,0.167,0,0.333,0.167
22,172,0,0.167,0.333,0.167,0.167,0.167
23,603,0.315,0.137,0.137,0.137,0.137,0.137
24,158,0,0.225,0.1,0.225,0.225,0.225
25,110,0.059,0.235,0.235,0,0.235,0.235
26,584,0.222,0.222,0,0.111,0.222,0.222
27,366,0.182,0.273,0,0.182,0.182,0.182
28,735,0.375,0.125,0.125,0.125,0.125,0.125
29,512,0.333333333,0.166666667,0.166666667,0,0.166666667,0.166666667
30,162,0.038,0,0.192,0.192,0.192,0.385
31,150,0,0.1,0.225,0.225,0.225,0.225
32,183,0,0.25,0.25,0.25,0,0.25
33,476,0.245283019,0.188679245,0.188679245,0.188679245,0.188679245,0
34,536,0.2,0.2,0,0.2,0.2,0.2
35,532,0.167,0.333,0.167,0,0.167,0.167
36,537,0.167,0.167,0.167,0.083,0.25,0.167
37,539,0.225,0.1,0.225,0,0.225,0.225
38,382,0.167,0.208,0.208,0,0.208,0.208
39,418,0.182,0.182,0.182,0.182,0.091,0.182
40,576,0.286,0.143,0.143,0.143,0.143,0.143
41,149,0.07,0,0.233,0,0.233,0.465
42,639,0.222,0.222,0.222,0.111,0.222,0
43,615,0.238,0.238,0.238,0,0.238,0.05
44,175,0,0.333,0.167,0.167,0.167,0.167
45,479,0.231,0.192,0.192,0,0.192,0.192
46,617,0.167,0.167,0.333,0,0.167,0.167
47,388,0.158,0.211,0.211,0,0.211,0.211
48,438,0.238,0.238,0.05,0,0.238,0.238
49,207,0.091,0.182,0.182,0.182,0.182,0.182
69,510,0.231,0.154,0.154,0.154,0.154,0.154
70,249,0.167,0.333,0,0.167,0.167,0.167
71,180,0.069767442,0.23255814,0.23255814,0.23255814,0.23255814,0
72,510,0.213,0.213,0.15,0,0.213,0.213
73,367,0.182,0.182,0.091,0.182,0.182,0.182
74,487,0.238,0.19,0.19,0,0.19,0.19
75,619,0.28,0.1,0.25,0.15,0.22,0
76,602,0.25,0.167,0.167,0.083,0.167,0.167
77,295,0.154,0.308,0.154,0.077,0.154,0.154
78,118,0.024,0.244,0.244,0,0.244,0.244
79,209,0.111111111,0.222222222,0.222222222,0,0.222222222,0.222222222
80,483,0.12,0,0.31,0.2,0.05,0.32
81,644,0.428571429,0.142857143,0.142857143,0.142857143,0.142857143,0
82,380,0.2,0.267,0,0,0.267,0.267
83,143,0,0,0.25,0.25,0.25,0.25
84,158,0,0.167,0.167,0.167,0.167,0.333
85,768,0.4,0.133,0.067,0.133,0.2,0.067
86,514,0.154,0.154,0.154,0.077,0.308,0.154
87,229,0.111,0,0.222,0,0.222,0.444
88,469,0.12,0,0.31,0.21,0.05,0.31
89,712,0.25,0.25,0.25,0,0,0.25
90,382,0.111,0,0.222,0.222,0.222,0.222
91,695,0.385,0.154,0.154,0,0.154,0.154
123,624,0.175,0.075,0.25,0,0.25,0.25
124,591,0.429,0.143,0.071,0.071,0.071,0.214
125,172,0,0.225,0.225,0.225,0.1,0.225
126,576,0.306,0,0.139,0.139,0.139,0.278
127,205,0.143,0.286,0,0,0.286,0.286
128,701,0.429,0.214,0.071,0.071,0.071,0.143
129,304,0.063,0,0.313,0,0.469,0.156
130,775,0.4,0.2,0.2,0,0.2,0
131,517,0.272727273,0.181818182,0.181818182,0,0.181818182,0.181818182
132,521,0.194,0,0.161,0.161,0.161,0.323
133,510,0.272727273,0.181818182,0.181818182,0.181818182,0.181818182,0
134,527,0.184,0.204,0.204,0,0.204,0.204
135,271,0.166666667,0.208333333,0.208333333,0.208333333,0.208333333,0
136,654,0.28,0.08,0.25,0.08,0.19,0.12
137,127,0.091,0.227,0.227,0,0.227,0.227
138,207,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0
169,586,0.2,0.2,0.2,0.1,0.1,0.2
170,607,0.154,0.154,0.308,0.077,0.154,0.154
171,551,0.2,0.1,0.2,0.1,0.2,0.2
172,651,0.333,0,0.167,0.167,0.167,0.167
173,280,0.08,0.17,0.17,0.08,0.17,0.33
174,720,0.429,0.143,0.143,0.071,0.071,0.143
175,699,0.34,0.17,0.34,0,0.05,0.1
176,728,0.47,0.14,0.15,0.05,0.13,0.06
177,604,0.38,0.11,0.06,0.09,0.31,0.05
178,790,0.36,0.1,0.31,0.06,0.09,0.08
179,806,0.43,0.17,0.15,0,0.14,0.11
180,811,0.47,0.12,0.12,0.05,0.13,0.11
181,855,0.43,0.19,0.19,0,0.11,0.08
182,802,0.39,0.1,0.31,0.05,0.08,0.07
183,799,0.47,0.13,0.13,0.05,0.12,0.1
184,857,0.43,0.2,0.22,0,0.08,0.07
185,855,0.47,0.14,0.19,0.05,0.1,0.05
186,816,0.43,0.2,0.19,0,0.09,0.09
216,458,0.167,0.167,0.167,0.167,0.167,0.167
217,581.7,0.333,0.167,0.167,0,0.167,0.167
218,430.9,0.222,0.222,0,0.222,0.222,0.111
219,420,0.208,0.208,0,0.208,0.208,0.167
220,323.8,0.182,0.182,0,0.182,0.182,0.273
221,299.2,0.167,0.167,0,0.167,0.167,0.333
222,279.6,0.143,0.143,0,0.143,0.143,0.429
223,305.4,0.18,0.3,0.1,0,0.1,0.32
224,863,0.43,0.23,0.21,0,0.08,0.05
225,840,0.46,0.21,0.18,0.05,0.05,0.05
226,183,0.157,0.189,0.189,0.189,0.189,0.189
227,110,0.159,0.235,0.235,0,0.235,0.235
228,162,0.138,0,0.192,0.192,0.192,0.385
229,170,0.157,0,0.189,0.189,0.189,0.377
230,304,0.163,0,0.313,0,0.469,0.156
231,134,0,0.25,0.25,0.25,0.25,0
232,180,0.07,0.233,0.233,0.233,0.233,0
233,207,0.111,0.222,0.222,0.222,0.222,0
234,271,0.167,0.208,0.208,0.208,0.208,0
235,476,0.245,0.189,0.189,0.189,0.189,0
236,510,0.273,0.182,0.182,0.182,0.182,0
237,557,0.31,0.172,0.172,0.172,0.172,0
238,567,0.333,0.167,0.167,0.167,0.167,0
239,603,0.365,0.159,0.159,0.159,0.159,0
240,624,0.385,0.154,0.154,0.154,0.154,0
241,657,0.412,0.147,0.147,0.147,0.147,0
242,644,0.429,0.143,0.143,0.143,0.143,0
252,340,0.206,0.159,0.159,0,0.159,0.317
253,240.7,0.095,0.19,0.19,0.143,0.19,0.19
254,240.78,0.1,0.2,0.2,0.1,0.2,0.2
255,312.54,0.135,0.192,0.192,0.096,0.192,0.192
256,341.09,0.143,0.19,0.19,0.095,0.19,0.19
257,375.23,0.15,0.2,0.2,0.05,0.2,0.2
258,403.25,0.152,0.19,0.19,0.086,0.19,0.19
259,560.11,0.17,0.189,0.189,0.075,0.189,0.189
260,578.26,0.196,0.196,0.196,0.196,0.196,0.196
261,375,0.167,0.167,0.167,0.333,0.167,0.167
262,637.2,0.238,0.238,0.238,0,0.048,0.238
263,165.03,0.05,0.225,0.25,0.225,0,0.25
264,124,0,0.2,0.2,0,0.4,0.2
265,109,0,0.143,0.143,0,0.571,0.143
266,115,0,0.167,0.167,0,0.5,0.167
267,245.8,0.13,0.217,0.217,0.217,0.217,0.217
268,169,0.048,0.238,0.238,0.238,0.238,0.238
269,516.6,0.259,0.185,0.185,0,0.185,0.185
270,193,0.133,0.333,0,0.2,0,0.333
271,396,0.167,0.167,0.167,0.167,0.167,0.333
272,510,0.273,0.182,0.182,0,0.182,0.182
