,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"ExtraTreesRegressor(max_depth=20, n_estimators=81, n_jobs=-3)",0.9538169270005598,49.44952159237654,0.016932652677841355,25.701234567901224,36.39511111111109,0.954946027155819,0.8779367195973918,-56.35398889641159,0.028326024187066784,-29.665975308641965,-38.232620105820104,0.8930044994011844,0,0,0,0,0,0,1,1,0,2,1,1,6
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.01, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.926523220915044,62.37287113333903,0.023747636524929054,37.0477294921875,45.07719482421875,0.9273049152000787,0.8710017314007542,-56.86218710969466,0.028807913105067064,-29.27719024658203,-39.31323186165946,0.8835736118165827,4,4,2,7,4,4,2,2,1,1,2,3,11
<catboost.core.CatBoostRegressor object at 0x000002615B0C0640>,0.9348927632515227,58.71314070778458,0.03035405141439351,30.765028587879897,43.72055733743219,0.937877494593523,0.9053315261618143,-50.841237774968434,0.06697997129113627,-32.3546305843667,-36.21256357959159,0.9103714611165523,2,2,3,5,3,2,0,0,8,4,0,0,12
"GradientBoostingRegressor(learning_rate=0.07, n_estimators=350, subsample=0.6)",0.9189316035820375,65.51586387716267,0.031888150765710166,34.42294282457743,47.59332486661757,0.9247520815818788,0.8592423127193287,-57.27850843284646,0.05825393119314911,-31.475418101994062,-41.382450692285076,0.8879226922625888,5,5,6,6,5,5,3,3,6,3,3,2,20
"LGBMRegressor(learning_rate=0.11, max_depth=19, n_estimators=200, num_leaves=5)",0.8842425404380649,78.28799563526307,0.048148678933980865,42.16116330382772,60.46692295413939,0.886538477001453,0.853689897745968,-64.23194596906949,0.04218692136045631,-35.61321466003594,-45.29819288763075,0.8655181035509931,12,12,11,12,12,12,4,4,2,5,4,4,23
"RandomForestRegressor(max_depth=26, n_estimators=50)",0.9288415461173867,61.38099614655264,0.0235214545835073,29.26800000000003,41.29408888888888,0.9345347276192958,0.8329988980027743,-65.03688764409142,0.04309682939174431,-28.78857999999999,-45.72511076190476,0.8452595244148602,3,3,1,3,2,3,5,5,3,0,5,6,24
"AdaBoostRegressor(loss='square', n_estimators=140)",0.8926470726866876,75.39241001619334,0.040769356316744824,27.250000000000114,50.42468813558177,0.8970434619371417,0.8123409999082254,-69.76190791577409,0.04348072849721226,-41.258688695791584,-50.121380181494956,0.8205194089414117,11,11,9,1,7,10,8,6,4,7,6,8,39
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=650)",0.9129310596867628,67.8972696044723,0.0431411088290303,28.468051282051192,49.81936911952244,0.918911842653589,0.8165936737847594,-71.60484397127358,0.05827198089965678,-50.58141003107987,-56.72377108741591,0.842629287470076,6,6,10,2,6,6,6,7,7,10,10,7,47
"SVR(C=1.6, cache_size=3000, epsilon=0.09, gamma=4, kernel='poly')",0.9438268190513249,54.53623965351632,0.09386484542848633,29.625219628188063,41.15207462412142,0.9457473440577411,0.8161942148419463,-73.38982064996148,0.12297111175297082,-42.86872987607477,-53.636048781384126,0.8457386329215228,1,1,13,4,1,1,7,8,13,8,7,5,48
"DecisionTreeRegressor(max_depth=25, min_samples_leaf=2, min_samples_split=5)",0.8389066460279546,92.35480432101429,0.058154172539182564,49.94999999999999,66.84685185185185,0.8396437564436682,0.7211099999488388,-74.20983920938075,0.05332885903666678,-42.882999999999996,-55.57709206349207,0.7490279780070784,13,13,12,13,13,13,10,9,5,9,8,10,51
"MLPRegressor(alpha=0.1, hidden_layer_sizes=(60, 9), max_iter=60, solver='lbfgs')",0.8944808590382511,74.74571560507522,0.03822267367111867,39.33334073787847,53.6392147399977,0.8946852943473167,0.7688007404506916,-74.88349664501072,0.07946943305351088,-40.39030430238273,-56.18701060515654,0.7891970368527397,10,10,8,9,11,11,9,10,9,6,9,9,52
"Ridge(alpha=0.1, solver='sparse_cg')",0.904238537564636,71.20591402569231,0.03174533003780591,40.624878144118156,52.757630389313405,0.9044550298224847,0.6980927229850686,-86.10400946906594,0.08100630533387534,-55.14472803300629,-67.75290219491198,0.7165712492599299,7,7,5,10,9,7,11,11,10,13,11,11,67
"Lasso(alpha=0.2, max_iter=4000)",0.9040629448029238,71.27116739792626,0.03166187317571081,40.863204906879105,52.80298608566318,0.9042501022099194,0.6918751661410376,-86.97585111850495,0.08150476262315404,-54.776602926962596,-68.12431667563695,0.709982646852562,8,8,4,11,10,8,12,12,11,12,13,12,72
LinearRegression(positive=True),0.9036367325358893,71.429307453922,0.03194874668306962,39.18521626391913,52.55262884427306,0.9038829786506398,0.6893164617255587,-87.62930573928152,0.08513249744879613,-54.60334083091324,-68.01076144134858,0.7071027188308109,9,9,7,8,8,9,13,13,12,11,12,13,74
