,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9384846849399243,57.733140682304516,0.023591432763600758,31.29962158203125,40.8725525876309,0.9386811279261811,0.9363425485847477,-41.16958927338392,0.01347582314266398,-21.177742767333985,-29.875864682769777,0.9376402711532823,2,2,2,6,1,2,0,0,0,1,0,0,1
<catboost.core.CatBoostRegressor object at 0x0000011E1A40DE20>,0.9217286448807833,65.12308772428956,0.05114371480891598,29.772246759203085,45.82742893056668,0.9227088756518007,0.9290443326275779,-45.7879393517046,0.022793305960447846,-20.918115003709396,-30.591772306804323,0.9322387027464799,7,7,8,4,5,7,1,2,3,0,1,1,8
"GradientBoostingRegressor(learning_rate=0.09, n_estimators=650, subsample=0.6)",0.9393808241458218,57.31107718134736,0.019666029064414815,34.314523803282896,41.799800092183006,0.9394074734241792,0.9250308262609035,-43.19710612010845,0.02161229020716606,-24.38278118752176,-30.897436201322932,0.9255923436490303,1,1,0,7,3,1,2,1,2,3,2,2,12
"ExtraTreesRegressor(max_depth=15, n_estimators=81, n_jobs=-2)",0.9328086928273902,60.337887716332546,0.02957564738190207,27.333333333333314,41.14576044129236,0.9341605900325235,0.9161104348760679,-51.08629372937585,0.02054398291993535,-23.014895061728406,-33.30139702074761,0.9174119046884073,4,4,4,2,2,4,3,3,1,2,3,3,15
"RandomForestRegressor(max_depth=14, n_estimators=350)",0.9396620312885986,57.17799208056585,0.023472267371746795,26.408571428571463,39.513934954407326,0.9398042326983046,0.9013207690724752,-53.441977663313615,0.025394226433150598,-26.888595714285692,-36.98536473280423,0.9108846640291952,0,0,1,1,0,0,4,4,4,4,4,4,24
"LGBMRegressor(learning_rate=0.07, max_depth=19, n_estimators=650, num_leaves=8)",0.9225281743394059,64.78962296812817,0.04335837099612486,37.96602938562657,49.861812141089565,0.923814662051774,0.8884586157089208,-54.137374679857494,0.03626765443038558,-33.113280729757356,-39.7192385778583,0.8923001812784207,6,6,6,9,8,6,5,5,7,6,5,5,33
AdaBoostRegressor(loss='square'),0.9259380541783149,63.34773867022224,0.03200492498959078,24.799999999999955,46.724281099178164,0.9265217568009347,0.8509879085822302,-61.304471362667336,0.03187467865077485,-37.69718709044696,-45.51646413516704,0.8790388429363002,5,5,5,0,6,5,7,6,5,8,7,6,39
"DecisionTreeRegressor(max_depth=15, min_samples_leaf=2, min_samples_split=5)",0.9345733088856882,59.540302373209876,0.024484720477170693,30.0,43.51686170212765,0.9346560500327694,0.816074610066571,-69.28184155118619,0.03406283372922967,-30.761666666666677,-41.05055486111111,0.8623538869637164,3,3,3,5,4,3,9,8,6,5,6,10,44
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=500)",0.8865982153428016,78.38690226065513,0.0595892814307639,38.38039333333347,57.35899864235061,0.8866550802720132,0.8542075161520357,-65.26027899744643,0.05126548366759962,-43.71328399847374,-50.67135229447892,0.8743641171265372,10,10,10,10,10,10,6,7,9,10,9,8,49
"MLPRegressor(alpha=0.01, hidden_layer_sizes=(70, 6), max_iter=60,
             solver='lbfgs')",0.8941957578903359,75.71555284515698,0.055625904499729865,29.34007965200817,48.448682093875405,0.8942004821318814,0.7446965016277519,-70.52925434648436,0.04523776423064852,-37.47670808938765,-48.36021507430564,0.8775441148905172,9,9,9,3,7,9,10,10,8,7,8,7,50
"SVR(C=1.6, cache_size=4000, epsilon=0.09, gamma=4, kernel='poly')",0.9043507997185979,71.9903407263337,0.04937539548435284,37.69453965493278,53.526546857446654,0.904947628010229,0.8395328850594013,-70.48028146215752,0.1265590414818592,-37.75074873714524,-52.23879970141104,0.869301212882152,8,8,7,8,9,8,8,9,13,9,10,9,58
Ridge(solver='sag'),0.8617263918096987,86.55720121518519,0.06076657275378492,49.04273473022687,66.45844109051887,0.8617269743101196,0.7278216573761076,-86.3953491914387,0.07686475931122767,-64.39499025224914,-70.43880312044976,0.7456042518595737,11,11,11,11,11,11,11,11,10,13,12,11,68
"Lasso(alpha=0.1, max_iter=4000)",0.8419991130034896,92.52590037797025,0.08949244468022044,51.80436818176662,69.16644221067708,0.8420553705893179,0.7109733050374327,-86.70240524668036,0.09390817884142517,-61.18470564721154,-68.98129649847141,0.7392479792429465,12,12,12,12,12,12,12,12,11,11,11,12,69
LinearRegression(),0.841639915724839,92.63101429426777,0.09036586143513646,51.905502802599244,69.22621226649342,0.8416802956685023,0.6824204319527574,-93.46783695486023,0.11915388727928296,-61.37968170075108,-71.78556335706297,0.7077329644904615,13,13,13,13,13,13,13,13,12,12,13,13,76
