,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.07, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9233820091962646,61.39816117762262,0.02477797901009254,24.601394653320312,42.828845612899116,0.9234991590817935,0.9390387020753836,-45.696025936498714,0.01655137905318688,-23.828246307373046,-32.208560548146565,0.9417278315252477,3,3,2,0,3,3,0,0,0,1,0,0,1
<catboost.core.CatBoostRegressor object at 0x0000016ED544D5B0>,0.9214511954644409,62.166980654427476,0.035291525277194466,26.011749652313142,42.0944009608081,0.9217937280587941,0.9287819397169292,-50.30417836551324,0.027694034894479143,-23.81830260696325,-34.077289083091486,0.9318526078031487,4,4,6,3,2,4,2,2,4,0,1,1,10
"GradientBoostingRegressor(learning_rate=0.07, n_estimators=650, subsample=0.6)",0.918535856890049,63.31013387983009,0.03116748955976502,30.202230955479592,43.209641144416274,0.9192197563771485,0.9309810132602431,-49.40884409531869,0.020380417301081356,-24.86229359124803,-37.094469143637085,0.9294053882914757,5,5,5,6,4,5,1,1,2,3,3,3,13
"ExtraTreesRegressor(max_depth=25, n_estimators=41, n_jobs=-2)",0.9300099139830517,58.68245152545147,0.022839158640425322,25.182926829268297,39.99931071049841,0.9302409466143531,0.9265541214708213,-50.78391283124428,0.01837928736752333,-24.535121951219512,-35.23163516260163,0.9312234801411214,1,1,1,1,1,1,3,3,1,2,2,2,13
"RandomForestRegressor(max_depth=14, n_estimators=350)",0.9336364904493181,57.1418974712739,0.022797228057261462,25.524714285714282,39.11169565217397,0.9341106034875113,0.8992206347897319,-56.88015729483879,0.026794943041480113,-27.921657142857107,-39.50054960884354,0.914848601313758,0,0,0,2,0,0,5,5,3,4,5,5,27
"LGBMRegressor(learning_rate=0.05, max_depth=19, n_estimators=650, num_leaves=8)",0.9022708267349911,69.34291550594124,0.042922350362118424,41.50098644307576,53.5992450124882,0.90429093381196,0.9201057299394728,-51.66905565652605,0.03474436282726958,-31.41551312502555,-38.74344465400517,0.9212621957720281,6,6,7,10,8,6,4,4,6,5,4,4,27
"AdaBoostRegressor(loss='square', n_estimators=140)",0.924094301070391,61.112095660891534,0.029383864834053627,27.218153846153854,44.08527004378725,0.924293989120471,0.8916128079393942,-60.912756912569925,0.03075176427056257,-34.581979552045894,-44.72872883592715,0.8954845826379246,2,2,4,4,5,2,6,6,5,7,6,6,36
DecisionTreeRegressor(max_depth=15),0.87567920738724,78.20992514575339,0.027116802458003048,28.0,47.45434782608696,0.8756793250503858,0.8375723767249253,-62.92706118329909,0.04296240539827046,-33.93,-45.99104166666667,0.8685772425973622,10,10,3,5,6,10,10,7,7,6,7,10,47
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=500)",0.8767585815157221,77.86966910281801,0.05137748029003758,41.34545825757603,56.73748209313639,0.8767691252808034,0.8641815178809191,-68.16154829535584,0.05219168280346026,-44.829055333333315,-52.80069675623199,0.8830444796270525,9,9,9,9,10,9,7,8,8,10,9,7,49
"MLPRegressor(alpha=0.1, hidden_layer_sizes=(50, 8), max_iter=60, solver='lbfgs')",0.8870803043846676,74.53750207814191,0.053112623932041726,30.569512464843285,48.491099380687956,0.8873312575895761,0.8528903114965501,-71.31556930315493,0.0789089620439203,-40.947198775562384,-52.00951316672909,0.8705052474649143,7,7,10,7,7,8,8,9,10,8,8,9,52
"SVR(C=1.6, cache_size=3000, epsilon=0.09, gamma=4, kernel='poly')",0.8868327890252063,74.61914894065131,0.05061432544596436,35.00750789890495,55.63786586444227,0.8874148850906755,0.839019968319947,-72.01709647950065,0.12431012521529543,-42.935411289992956,-53.27345583991805,0.873022555454763,8,8,8,8,9,7,9,10,13,9,10,8,59
LinearRegression(),0.8331264316243563,90.61159214418856,0.06247493975409788,49.071756705776636,69.66695686014934,0.8340829038437324,0.7795794550671256,-84.43833779677465,0.08602364581188682,-51.49457356852524,-66.60914987850418,0.8142804122122003,13,13,12,12,12,13,11,11,12,11,11,12,68
Ridge(solver='saga'),0.8416302971319486,88.27262386938185,0.0648584622183372,54.061914632817405,69.99845321991381,0.8423233517734121,0.7758875635362492,-84.79361456764363,0.07231498636355259,-60.31659285564783,-68.87858496715914,0.8153799718797279,11,11,13,13,13,11,13,12,9,13,13,11,71
"Lasso(alpha=0.1, max_iter=4000)",0.8337779457939993,90.43453453413963,0.06222904811967853,48.78074241116363,69.57090261401956,0.8346460888958762,0.7764655561229816,-84.88566966782345,0.0845274830803473,-53.30953613948725,-66.99325753360606,0.814268318371106,12,12,11,11,11,12,12,13,11,12,12,13,73
