,Hardness,Al,Co,Cr,Cu,Fe,Ni
69,510,0.231,0.154,0.154,0.154,0.154,0.154
70,249,0.167,0.333,0,0.167,0.167,0.167
71,180,0.069767442,0.23255814,0.23255814,0.23255814,0.23255814,0
72,510,0.213,0.213,0.15,0,0.213,0.213
73,367,0.182,0.182,0.091,0.182,0.182,0.182
74,487,0.238,0.19,0.19,0,0.19,0.19
75,619,0.28,0.1,0.25,0.15,0.22,0
76,602,0.25,0.167,0.167,0.083,0.167,0.167
77,295,0.154,0.308,0.154,0.077,0.154,0.154
78,118,0.024,0.244,0.244,0,0.244,0.244
79,209,0.111111111,0.222222222,0.222222222,0,0.222222222,0.222222222
80,483,0.12,0,0.31,0.2,0.05,0.32
81,644,0.428571429,0.142857143,0.142857143,0.142857143,0.142857143,0
82,380,0.2,0.267,0,0,0.267,0.267
83,143,0,0,0.25,0.25,0.25,0.25
84,158,0,0.167,0.167,0.167,0.167,0.333
85,768,0.4,0.133,0.067,0.133,0.2,0.067
86,514,0.154,0.154,0.154,0.077,0.308,0.154
87,229,0.111,0,0.222,0,0.222,0.444
88,469,0.12,0,0.31,0.21,0.05,0.31
89,712,0.25,0.25,0.25,0,0,0.25
90,382,0.111,0,0.222,0.222,0.222,0.222
91,695,0.385,0.154,0.154,0,0.154,0.154
