,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9497456685451877,52.03222375470393,0.01874347938434038,20.767303466796875,36.017655744708954,0.949912714313515,0.9015159821441477,-48.98056303258353,0.015766269955874098,-22.57196411132812,-34.65588829730806,0.9054765532630858,3,3,2,0,0,3,0,0,0,0,0,0,0
<catboost.core.CatBoostRegressor object at 0x000002066425B940>,0.9549684774325098,49.254277497932385,0.0195779609376469,29.210679469634215,36.580315119787706,0.9556490301047624,0.8893569569733126,-50.79119277744636,0.020670967802261946,-25.17041581231586,-35.50889285257141,0.8987281548321061,0,0,3,4,2,0,1,1,1,1,1,1,6
"GradientBoostingRegressor(learning_rate=0.09, max_depth=5, n_estimators=500,
                          subsample=0.8)",0.950095753251945,51.85067203521714,0.01839774222640056,24.364870702896155,36.34393921634999,0.9509325454343932,0.8813832071011518,-56.28351065587572,0.020775879602234065,-27.265256125985957,-36.07998514735649,0.8945654085445753,2,2,1,2,1,2,3,2,2,3,2,3,15
"ExtraTreesRegressor(max_depth=15, n_estimators=41, n_jobs=-5)",0.9505490996021815,51.614620565968146,0.01837999819806389,23.707317073170742,37.1668199386912,0.9514257183634423,0.8845580464490418,-56.85887688165189,0.021617334555082707,-27.125150987224167,-39.345767500791894,0.8961006623718927,1,1,0,1,3,1,2,3,3,2,3,2,15
"RandomForestRegressor(max_depth=26, min_samples_split=5, n_estimators=50)",0.9363793741237796,58.54429841726548,0.02799080016436613,27.128601587301517,40.89840586071489,0.9367846203708291,0.8560777940482674,-58.51885098397632,0.02607216858444235,-28.60891734126985,-43.14751553546718,0.8704615540692682,4,4,4,3,4,4,5,4,4,4,5,4,26
"LGBMRegressor(learning_rate=0.11, max_depth=19, n_estimators=200, num_leaves=5)",0.9351392300436269,59.11214068810701,0.030639794617066483,36.5860615430131,43.52938429558369,0.9366769422784629,0.8573244923728766,-59.35902362853234,0.02627202712687047,-29.903591542150856,-42.26994165196883,0.8685403916949042,5,5,5,6,5,5,4,5,5,5,4,5,28
"AdaBoostRegressor(learning_rate=0.1, loss='square', n_estimators=80)",0.9271233333816246,62.65848458840355,0.03371851001022863,37.594444444444434,46.91863401477005,0.927385009628925,0.7864272039085856,-70.6108467523919,0.036275543813088736,-38.5432644261762,-51.15781786145016,0.8389058949374993,6,6,7,8,6,6,8,7,6,7,6,8,42
"SVR(C=1.6, cache_size=2000, epsilon=0.09, gamma=4, kernel='poly')",0.9016997014463238,72.77178968222327,0.047451100863397266,36.90801441091975,53.36442321161774,0.9035968180598002,0.8289900832952022,-71.16002929133043,0.06678437065892974,-41.15997523410063,-52.21462109793504,0.8390022309239422,8,8,8,7,7,8,6,8,9,8,7,7,45
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=350)",0.910650474353936,69.3795954022071,0.055360384029368284,46.53261904761911,54.39862370983171,0.9128751913360091,0.821033697550031,-69.69897649508741,0.04966440005402229,-43.240430884353735,-53.597738161483655,0.8465632415768012,7,7,9,9,9,7,7,6,8,9,9,6,45
"DecisionTreeRegressor(max_depth=15, min_samples_split=5)",0.8814586378411895,79.91358131932587,0.031394614926523415,30.700000000000017,54.037568306010925,0.8815880917609376,0.6510376509751192,-74.52365040470613,0.036992098071553216,-36.8075,-53.38438095238096,0.7554417460910656,10,10,6,5,8,10,12,9,7,6,8,9,51
"Lasso(alpha=0.1, max_iter=4000)",0.874877645347236,82.10187805973793,0.07453641379182872,53.66271190707812,64.80045172789409,0.8753219865793667,0.6859925119514202,-85.43642026354199,0.07043371244064692,-52.46671825228223,-66.45619412436818,0.7031039718117528,12,12,12,13,11,12,10,10,10,10,11,11,62
"Ridge(alpha=0.1, solver='saga')",0.8750332200054021,82.0508202590169,0.07378649960276787,51.7180290997822,64.83494135404315,0.8754149018360289,0.68713712525088,-85.5093656905348,0.07086678954089949,-52.75009829629391,-66.55746003770027,0.7029111959638036,11,11,11,11,12,11,9,11,11,11,13,12,67
LinearRegression(positive=True),0.874594478223977,82.19472882959258,0.08443522879976025,52.21363433342776,64.8618358972636,0.8749240867028594,0.677961633425363,-85.98908307170953,0.07556033997739148,-53.34850500622173,-66.46638002008197,0.6967852264582148,13,13,13,12,13,13,11,12,12,12,12,13,72
"MLPRegressor(hidden_layer_sizes=(50, 5), max_iter=60, solver='lbfgs')",0.8919013778824443,76.31250616654897,0.05771430812853397,48.85732176979411,58.276562843484086,0.8936836522548234,0.6125767309702554,-107.41471425000331,0.08147199128700357,-92.07738295940266,-56.84901348421806,0.7239369402583762,9,9,10,10,10,9,13,13,13,13,10,10,72
