,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni
0,166,238.0,0.091,0.0,0.182,0.182,0.182,0.364
1,203,883.0,0.47,0.2,0.18,0.05,0.05,0.05
2,125,172.0,0.0,0.225,0.225,0.225,0.1,0.225
3,119,370.0,0.185,0.0,0.185,0.185,0.185,0.259
4,45,479.0,0.231,0.192,0.192,0.0,0.192,0.192
5,137,127.0,0.091,0.227,0.227,0.0,0.227,0.227
6,248,250.3,0.15,0.25,0.1,0.0,0.25,0.25
7,118,475.0,0.05,0.317,0.317,0.0,0.317,0.0
8,250,386.5,0.2,0.25,0.05,0.0,0.25,0.25
9,98,200.0,0.074,0.0,0.185,0.185,0.185,0.37
10,244,147.2,0.05,0.25,0.2,0.0,0.25,0.25
11,189,855.0,0.43,0.19,0.24,0.0,0.08,0.06
12,67,720.0,0.25,0.25,0.25,0.0,0.25,0.0
13,41,149.0,0.07,0.0,0.233,0.0,0.233,0.465
14,96,157.0,0.0,0.167,0.167,0.167,0.333,0.167
15,187,811.0,0.46,0.14,0.23,0.05,0.07,0.05
16,111,172.0,0.0,0.222222222,0.222222222,0.111111111,0.222222222,0.222222222
17,214,117.0,0.07,0.233,0.233,0.0,0.233,0.233
18,157,225.0,0.125,0.125,0.125,0.0,0.125,0.5
19,143,125.0,0.0,0.2,0.2,0.0,0.2,0.4
20,56,629.0,0.28,0.1,0.27,0.1,0.05,0.2
21,128,701.0,0.429,0.214,0.071,0.071,0.071,0.143
22,198,805.0,0.47,0.13,0.2,0.05,0.1,0.05
23,201,828.0,0.43,0.14,0.21,0.05,0.12,0.05
24,42,639.0,0.222,0.222,0.222,0.111,0.222,0.0
25,140,546.0,0.231,0.0,0.154,0.154,0.154,0.308
26,109,740.0,0.429,0.143,0.143,0.0,0.143,0.143
27,153,544.0,0.265,0.0,0.147,0.147,0.147,0.294
28,194,843.0,0.47,0.12,0.2,0.05,0.11,0.05
29,162,170.0,0.0,0.283,0.283,0.0,0.283,0.15
30,134,527.0,0.184,0.204,0.204,0.0,0.204,0.204
