,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni
0,11,182.0,0.0,0.238,0.238,0.238,0.05,0.238
1,12,265.0,0.154,0.154,0.154,0.0,0.154,0.385
2,13,423.0,0.182,0.182,0.182,0.182,0.182,0.091
3,14,557.0,0.310344828,0.172413793,0.172413793,0.172413793,0.172413793,0.0
4,50,580.0,0.23,0.15,0.23,0.08,0.15,0.16
5,51,135.0,0.077,0.308,0.0,0.0,0.308,0.308
6,52,624.0,0.384615385,0.153846154,0.153846154,0.153846154,0.153846154,0.0
7,53,441.0,0.1,0.0,0.35,0.24,0.05,0.26
8,54,139.0,0.0,0.25,0.25,0.0,0.25,0.25
9,55,408.0,0.192,0.0,0.192,0.192,0.192,0.231
10,56,629.0,0.28,0.1,0.27,0.1,0.05,0.2
11,57,290.0,0.123,0.0,0.175,0.175,0.175,0.351
12,58,657.0,0.411764706,0.147058824,0.147058824,0.147058824,0.147058824,0.0
13,59,601.0,0.167,0.167,0.25,0.083,0.167,0.167
14,60,392.0,0.167,0.0,0.167,0.167,0.167,0.333
15,61,315.0,0.138,0.0,0.172,0.172,0.172,0.345
16,62,371.0,0.167,0.0,0.556,0.0,0.0,0.278
17,63,604.0,0.2,0.2,0.2,0.1,0.2,0.1
18,64,454.0,0.1,0.0,0.35,0.26,0.05,0.24
19,65,550.0,0.242,0.0,0.152,0.152,0.152,0.303
20,66,171.0,0.0,0.213,0.213,0.213,0.15,0.213
21,67,720.0,0.25,0.25,0.25,0.0,0.25,0.0
22,68,479.0,0.2,0.0,0.2,0.2,0.2,0.2
23,92,620.0,0.1,0.3,0.3,0.0,0.3,0.0
24,93,125.0,0.0,0.333333,0.0,0.0,0.333333333,0.333333333
25,94,548.0,0.225,0.225,0.225,0.0,0.225,0.1
26,95,655.0,0.359,0.128,0.128,0.128,0.128,0.128
27,96,157.0,0.0,0.167,0.167,0.167,0.333,0.167
28,97,450.0,0.118,0.0,0.294,0.0,0.441,0.147
29,98,200.0,0.074,0.0,0.185,0.185,0.185,0.37
30,99,310.0,0.154,0.154,0.154,0.077,0.154,0.308
31,100,625.0,0.333,0.133,0.133,0.133,0.133,0.133
32,101,555.0,0.213,0.213,0.213,0.0,0.213,0.15
33,102,546.0,0.2,0.2,0.1,0.1,0.2,0.2
34,103,170.0,0.0,0.225,0.225,0.225,0.225,0.1
35,104,516.0,0.2,0.2,0.2,0.0,0.2,0.2
36,105,764.0,0.43,0.06,0.33,0.06,0.06,0.06
37,106,153.0,0.0,0.238,0.05,0.238,0.238,0.238
38,107,338.0,0.149,0.213,0.213,0.0,0.213,0.213
39,108,131.0,0.086,0.229,0.229,0.0,0.229,0.229
40,109,740.0,0.429,0.143,0.143,0.0,0.143,0.143
41,110,472.0,0.1,0.0,0.35,0.25,0.05,0.25
42,111,172.0,0.0,0.222222222,0.222222222,0.111111111,0.222222222,0.222222222
43,112,170.0,0.057,0.0,0.189,0.189,0.189,0.377
44,113,545.0,0.222,0.111,0.0,0.222,0.222,0.222
45,114,415.0,0.2,0.2,0.2,0.2,0.0,0.2
46,115,475.0,0.206,0.159,0.159,0.159,0.159,0.159
47,116,242.0,0.143,0.143,0.143,0.0,0.143,0.429
48,117,451.0,0.167,0.25,0.167,0.083,0.167,0.167
49,118,475.0,0.05,0.317,0.317,0.0,0.317,0.0
50,119,370.0,0.185,0.0,0.185,0.185,0.185,0.259
51,120,702.0,0.462,0.154,0.077,0.077,0.154,0.077
52,121,168.0,0.053,0.211,0.211,0.0,0.263,0.263
53,122,166.0,0.143,0.429,0.0,0.143,0.143,0.143
54,139,459.0,0.13,0.0,0.28,0.22,0.06,0.31
55,140,546.0,0.231,0.0,0.154,0.154,0.154,0.308
56,141,558.0,0.265,0.147,0.147,0.147,0.147,0.147
57,142,593.0,0.333,0.0,0.133,0.133,0.133,0.267
58,143,125.0,0.0,0.2,0.2,0.0,0.2,0.4
59,144,695.0,0.2,0.267,0.267,0.0,0.267,0.0
60,145,473.0,0.182,0.091,0.182,0.182,0.182,0.182
