,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x000001AD9C6F4FA0>,0.906975602578491,61.18822688750505,0.03596405412143313,35.69463537671962,43.56807168433492,0.9263375041425319,0.9247774661158795,-46.235832888615484,0.023597177844687386,-22.631078505682154,-33.7346359387918,0.9300836242066154,3,3,4,3,1,4,0,0,1,0,0,0,1
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.09, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.8818924802062649,68.94586274405472,0.04579493156165893,45.91270446777344,55.581119283040366,0.9122262508900151,0.9094969576044273,-47.24537156935099,0.018958608182629875,-24.962850952148436,-34.834087354871954,0.9267804123508595,10,10,10,7,11,5,2,1,0,1,1,1,6
"GradientBoostingRegressor(learning_rate=0.05, max_depth=5, n_estimators=650,
                          subsample=0.6)",0.9194213828454781,56.94811333048233,0.032191966068343965,45.20708655480212,47.13194176664059,0.9453564837409285,0.9124228998369514,-49.330034684324026,0.02623270274230953,-28.82750219048591,-36.40087196470786,0.9203982432606507,1,1,1,5,3,0,1,2,2,2,2,2,11
"ExtraTreesRegressor(max_depth=15, n_estimators=21, n_jobs=-4)",0.9248177179376914,55.008168794868794,0.0338056177168524,29.11904761904762,38.33952380952381,0.9356779051837066,0.9009431686147795,-51.25333716006043,0.02875532894667703,-30.685238095238084,-39.17916402116402,0.9088525294640662,0,0,2,0,0,1,3,3,3,3,3,4,19
"RandomForestRegressor(max_depth=18, n_estimators=200)",0.8938674055049608,65.35725839931636,0.041445987613366445,41.38574999999982,51.50805000000006,0.9276622468172301,0.8861541345678031,-53.67341938304597,0.02949886546767293,-31.478999999999974,-40.26385222222221,0.9088573275322174,6,6,6,4,5,2,4,4,4,4,4,3,23
"MLPRegressor(alpha=0.01, hidden_layer_sizes=(40, 8), max_iter=60,
             solver='lbfgs')",0.9135905570708338,58.97256779095318,0.04464874761389924,35.24398719258983,46.828566676955475,0.9266580572036416,0.8588543029301693,-66.36778875260391,0.031004923256693143,-37.83844220456318,-52.86686308201614,0.8876962015969445,2,2,9,2,2,3,5,6,5,7,9,5,37
"AdaBoostRegressor(loss='square', n_estimators=110)",0.9018915593481063,62.83803881215222,0.030481136275753124,31.51791666666668,48.65400124754472,0.9097128119453233,0.8263184012607422,-67.96493689840352,0.03985926084737653,-36.06490546218487,-46.052953738983874,0.8234151166823253,4,4,0,1,4,8,8,8,6,5,5,9,41
"DecisionTreeRegressor(max_depth=20, min_samples_split=5)",0.8987777660420582,63.827435378091494,0.034713531475030354,51.625,53.59527777777779,0.9120178131762804,0.7850811116513439,-76.47394618824016,0.045538463592900216,-37.737500000000004,-47.98200925925925,0.8492440537210019,5,5,3,11,10,6,9,9,7,6,6,8,45
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=500)",0.8795176332946603,69.63557734581424,0.06296206024096905,52.79603333333333,56.19313202645504,0.9098030345577051,0.8331346427081817,-67.17556737293961,0.05382942508904174,-42.5270508626651,-52.035280419992986,0.8622771637978858,12,12,12,12,12,7,7,7,9,8,8,7,46
"SVR(C=1.6, cache_size=2000, epsilon=0.01, gamma=4, kernel='poly')",0.8884874531086131,66.99328952004953,0.12834396497427497,46.75409170844961,53.417005784555975,0.9054477749823178,0.8366768035706322,-65.68926654788646,0.1874536889403967,-43.91490189665383,-51.2478386651228,0.8748758836152364,9,9,13,9,8,9,6,5,13,9,7,6,46
"Ridge(alpha=0.1, solver='saga')",0.8927816349144664,65.69072060432687,0.04136438887053507,46.14664865266556,53.30878531056137,0.900163021220398,0.7750286972471063,-78.61975967500841,0.14521651783511694,-50.13779407348066,-61.172031961280325,0.7997584599573366,7,7,5,8,6,10,10,10,12,10,10,12,64
"Lasso(alpha=0.8, max_iter=3000)",0.8918666632166077,65.97041832308555,0.04224805804143346,47.48432567923638,53.34903614664824,0.8991877616778817,0.7731719858795175,-78.79632226656317,0.14136910570906303,-51.43264206571034,-61.25777895884981,0.8019045572869032,8,8,7,10,7,11,11,11,11,12,11,11,67
LinearRegression(),0.881738401410822,68.99082022488459,0.0423847770193185,45.91157384272901,53.54499566900365,0.8900706131815866,0.7687619472068286,-79.42868722227597,0.12622281633283625,-50.28793248891664,-61.65661425358094,0.7948059996490879,11,11,8,6,9,12,12,12,10,11,12,13,70
"LGBMRegressor(learning_rate=0.05, max_depth=1, n_estimators=500, num_leaves=2)",0.8513875669661586,77.33872495966052,0.060555551053632604,61.202256913919484,64.54231560548318,0.8614949940970029,0.7631259855382184,-79.95118495898244,0.048370656176146956,-56.28119809403624,-61.66908846030789,0.8117688224933511,13,13,11,13,13,13,13,13,8,13,13,10,70
