,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9233543669206188,53.27688344605254,0.0213097845258903,23.915008544921875,38.06266100983121,0.9248009491394947,0.9205359494547942,-54.212906171565116,0.020172598137502766,-26.126370635986326,-38.99578018508127,0.9245172020862278,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGBMRegressor(learning_rate=0.11, max_depth=13, n_estimators=500, num_leaves=8)",0.911232997670321,57.33514048178152,0.029248491179940796,31.29195714620448,42.79183235547379,0.9113075183376647,0.9135528609094049,-55.905627315485276,0.024372348544852856,-29.664335243291692,-41.9353842406103,0.9183663915296314,1,1,3,4,2,1,1,1,2,3,3,1,11
<catboost.core.CatBoostRegressor object at 0x0000020647EA2490>,0.9029765916696229,59.942295098964266,0.02970473888508763,24.676612695453258,41.85182797001976,0.9061639426000296,0.910874922095303,-56.7978901125108,0.024802387851640035,-29.27745664968944,-40.822859489367126,0.9141781331763001,2,2,4,1,1,2,2,2,3,2,1,2,12
"ExtraTreesRegressor(max_depth=15, n_estimators=61, n_jobs=-5)",0.8996279170966904,60.96794716938864,0.02535083815690625,30.581967213114638,43.92447720414322,0.9010781037236429,0.9081709408447898,-58.58112054763769,0.0236523567417601,-29.087526541764248,-41.37464394853483,0.9048751781515394,4,4,1,3,3,4,4,4,1,1,2,4,16
"GradientBoostingRegressor(learning_rate=0.05, n_estimators=650, subsample=0.6)",0.8858697639645428,65.01228966213056,0.03404415988281235,27.5648601403758,46.55031753050438,0.8873224223769706,0.9097861998134421,-57.216599826604266,0.025759488606042862,-29.695497486081685,-43.51937077234784,0.9113273489763294,5,5,5,2,5,5,3,3,4,4,4,3,21
"RandomForestRegressor(max_depth=10, n_estimators=200)",0.9015027475643458,60.39585892648334,0.02733831938003827,34.08166666666659,44.1181603073444,0.9036649104726778,0.8926935568304188,-63.87375997205799,0.03153796895186545,-35.47383226015729,-46.244720685896084,0.894277110086699,3,3,2,6,4,3,5,5,5,5,5,5,30
"AdaBoostRegressor(loss='square', n_estimators=140)",0.857849223372109,72.55539692923416,0.039140235943101946,38.78947368421052,53.426498741284156,0.8600690053963174,0.8656764428395615,-73.26048589779538,0.04151399037775526,-48.2368054203039,-56.200293453224695,0.8672024366773,7,7,7,7,6,7,6,6,6,8,7,7,40
"DecisionTreeRegressor(max_depth=10, min_samples_leaf=2, min_samples_split=5)",0.8299503021796983,79.35659704869693,0.03882816367658753,33.33333333333337,54.72410447761194,0.833796864226507,0.8255735837322853,-78.8176709601097,0.048496958825539865,-36.40341666666667,-55.72353444381705,0.8407019306987467,8,8,6,5,7,8,10,8,7,6,6,9,46
"SVR(C=1.6, cache_size=3000, epsilon=0.02, gamma=4, kernel='poly')",0.8257083985382669,80.34027873707699,0.05543260968807714,48.76863371396189,59.84872727949033,0.8258653707578693,0.8355936937042028,-77.2066064007919,0.08282270078372361,-49.57909796948299,-60.59541371444277,0.8413341956227478,9,9,9,9,9,9,9,7,12,9,8,8,53
"MLPRegressor(hidden_layer_sizes=(70, 7), max_iter=60, solver='lbfgs')",0.8189628431821052,81.88021308087542,0.06155646970462065,52.727174052779816,66.02297951493925,0.8191494012105441,0.8372020387901141,-93.53715671294063,0.07646876693298561,-47.81097927187402,-63.130747537237184,0.8709173947470648,10,10,10,10,10,10,8,12,10,7,10,6,53
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.8616364113326057,71.58236003283746,0.049165847999043256,46.559999999999945,56.81355009567546,0.8646742446973261,0.8425896541135838,-79.47249981604828,0.06347018616557973,-57.34217619047619,-61.22021383436853,0.8363755422398798,6,6,8,8,8,6,7,9,8,13,9,10,56
"Lasso(alpha=0.5, max_iter=7000)",0.7812303628886634,90.00955760773805,0.07438193834695588,62.996615555569974,71.31836449672451,0.7816457295046074,0.791967685884841,-86.21507073328623,0.07307955041107687,-55.2241296474033,-68.1593419012836,0.7985671469134167,11,11,11,13,11,11,11,10,9,11,12,11,64
"Ridge(alpha=0.1, solver='saga')",0.7793874857590011,90.38787493784538,0.07612856018236588,58.172382768144416,71.48665332348179,0.7800742672176342,0.7910543522052562,-86.30553574370789,0.07741190548526139,-54.39472032972073,-67.82895121482936,0.7962773091551968,13,13,13,12,12,12,12,11,11,10,11,12,67
LinearRegression(positive=True),0.7795119920743132,90.36236539327139,0.0752789546257122,57.71209382606372,71.68842821984512,0.7797319358661383,-1.6137617529023622,-259.1134825797067,0.15740513516115845,-55.96561511957107,-102.10580207081702,-1.0514781256106744,12,12,12,11,13,13,13,13,13,12,13,13,77
