,Hardness,Al,Co,Cr,Cu,Fe,Ni
252,340,0.206,0.159,0.159,0,0.159,0.317
253,240.7,0.095,0.19,0.19,0.143,0.19,0.19
254,240.78,0.1,0.2,0.2,0.1,0.2,0.2
255,312.54,0.135,0.192,0.192,0.096,0.192,0.192
256,341.09,0.143,0.19,0.19,0.095,0.19,0.19
257,375.23,0.15,0.2,0.2,0.05,0.2,0.2
258,403.25,0.152,0.19,0.19,0.086,0.19,0.19
259,560.11,0.17,0.189,0.189,0.075,0.189,0.189
260,578.26,0.196,0.196,0.196,0.196,0.196,0.196
261,375,0.167,0.167,0.167,0.333,0.167,0.167
262,637.2,0.238,0.238,0.238,0,0.048,0.238
263,165.03,0.05,0.225,0.25,0.225,0,0.25
264,124,0,0.2,0.2,0,0.4,0.2
265,109,0,0.143,0.143,0,0.571,0.143
266,115,0,0.167,0.167,0,0.5,0.167
267,245.8,0.13,0.217,0.217,0.217,0.217,0.217
268,169,0.048,0.238,0.238,0.238,0.238,0.238
269,516.6,0.259,0.185,0.185,0,0.185,0.185
270,193,0.133,0.333,0,0.2,0,0.333
271,396,0.167,0.167,0.167,0.167,0.167,0.333
272,510,0.273,0.182,0.182,0,0.182,0.182
