,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.05, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9348115707680896,59.466718121198994,0.023972434598075014,32.76542663574219,43.05264214687661,0.9348336566454356,0.8999186917590014,-51.98921069828382,0.01776950122624698,-27.53099304199219,-37.19476351311094,0.9099273142357353,4,4,0,5,2,4,0,0,0,0,0,0,0
<catboost.core.CatBoostRegressor object at 0x00000206629DD100>,0.9314996393240944,60.95862213401659,0.02781019414657336,29.306031554319304,44.184175487743474,0.9317070544071667,0.8808064969106933,-55.95928204616576,0.021694519961306443,-29.360822479557147,-39.28114486765835,0.8909948931931879,5,5,3,3,5,5,1,2,1,2,1,2,9
"ExtraTreesRegressor(max_depth=25, n_estimators=41, n_jobs=-2)",0.9433921331648515,55.41497066300135,0.02497806080730671,26.78048780487802,40.11271491403438,0.94570383317514,0.8776654134318035,-55.24278751915074,0.02330060184997424,-29.52926829268292,-40.97954123112659,0.9009671747915077,0,0,1,1,0,0,2,1,2,3,3,1,12
"GradientBoostingRegressor(learning_rate=0.11, max_depth=5, n_estimators=650,
                          subsample=0.8)",0.9427366925868923,55.73486160209512,0.025685377357351272,26.143048058546384,41.44826768813134,0.9455693604778835,0.8592541679849524,-60.23228058489919,0.03132408449472995,-29.155444823728725,-39.40248722928879,0.8787333403714992,1,1,2,0,1,1,4,4,5,1,2,4,20
"LGBMRegressor(learning_rate=0.09, max_depth=13, n_estimators=350, num_leaves=8)",0.9352062484071243,59.28642679742792,0.03734911655133374,29.05034915874012,44.13661669385493,0.9361054595357826,0.8687654399458591,-56.83963753086423,0.02600123157592943,-32.08775197331095,-43.04873279299407,0.8790200413861179,3,3,7,2,4,3,3,3,3,4,4,3,20
"RandomForestRegressor(max_depth=10, n_estimators=200)",0.9352725264562547,59.2560967580607,0.0319516253041214,32.861904761904725,44.00226266291351,0.9377447445390159,0.8419414285236984,-62.35850513599522,0.031077730904980883,-32.787961189509026,-44.82802689771033,0.875910226535783,2,2,5,6,3,2,6,5,4,5,5,5,30
"AdaBoostRegressor(loss='square', n_estimators=140)",0.9229739925724577,64.64090177542032,0.03355721256349722,39.43225806451608,49.75738287933206,0.92619416857993,0.8431568092013979,-66.0624599344401,0.03680208594238707,-40.10643125600169,-51.14925845587107,0.8523615576164565,6,6,6,7,7,6,5,6,6,7,6,6,36
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.9092074455682847,70.18007538589607,0.05165604711817184,48.39600000000007,55.46790476190478,0.9129410257565138,0.8091677495227343,-70.90130817573356,0.04575816317142763,-45.200533333333325,-51.58296941269841,0.8511447003981008,8,8,9,9,8,8,7,7,7,8,7,7,43
"SVR(C=1.6, cache_size=2000, epsilon=0.09, gamma=4, kernel='poly')",0.8676334745238423,84.7379195942449,0.06575819214615307,49.22365131519217,62.701568094455126,0.8678820994041999,0.8003261888164479,-75.84140828482589,0.04897903323682774,-45.80749008908255,-57.27420619508739,0.8144350179452611,11,11,10,10,10,11,8,9,8,9,8,8,50
DecisionTreeRegressor(max_depth=15),0.90952230403826,70.05828135834655,0.031004767999760863,31.0,47.17213114754099,0.916291196610218,0.7179418483071851,-80.44144081255631,0.058469910324085404,-38.38,-57.60080952380953,0.7476821848403242,7,7,4,4,6,7,9,10,10,6,9,10,54
"MLPRegressor(hidden_layer_sizes=(30, 6), max_iter=60, solver='lbfgs')",0.871659401609122,83.4393174445389,0.044122850311274636,42.74888900171345,61.89766058713379,0.8733300712136873,-5.72119316029895,-75.56716750582362,0.04970460572144366,-46.36485326837847,-58.006363472708394,0.8056355438483649,9,9,8,8,9,9,13,8,9,10,10,9,59
"Lasso(alpha=0.8, max_iter=3000)",0.8690339173662298,84.28846241858074,0.06833931611805673,56.72468453982049,67.13840653322733,0.8693772674841705,0.6965287578995101,-86.03966673966602,0.0664164017316792,-59.87156944470572,-68.47138263398956,0.7059792307906234,10,10,11,13,11,10,10,11,11,13,13,11,69
"Ridge(alpha=0.1, solver='sag')",0.8622618422737229,86.44021687018689,0.08786431015239389,55.26743742692338,68.20969824534467,0.8625769104132714,0.6858999980982148,-86.26906232386904,0.07047059564101267,-56.619099156976006,-68.17983272041252,0.7002202948240754,12,12,12,11,12,13,11,12,12,12,12,12,71
LinearRegression(),0.8621634051622274,86.47109940006874,0.11070909944778759,56.46290763579782,68.516691813612,0.8627383958400354,0.6765236516957664,-86.48379314991087,0.07283950369096624,-56.56989839072264,-67.63525195997434,0.6933434123564856,13,13,13,12,13,12,12,13,13,11,11,13,73
