,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x0000020669323100>,0.941327248,54.6981053,0.024559001,32.74835929,41.34268384,0.943190922,0.849567277,-50.37781182,0.021383604,-26.61328537,-35.46724222,0.868890719,0,0,0,1,0,0,0,0,1,0,0,0,1
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.09, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=50, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.920456232,63.68792978,0.024758721,39.4954834,49.56471423,0.920499079,0.783321775,-54.67405667,0.021049412,-31.34002533,-40.49351653,0.848066628,1,1,1,5,3,2,4,1,0,3,1,1,10
"GradientBoostingRegressor(learning_rate=0.11, max_depth=9, n_estimators=500,
                          subsample=0.6)",0.919114619,64.22277541,0.030348417,32.89497373,47.91134352,0.920366192,0.805567629,-59.63722564,0.023599243,-30.35318649,-40.76825402,0.83860342,3,3,3,2,2,3,2,2,2,2,2,3,13
"ExtraTreesRegressor(max_depth=25, n_estimators=21, n_jobs=-2)",0.920015939,63.86395008,0.029680311,26.85714286,44.88085714,0.92103813,0.798757456,-64.90046573,0.02474138,-29.89238095,-41.93539741,0.846527816,2,2,2,0,1,1,3,5,3,1,3,2,17
"RandomForestRegressor(max_depth=18, n_estimators=200)",0.90393315,69.99077919,0.032798575,34.80575,51.79665,0.904704871,0.805738659,-60.59898896,0.028296944,-35.210725,-44.19722555,0.826233947,4,4,4,3,4,4,1,3,4,5,4,4,21
"LGBMRegressor(learning_rate=0.03, max_depth=7, n_estimators=650, num_leaves=5)",0.901197573,70.98030466,0.039091071,36.61589051,52.41843893,0.901754305,0.780990679,-61.07279296,0.028875623,-34.1762272,-44.44254217,0.810276973,5,5,5,4,5,5,5,4,5,4,5,6,29
"DecisionTreeRegressor(max_depth=25, min_samples_split=10)",0.868933138,81.75239831,0.057233677,42.32142857,58.51462857,0.869103475,0.698035083,-67.17336506,0.039219661,-35.8534127,-50.92868617,0.76147891,8,8,8,7,7,8,10,6,6,6,6,9,43
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=200)",0.884150922,76.85999351,0.056935354,54.80508333,61.05627237,0.885031476,0.763528751,-72.40360017,0.04947324,-50.02019111,-56.39095658,0.814328666,6,6,7,11,8,6,7,7,8,10,8,5,45
"SVR(C=1.6, cache_size=2000, epsilon=0.01, gamma=4, kernel='poly')",0.874089426,80.12815699,0.067706678,47.72965833,61.28448049,0.874224314,0.771918255,-76.9672599,0.076008166,-47.45480586,-57.02246221,0.803641367,7,7,9,8,9,7,6,8,10,9,9,7,49
"AdaBoostRegressor(learning_rate=0.01, loss='exponential')",0.866065374,82.64193664,0.051064138,49.71315789,61.81987002,0.866460382,0.706077096,-80.12817131,0.044086383,-45.69836776,-55.13406071,0.743969417,9,9,6,9,10,9,9,10,7,8,7,10,51
"MLPRegressor(alpha=0.01, hidden_layer_sizes=(50, 7), max_iter=60,
             solver='lbfgs')",0.860666668,84.29106944,0.287389149,40.39089853,57.17847731,0.863829138,0.729121443,-77.2515517,0.053882078,-41.68568561,-58.28251832,0.774836841,10,10,13,6,6,10,8,9,9,7,10,8,51
"Lasso(alpha=0.3, max_iter=8000)",0.841617361,89.86857186,0.104106564,53.76505513,68.10648667,0.841626092,0.648990578,-84.87126416,0.083129965,-56.33370293,-65.26966748,0.661325249,11,11,10,10,11,11,11,11,11,13,11,11,68
"Ridge(alpha=0.1, solver='sag')",0.840581097,90.16208794,0.120829973,55.57976767,68.43376157,0.840587809,0.645993797,-85.08332582,0.093183654,-56.06644919,-65.34989866,0.658006941,12,12,11,12,12,12,12,12,12,12,12,12,72
LinearRegression(),0.839253124,90.53683799,0.161523993,55.79790704,68.46720688,0.839260891,0.639237677,-85.60014468,0.112563312,-54.63927604,-65.50817312,0.650501912,13,13,12,13,13,13,13,13,13,11,13,13,76
