,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.01, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9258510027621631,59.83312245653034,0.016798321676802425,23.027450561523438,39.61484860229493,0.9259536158726508,0.8395729526201455,-49.77000470242322,0.017778969440344277,-26.115008850097656,-35.74467090270099,0.8658075194007822,2,2,0,1,1,2,1,0,0,1,0,1,3
"GradientBoostingRegressor(learning_rate=0.05, max_depth=5, n_estimators=500,
                          subsample=0.6)",0.9263340293752794,59.637919468504315,0.018246435589949962,18.68834310537133,37.63417333100351,0.9266817309517819,0.8320234265345802,-53.23571766876209,0.02267646683164599,-26.09112115447352,-36.29034456118453,0.8524068743581841,0,0,1,0,0,1,2,1,2,0,1,2,8
<catboost.core.CatBoostRegressor object at 0x00000206697678B0>,0.9130643896078288,64.78700152066054,0.03814324107354147,32.27066783105033,48.24481277547633,0.9162933590581894,0.8446053537356191,-54.47377133657026,0.026484375975905753,-30.721222359718695,-38.68863515367464,0.8725320207001485,5,5,8,5,6,5,0,2,4,4,2,0,12
"ExtraTreesRegressor(max_depth=15, n_estimators=41, n_jobs=-4)",0.926273838959576,59.66227873633526,0.020785496549444872,29.90487804878046,41.107105691056894,0.92731531639258,0.8211479671884435,-59.38178450337135,0.021606531623345016,-30.008231707317083,-41.23398538378766,0.8368012755065074,1,1,2,3,2,0,3,4,1,2,3,5,18
"RandomForestRegressor(max_depth=18, min_samples_leaf=2, n_estimators=50)",0.9109440691666854,65.57230498218307,0.025518102096429077,25.598519047618964,44.25524514285712,0.9110761026229004,0.8042147947694414,-58.112809283115055,0.02796458782812667,-30.322261587301607,-41.51539500095493,0.8424240498309272,6,6,4,2,3,6,4,3,5,3,4,3,22
"AdaBoostRegressor(loss='square', n_estimators=110)",0.9186125636418301,62.68558899423607,0.025790459455394557,37.48141695702674,46.595280671780365,0.9194628601438136,0.7634376320348127,-60.1659341418721,0.023408307472921757,-38.957752447614816,-42.80509135558101,0.8162225772121797,3,3,5,8,5,3,9,6,3,6,5,7,36
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=200)",0.8854231246614386,74.3768041714941,0.051560438155925495,40.334166666666704,55.79577494444444,0.8861417038721146,0.7958301982362121,-66.64448738607274,0.04382655150701919,-41.410266490800886,-49.655662078356684,0.842396307418469,10,10,9,9,10,10,5,7,7,7,7,4,37
"LGBMRegressor(learning_rate=0.09, max_depth=7, n_estimators=200, num_leaves=8)",0.889840037082756,72.92911056712134,0.030377249979373508,37.386837693277045,51.267978622244975,0.8898452815312925,0.7854631142299662,-59.616429512469864,0.03143463978288566,-33.24526216594135,-43.41007088310591,0.8004530155151869,8,8,6,7,7,8,8,5,6,5,6,8,38
"SVR(C=1.3, cache_size=4000, epsilon=0.09, gamma=4, kernel='poly')",0.8869398427605399,73.88288048891658,0.05662830472634064,33.53278615590605,55.56062799307523,0.8871358651683153,0.7956981188707376,-73.56142231789838,0.07003989905842135,-49.83581439568737,-55.51477821537533,0.8259459662158944,9,9,10,6,9,9,6,8,9,10,9,6,48
"DecisionTreeRegressor(max_depth=5, min_samples_leaf=4, min_samples_split=10)",0.9165763985689006,63.46488446420132,0.024512041027475374,30.140000000000015,45.97459047619047,0.9173220682875765,0.6681274247464615,-75.8224295759624,0.0442065809572553,-41.438609640359644,-55.47123955915945,0.7394933429821133,4,4,3,4,4,4,10,9,8,8,8,9,52
"MLPRegressor(alpha=0.01, hidden_layer_sizes=(60, 8), max_iter=60,
             solver='lbfgs')",0.8911594083134613,72.49106387858141,0.03516670604396667,42.34852228567715,52.33062947748168,0.8922727970794271,0.7859062960468204,-119.53255005672278,0.13021323760287698,-44.16446980996031,-56.456737187904935,0.676331875549885,7,7,7,10,8,7,7,13,12,9,10,10,61
"Lasso(alpha=0.8, max_iter=3000)",0.8472705370507886,85.8717747581457,0.06259105096707901,49.1957765272993,63.47124421886996,0.8473148854314204,0.6487522065913771,-84.31939603848804,0.07416350932283004,-56.016231507332044,-65.1517106256442,0.6682072232497462,13,13,13,13,13,13,11,10,10,13,13,11,68
LinearRegression(positive=True),0.8478974547866159,85.69535203100145,0.06182136965361286,46.82225786656909,63.02863943114092,0.8479216718729465,0.6404718893679486,-84.84126975334192,0.09558914212765574,-53.66740761027618,-64.52627358321722,0.6527749109025939,12,12,12,11,12,12,13,12,11,11,11,13,71
"Ridge(alpha=0.1, solver='saga')",0.8493611046880012,85.28204140698939,0.06161402806143654,48.755583206912604,62.86050087832304,0.8493636892386355,0.6468069543735173,-84.4156292209769,0.14343436100949805,-54.96096270512915,-64.68540952908185,0.6611023070880643,11,11,11,12,11,11,12,11,13,12,12,12,72
