,Hardness,Al,Co,Cr,Cu,Fe,Ni
169,586,0.2,0.2,0.2,0.1,0.1,0.2
170,607,0.154,0.154,0.308,0.077,0.154,0.154
171,551,0.2,0.1,0.2,0.1,0.2,0.2
172,651,0.333,0,0.167,0.167,0.167,0.167
173,280,0.08,0.17,0.17,0.08,0.17,0.33
174,720,0.429,0.143,0.143,0.071,0.071,0.143
175,699,0.34,0.17,0.34,0,0.05,0.1
176,728,0.47,0.14,0.15,0.05,0.13,0.06
177,604,0.38,0.11,0.06,0.09,0.31,0.05
178,790,0.36,0.1,0.31,0.06,0.09,0.08
179,806,0.43,0.17,0.15,0,0.14,0.11
180,811,0.47,0.12,0.12,0.05,0.13,0.11
181,855,0.43,0.19,0.19,0,0.11,0.08
182,802,0.39,0.1,0.31,0.05,0.08,0.07
183,799,0.47,0.13,0.13,0.05,0.12,0.1
184,857,0.43,0.2,0.22,0,0.08,0.07
185,855,0.47,0.14,0.19,0.05,0.1,0.05
186,816,0.43,0.2,0.19,0,0.09,0.09
