,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.11, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=200, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9386760060576456,55.36046815140722,0.018981745215973293,27.9302978515625,36.24420684814453,0.942779335375912,0.8927746440494542,-49.525946984425886,0.018066974104392414,-26.970462799072266,-35.57745343526204,0.8977284067896643,2,2,2,3,1,2,0,0,0,1,0,0,1
<catboost.core.CatBoostRegressor object at 0x000001E9B4C8F670>,0.9278254293549734,60.05879888650851,0.03755743728377021,29.159508716004552,42.371046163603324,0.9418644258236375,0.8802737898208454,-52.26182641997818,0.025371743503648937,,-35.94356257990242,0.8911446471517837,5,5,6,4,4,3,1,1,2,0,1,1,6
"ExtraTreesRegressor(max_depth=15, n_estimators=61, n_jobs=-3)",0.9494650460647913,50.25513860084155,0.016805751768070545,20.990163934425937,33.70563448694595,0.9572695654712904,0.8747136115098317,-58.20839370952232,0.02567915546188496,-27.597581967213124,-40.34957663283892,0.8859819160034169,0,0,0,0,0,0,2,3,3,2,2,2,14
"GradientBoostingRegressor(learning_rate=0.09, n_estimators=650, subsample=0.8)",0.9314047420152327,58.550631685688835,0.02454348767490838,27.26673287576145,39.97579713601976,0.9374594643785247,0.8678711995624491,-57.0966181682757,0.024255449556056404,-30.55314707175662,-41.16357446282018,0.8742509705805602,3,3,3,1,3,4,3,2,1,3,3,3,15
"RandomForestRegressor(max_depth=14, n_estimators=650)",0.9426085748054422,53.555988895325314,0.017754964974774214,27.45000000000033,36.97328547008549,0.9507164511180178,0.8226092449746842,-63.24200054217415,0.028343610833683912,-33.57962307692311,-43.839656312576295,0.850818712541433,1,1,1,2,2,1,4,4,4,4,4,4,24
"LGBMRegressor(learning_rate=0.11, max_depth=13, n_estimators=350, num_leaves=8)",0.8691037233952796,80.88131145448419,0.05930504502967148,33.823332497879164,58.20688590476349,0.8805261713358266,0.8108570017894692,-69.23868081897815,0.04360831186098882,-33.835944017884,-49.13151371694168,0.8246871859195073,9,9,7,8,9,9,6,5,6,5,5,8,35
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=200)",0.9113681559260595,66.55480735120486,0.06320979070399181,44.606638888888824,54.67605110229279,0.9280606003352254,0.8116985421997395,-69.965114371324,0.05129284174807532,-46.12989166666668,-54.98930356976357,0.8433672601132669,6,6,8,11,7,6,5,6,9,8,7,5,40
"DecisionTreeRegressor(max_depth=15, min_samples_leaf=2, min_samples_split=5)",0.8997453148169788,70.78428943750752,0.0307295946640894,30.25,47.541666666666664,0.9059978906405185,0.7073770524714443,-79.09321177075999,0.037450887895332595,-36.58416666666667,-53.674841269841274,0.6882528940236262,7,7,5,5,6,7,8,10,5,6,6,13,48
AdaBoostRegressor(),0.9304803528109337,58.94382539596323,0.02782510138715901,33.22941176470596,42.834902191792715,0.9342659991880725,0.6860214889027617,-73.89364951028254,0.04389728253413187,-44.937919619269636,-54.991234260421265,0.8302002479770556,4,4,4,6,5,5,13,8,7,7,8,7,50
"SVR(C=1.6, cache_size=2000, epsilon=0.09, gamma=4, kernel='poly')",0.8800159186234702,77.43661376667487,0.48628035237415695,33.28542631597804,55.029986095259005,0.8842708791335893,0.8076070702875697,-72.99635048176802,0.11475879640671806,-46.355940156772725,-55.48212910829879,0.8385619396235151,8,8,13,7,8,8,7,7,13,9,9,6,51
"MLPRegressor(alpha=0.01, hidden_layer_sizes=(60, 9), max_iter=40,
             solver='lbfgs')",0.807721578016366,98.0279256308016,0.08566447540293091,42.243769531501925,67.69614226059444,0.8149835441337205,0.6949172632810713,-77.19109222111327,0.04819285086229921,-51.1588712328077,-57.65341505831988,0.8224738290655198,12,12,9,9,12,11,12,9,8,10,10,9,58
"Ridge(alpha=0.1, solver='sag')",0.8081165802989518,97.92718327775846,0.16504162703750883,46.32091394031039,67.1794282427257,0.8098617910181631,0.7035530273544761,-83.62086671443979,0.06769563218003656,-51.98641410520149,-64.37710944613602,0.7137072237468328,11,11,11,12,11,12,9,11,11,12,12,11,66
"Lasso(alpha=0.8, max_iter=3000)",0.8218586617381496,94.35542894325,0.31673856980752974,43.450803306791386,66.07975345619555,0.8237811528884921,0.7031507167867279,-83.70225935286217,0.0649639715947433,-54.56689863018229,-64.97252960373058,0.7162181343555298,10,10,12,10,10,10,10,12,10,13,13,10,68
LinearRegression(),0.7904112042213909,102.34545690783004,0.1304122504685193,46.847641206375556,70.3643753606599,0.7924768651335062,0.6980221940404778,-84.11247548632215,0.07190827438610756,-51.33045028050483,-64.31549227223266,0.7067875110346011,13,13,10,13,13,13,11,13,12,11,11,12,70
