,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni
0,57,290.0,0.123,0.0,0.175,0.175,0.175,0.351
1,193,868.0,0.43,0.24,0.23,0.0,0.05,0.05
2,51,135.0,0.077,0.308,0.0,0.0,0.308,0.308
3,114,415.0,0.2,0.2,0.2,0.2,0.0,0.2
4,3,477.0,0.11,0.0,0.28,0.29,0.07,0.25
5,147,155.0,0.0,0.2,0.2,0.2,0.2,0.2
6,142,593.0,0.333,0.0,0.133,0.133,0.133,0.267
7,59,601.0,0.167,0.167,0.25,0.083,0.167,0.167
8,190,856.0,0.43,0.18,0.24,0.0,0.1,0.05
9,96,157.0,0.0,0.167,0.167,0.167,0.333,0.167
10,50,580.0,0.23,0.15,0.23,0.08,0.15,0.16
11,159,154.0,0.0,0.25,0.0,0.25,0.25,0.25
12,165,655.0,0.15,0.283,0.283,0.0,0.283,0.0
13,9,273.0,0.138,0.172,0.172,0.172,0.172,0.172
14,194,843.0,0.47,0.12,0.2,0.05,0.11,0.05
15,104,516.0,0.2,0.2,0.2,0.0,0.2,0.2
16,245,175.3,0.075,0.25,0.175,0.0,0.25,0.25
17,113,545.0,0.222,0.111,0.0,0.222,0.222,0.222
18,200,749.0,0.47,0.07,0.16,0.09,0.16,0.05
19,120,702.0,0.462,0.154,0.077,0.077,0.154,0.077
20,144,695.0,0.2,0.267,0.267,0.0,0.267,0.0
21,202,849.0,0.47,0.18,0.15,0.05,0.1,0.05
22,43,615.0,0.238,0.238,0.238,0.0,0.238,0.05
23,92,620.0,0.1,0.3,0.3,0.0,0.3,0.0
24,109,740.0,0.429,0.143,0.143,0.0,0.143,0.143
25,97,450.0,0.118,0.0,0.294,0.0,0.441,0.147
26,105,764.0,0.43,0.06,0.33,0.06,0.06,0.06
27,19,694.0,0.429,0.071,0.143,0.071,0.143,0.143
28,15,531.0,0.238,0.048,0.0,0.238,0.238,0.238
29,140,546.0,0.231,0.0,0.154,0.154,0.154,0.308
30,111,172.0,0.0,0.222222222,0.222222222,0.111111111,0.222222222,0.222222222
31,195,794.0,0.43,0.15,0.17,0.05,0.14,0.06
32,146,278.0,0.107,0.0,0.179,0.179,0.179,0.357
33,158,407.0,0.2,0.2,0.2,0.2,0.2,0.0
34,107,338.0,0.149,0.213,0.213,0.0,0.213,0.213
35,197,797.0,0.47,0.11,0.22,0.05,0.1,0.05
36,162,170.0,0.0,0.283,0.283,0.0,0.283,0.15
