,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni
0,59,601.0,0.167,0.167,0.25,0.083,0.167,0.167
1,208,828.0,0.43,0.2,0.21,0.0,0.09,0.07
2,40,576.0,0.286,0.143,0.143,0.143,0.143,0.143
3,116,242.0,0.143,0.143,0.143,0.0,0.143,0.429
4,197,797.0,0.47,0.11,0.22,0.05,0.1,0.05
5,122,166.0,0.143,0.429,0.0,0.143,0.143,0.143
6,47,388.0,0.158,0.211,0.211,0.0,0.211,0.211
7,246,190.4,0.1,0.25,0.15,0.0,0.25,0.25
8,3,477.0,0.11,0.0,0.28,0.29,0.07,0.25
9,53,441.0,0.1,0.0,0.35,0.24,0.05,0.26
10,164,558.0,0.213,0.213,0.213,0.0,0.15,0.213
11,62,371.0,0.167,0.0,0.556,0.0,0.0,0.278
12,101,555.0,0.213,0.213,0.213,0.0,0.213,0.15
13,93,125.0,0.0,0.333333,0.0,0.0,0.333333333,0.333333333
14,109,740.0,0.429,0.143,0.143,0.0,0.143,0.143
15,161,335.0,0.167,0.167,0.167,0.0,0.167,0.333
16,18,609.0,0.308,0.154,0.154,0.077,0.154,0.154
17,19,694.0,0.429,0.071,0.143,0.071,0.143,0.143
18,243,135.3,0.025,0.25,0.225,0.0,0.25,0.25
19,192,875.0,0.43,0.24,0.22,0.0,0.05,0.06
20,214,117.0,0.07,0.233,0.233,0.0,0.233,0.233
21,209,848.0,0.43,0.22,0.25,0.0,0.05,0.05
22,95,655.0,0.359,0.128,0.128,0.128,0.128,0.128
23,108,131.0,0.086,0.229,0.229,0.0,0.229,0.229
24,154,146.0,0.0,0.05,0.238,0.238,0.238,0.238
25,67,720.0,0.25,0.25,0.25,0.0,0.25,0.0
26,215,228.0,0.13,0.217,0.217,0.0,0.217,0.217
27,195,794.0,0.43,0.15,0.17,0.05,0.14,0.06
28,155,476.0,0.225,0.225,0.1,0.0,0.225,0.225
29,210,878.0,0.47,0.19,0.19,0.05,0.05,0.05
30,207,883.0,0.43,0.22,0.23,0.0,0.07,0.05
31,48,438.0,0.238,0.238,0.05,0.0,0.238,0.238
32,107,338.0,0.149,0.213,0.213,0.0,0.213,0.213
33,51,135.0,0.077,0.308,0.0,0.0,0.308,0.308
34,147,155.0,0.0,0.2,0.2,0.2,0.2,0.2
35,140,546.0,0.231,0.0,0.154,0.154,0.154,0.308
36,111,172.0,0.0,0.222222222,0.222222222,0.111111111,0.222222222,0.222222222
37,151,573.0,0.273,0.0,0.182,0.182,0.182,0.182
38,163,665.0,0.238,0.238,0.238,0.0,0.05,0.238
39,118,475.0,0.05,0.317,0.317,0.0,0.317,0.0
40,191,859.0,0.47,0.14,0.2,0.05,0.09,0.05
41,94,548.0,0.225,0.225,0.225,0.0,0.225,0.1
42,64,454.0,0.1,0.0,0.35,0.26,0.05,0.24
43,58,657.0,0.411764706,0.147058824,0.147058824,0.147058824,0.147058824,0.0
