,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x000002530770B640>,0.932341227,59.13035504,0.033247299,31.75744553,43.51116221,0.938185334,0.896481077,-50.88321918,0.023221867,-23.75764686,-35.44605684,0.905286276,2,2,6,5,5,2,0,0,1,0,0,0,1
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=200, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.946833219,52.41657126,0.015348847,25.30059814,35.18464383,0.948100085,0.864246772,-53.07646704,0.021618426,-29.93568329,-38.69795917,0.889746865,0,0,0,1,0,0,2,1,0,2,1,1,7
"ExtraTreesRegressor(max_depth=20, n_estimators=21, n_jobs=-3)",0.927018472,61.41223477,0.02210497,27.42857143,41.21925926,0.930924012,0.866575575,-62.61773867,0.02779298,-29.13809524,-43.032161,0.870181376,5,5,3,3,3,4,1,5,5,1,4,2,18
"GradientBoostingRegressor(learning_rate=0.09, max_depth=9, n_estimators=350,
                          subsample=0.6)",0.927128622,61.36587312,0.020578988,23.95530939,39.14635724,0.92984081,0.847108325,-61.08157607,0.025194789,-30.27651182,-40.10096857,0.857573635,4,4,2,0,1,5,4,2,3,3,2,5,19
"RandomForestRegressor(max_depth=14, min_samples_split=5, n_estimators=50)",0.932132577,59.2214595,0.020376987,26.27790476,40.42171622,0.933516486,0.821495241,-61.30717939,0.025878772,-32.09249011,-42.83964828,0.868463796,3,3,1,2,2,3,6,3,4,4,3,3,23
"AdaBoostRegressor(loss='square', n_estimators=110)",0.937784133,56.70208186,0.024361433,35,43.09436424,0.939470636,0.848659798,-61.49713766,0.025006103,-35.12671263,-45.91515288,0.867547981,1,1,4,6,4,1,3,4,2,6,5,4,24
"LGBMRegressor(learning_rate=0.11, max_depth=19, n_estimators=350, num_leaves=5)",0.886818764,76.47784509,0.049540107,41.16532483,55.03373418,0.897198978,0.771342249,-68.58219568,0.043985437,-35.13857135,-49.5876307,0.816270269,9,9,8,9,9,9,8,6,6,7,6,8,41
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.917305145,65.37138266,0.049101331,42.106,52.53337037,0.92226831,0.810838455,-69.82796876,0.049608303,-45.66234444,-53.97129437,0.857232633,6,6,7,10,7,6,7,7,7,10,8,6,45
"SVR(C=1.6, cache_size=3000, epsilon=0.09, gamma=4, kernel='poly')",0.892822762,74.42172081,0.100798407,35.20249599,53.71061271,0.901735601,0.829175548,-72.57932299,0.085321635,-44.1172176,-54.91527142,0.848227099,8,8,13,7,8,8,5,8,10,8,10,7,48
"MLPRegressor(alpha=0.1, hidden_layer_sizes=(70, 5), max_iter=60, solver='lbfgs')",0.847737053,88.70447749,0.071342737,39.84976931,60.71362563,0.853171066,0.719776934,-74.7479953,0.086487137,-45.01212435,-52.31730757,0.813975497,10,10,9,8,10,10,9,9,11,9,7,9,54
DecisionTreeRegressor(max_depth=10),0.903941661,70.45567243,0.031259988,31.5,49.68444444,0.905220351,0.646819724,-85.86422437,0.053992343,-34.415,-54.04753968,0.682773379,7,7,5,4,6,7,13,12,8,5,9,13,60
"Lasso(alpha=0.8, max_iter=3000)",0.842428068,90.23766662,0.080355387,44.66241372,65.89256959,0.84917669,0.694560644,-85.22654286,0.075858859,-59.42264293,-66.22675488,0.717281776,13,13,12,13,13,13,10,10,9,13,13,10,65
"Ridge(alpha=0.1, solver='sag')",0.844213416,89.72499743,0.078658636,42.94875129,64.66104024,0.851340346,0.693457749,-85.47563859,0.104353501,-55.46349423,-66.02199107,0.712695122,11,11,11,11,12,11,11,11,12,12,12,11,69
LinearRegression(positive=True),0.844133247,89.74808097,0.077710478,42.95736876,64.20143085,0.851247446,0.689250966,-85.95240062,0.19213271,-53.81583235,-65.85037583,0.706462447,12,12,10,12,11,12,12,13,13,11,11,12,72
