,Hardness,Al,Co,Cr,Cu,Fe,Ni
123,624,0.175,0.075,0.25,0,0.25,0.25
124,591,0.429,0.143,0.071,0.071,0.071,0.214
125,172,0,0.225,0.225,0.225,0.1,0.225
126,576,0.306,0,0.139,0.139,0.139,0.278
127,205,0.143,0.286,0,0,0.286,0.286
128,701,0.429,0.214,0.071,0.071,0.071,0.143
129,304,0.063,0,0.313,0,0.469,0.156
130,775,0.4,0.2,0.2,0,0.2,0
131,517,0.272727273,0.181818182,0.181818182,0,0.181818182,0.181818182
132,521,0.194,0,0.161,0.161,0.161,0.323
133,510,0.272727273,0.181818182,0.181818182,0.181818182,0.181818182,0
134,527,0.184,0.204,0.204,0,0.204,0.204
135,271,0.166666667,0.208333333,0.208333333,0.208333333,0.208333333,0
136,654,0.28,0.08,0.25,0.08,0.19,0.12
137,127,0.091,0.227,0.227,0,0.227,0.227
138,207,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0
