,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.01, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.955169393,48.22716398,0.011358971,17.0667038,33.19396099,0.95552383,0.878258416,-47.5893606,0.016779056,-21.48828049,-33.39326925,0.897359692,2,2,0,0,0,3,1,0,0,0,0,0,1
"GradientBoostingRegressor(learning_rate=0.05, max_depth=5, n_estimators=500,
                          subsample=0.7)",0.953640004,49.0428961,0.01700769,25.86688698,36.11132974,0.958236453,0.881181219,-48.70991991,0.020914208,-24.81039335,-35.25110507,0.89228698,3,3,4,4,4,2,0,1,2,2,2,1,8
<catboost.core.CatBoostRegressor object at 0x000002530A13B880>,0.946132617,52.86489258,0.024528826,18.06588256,35.42387968,0.950054286,0.854023616,-49.94585189,0.02023246,-24.56583129,-33.93730622,0.865281715,4,4,5,1,3,4,3,3,1,1,1,3,12
"ExtraTreesRegressor(max_depth=20, n_estimators=21, n_jobs=-5)",0.957240741,47.09984735,0.01528593,20.2452381,33.59488095,0.958615192,0.854481864,-49.11581487,0.021552153,-30.67333333,-36.89688383,0.889331896,1,1,1,2,1,1,2,2,3,4,3,2,16
"RandomForestRegressor(max_depth=14, n_estimators=50)",0.959599477,45.7823314,0.016340414,26.4,34.8532,0.960368704,0.843481581,-59.66113473,0.027269439,-27.772,-40.51486044,0.845706212,0,0,3,5,2,0,4,4,4,3,4,4,23
"LGBMRegressor(learning_rate=0.07, max_depth=13, n_estimators=350, num_leaves=5)",0.888975948,75.89496252,0.050575014,37.81649611,56.92496496,0.897129225,0.78347668,-60.19365185,0.031143001,-32.42441844,-43.39704964,0.811086033,10,10,10,10,10,9,6,5,5,5,5,8,34
"AdaBoostRegressor(learning_rate=0.1, loss='exponential')",0.941587104,55.05018514,0.016010527,32.05723684,41.02320521,0.941619173,0.782047798,-66.09438457,0.033560376,-33.44051332,-50.37672971,0.783453958,5,5,2,6,5,5,7,7,6,6,7,9,42
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(50, 9), max_iter=60,
             solver='lbfgs')",0.905702445,69.94467067,0.026477252,42.60030567,50.1068179,0.91116378,0.769423902,-65.74315132,0.05524966,-43.96549345,-46.57578711,0.812496099,7,7,6,12,8,7,9,6,8,8,6,7,44
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.926097763,61.92032207,0.046051247,33.38766667,47.25173542,0.926226971,0.797476216,-71.43175932,0.050246307,-44.71926667,-54.53566764,0.824763944,6,6,9,7,7,6,5,9,7,9,9,5,44
"SVR(C=1.6, cache_size=4000, epsilon=0.01, gamma=4, kernel='poly')",0.900555082,71.82832028,0.030931692,37.61237514,52.29253091,0.908614987,0.777113226,-72.11715871,0.083407508,-47.67340652,-53.45565464,0.815788553,8,8,7,9,9,8,8,10,11,10,8,6,53
DecisionTreeRegressor(max_depth=25),0.891100853,75.16517146,0.04020431,23,46.625,0.894774217,0.765193665,-68.68614217,0.056250095,-34.3,-56.16873626,0.646819673,9,9,8,3,6,10,10,8,9,7,10,13,57
"Lasso(alpha=0.8, max_iter=3000)",0.883957886,77.59115737,0.054747054,42.63783566,59.07080714,0.892332389,0.707966715,-80.62062668,0.076309131,-57.26418307,-62.80946265,0.742640627,13,13,11,13,12,13,11,11,10,13,11,10,66
LinearRegression(positive=True),0.884397318,77.4441056,0.100807292,37.56740705,58.94653544,0.893190607,0.695545568,-81.68493324,0.10311198,-55.67975665,-62.90009033,0.732214573,12,12,13,8,11,12,13,13,12,11,12,12,73
"Ridge(alpha=0.1, solver='saga')",0.884855219,77.29057584,0.083366795,39.39008092,59.10684968,0.893445968,0.7018812,-81.27480143,0.166253776,-56.97166543,-63.03905159,0.737604878,11,11,12,11,13,11,12,12,13,12,13,11,73
