,Hardness,Al,Co,Cr,Cu,Fe,Ni
15,531,0.238,0.048,0,0.238,0.238,0.238
16,534,0.222,0,0.222,0.111,0.222,0.222
17,482,0.31,0.172,0.172,0,0.172,0.172
18,609,0.308,0.154,0.154,0.077,0.154,0.154
19,694,0.429,0.071,0.143,0.071,0.143,0.143
40,576,0.286,0.143,0.143,0.143,0.143,0.143
41,149,0.07,0,0.233,0,0.233,0.465
42,639,0.222,0.222,0.222,0.111,0.222,0
43,615,0.238,0.238,0.238,0,0.238,0.05
44,175,0,0.333,0.167,0.167,0.167,0.167
45,479,0.231,0.192,0.192,0,0.192,0.192
46,617,0.167,0.167,0.333,0,0.167,0.167
47,388,0.158,0.211,0.211,0,0.211,0.211
48,438,0.238,0.238,0.05,0,0.238,0.238
49,207,0.091,0.182,0.182,0.182,0.182,0.182
