,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.07, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.931373541687373,59.94726707621725,0.022947968035555794,30.658859252929688,40.3420655992296,0.9422445784769055,0.7830018143262313,-49.838162767489685,0.015005791833180602,-21.78292755126953,-32.8244749323527,0.7927037752977011,5,5,4,5,2,2,0,2,1,0,0,3,6
"GradientBoostingRegressor(learning_rate=0.05, n_estimators=350, subsample=0.7)",0.9381870632394387,56.893582905556634,0.019991461048051995,30.83369042884351,40.55973791747393,0.9509309440518312,0.7796848505840176,-49.21450301973679,0.01839615952007648,-23.30814814465727,-33.35227200438099,0.7829726032996926,0,0,1,6,3,0,1,1,2,1,1,6,12
"ExtraTreesRegressor(max_depth=20, n_estimators=21, n_jobs=-5)",0.9316196649756279,59.83967248720674,0.01976823842557496,27.066666666666734,40.252645502645514,0.9352778989255061,0.764311667222392,-50.36226449619979,0.014786023615686539,-26.0752380952381,-34.096309523809516,0.7986322781283007,4,4,0,2,1,4,3,3,0,2,2,2,12
<catboost.core.CatBoostRegressor object at 0x00000206ADD2CF70>,0.9332477412688065,59.12301577238828,0.020915773448406567,21.70790896830212,40.249450844480094,0.9439857514113056,0.7503509392182012,-48.07329439097508,0.02140891741073871,-28.672986062527013,-35.58456471004135,0.8090557103175827,3,3,3,0,0,1,5,0,3,3,3,1,15
"RandomForestRegressor(max_depth=18, n_estimators=650)",0.9335947938756646,58.96912183241669,0.02074239964055689,29.567384615384583,44.13907264957273,0.9376595561550047,0.7540714134261584,-57.072391017621136,0.022489525704639298,-30.12458461538469,-39.212541025641016,0.7891828131648985,2,2,2,3,5,3,4,5,4,4,4,4,25
"AdaBoostRegressor(loss='square', n_estimators=140)",0.9186065782184248,65.28572766737345,0.02903416568178925,45.958333333333314,50.91146184332698,0.9323506645377848,0.765212144370451,-57.92528280789433,0.024602576065548387,-42.79457421109602,-41.548888097510414,0.809880879580685,6,6,5,12,6,6,2,6,6,9,5,0,28
"LGBMRegressor(learning_rate=0.11, max_depth=19, n_estimators=650, num_leaves=8)",0.9082451106356801,69.3167518540582,0.03733785972321537,42.19268152405786,51.393927116321095,0.9228506356159343,0.7093323903838268,-55.38808192064544,0.03658613671863043,-35.690206686692505,-42.26279886180868,0.7296989584652682,7,7,7,11,7,7,6,4,7,6,6,7,36
DecisionTreeRegressor(max_depth=5),0.882363281771273,78.48651502953638,0.03285148465080452,37.0,56.7973544973545,0.896122650779581,0.5727814521657024,-66.06155166302605,0.0240004690647802,-30.728476731601734,-44.93985783429533,0.5749062180420539,9,9,6,10,10,9,10,7,5,5,7,13,47
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=200)",0.9067421576991455,69.8821530907378,0.05010541360571781,30.98599999999999,51.712419808201055,0.9111332003903416,0.7050446866566109,-67.2553658365116,0.04414186060584234,-44.88559537067103,-52.90968101383571,0.7875887889550925,8,8,12,7,8,8,7,8,8,10,10,5,48
"MLPRegressor(alpha=0.1, hidden_layer_sizes=(40, 9), max_iter=60, solver='lbfgs')",0.8699007850144707,82.53932896451383,0.040992595739607465,29.6485010452423,56.507677384434224,0.8708683979409398,0.6189782793626547,-74.4487108925532,0.05463707920643122,-41.961634936004096,-49.13825792773502,0.6784951509523243,13,13,10,4,9,13,8,10,9,7,8,9,51
"SVR(C=1.6, cache_size=2000, epsilon=0.09, gamma=4, kernel='poly')",0.9349793630094726,58.351121251912495,0.0866179690633514,24.891019145841483,42.10193660406045,0.9349888947401315,0.5951277160366415,-70.54222595930796,0.0781753255301289,-41.98676530493066,-51.29649072271603,0.6375777556127992,1,1,13,1,4,5,9,9,12,8,9,12,59
"Lasso(alpha=0.4, max_iter=5000)",0.8813363394980906,78.82835547518278,0.040236790918713856,32.40818504460293,57.289175940303025,0.881509284771894,0.5081853820038773,-83.15669307209367,0.07544955554160486,-54.170988040677244,-64.72365671959372,0.6613694533539718,10,10,8,8,11,10,12,11,11,11,11,10,66
Ridge(solver='lsqr'),0.8747891699554269,80.97380417545556,0.0497537901399896,47.143601093564996,62.78047708771083,0.8749273749007777,0.33207337116087804,-84.25299089967896,0.07091269337133846,-60.91611015868788,-67.87517132454745,0.6828618565264739,12,12,11,13,13,12,13,13,10,13,13,8,70
LinearRegression(positive=True),0.8780934833108458,79.89821130624256,0.04090280301039125,33.78141042990427,57.359370358409834,0.8783453159807076,0.5158186856747717,-83.70771192204849,0.09562480459030005,-55.2844217821073,-64.74852142472878,0.6582319464365278,11,11,9,9,12,11,11,12,13,12,12,11,71
