,Hardness,Al,Co,Cr,Cu,Fe,Ni
152,587,0.225,0.225,0.225,0,0.1,0.225
153,544,0.265,0,0.147,0.147,0.147,0.294
154,146,0,0.05,0.238,0.238,0.238,0.238
155,476,0.225,0.225,0.1,0,0.225,0.225
156,185,0.057,0.189,0.189,0.189,0.189,0.189
157,225,0.125,0.125,0.125,0,0.125,0.5
158,407,0.2,0.2,0.2,0.2,0.2,0
159,154,0,0.25,0,0.25,0.25,0.25
160,158,0,0.15,0.213,0.213,0.213,0.213
161,335,0.167,0.167,0.167,0,0.167,0.333
162,170,0,0.283,0.283,0,0.283,0.15
163,665,0.238,0.238,0.238,0,0.05,0.238
164,558,0.213,0.213,0.213,0,0.15,0.213
