,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.05, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9500351072950747,53.01087647244585,0.019846600538419832,26.1463623046875,36.339148781516336,0.9516874241580913,0.7907574306958901,-46.108937051619606,0.01821427633885462,-22.869351196289063,-33.267729506059126,0.7983684669967902,2,2,3,4,2,4,1,0,0,0,0,1,2
<catboost.core.CatBoostRegressor object at 0x000001DF8A0270A0>,0.9482684419207564,53.93991835114947,0.02282487834568881,36.23039436624936,40.41830547088707,0.9517297474153719,0.7937287014906439,-48.818213032311576,0.025849644532465875,-24.10342583705306,-33.8601191077463,0.8151586246012869,3,3,5,9,5,3,0,1,4,1,1,0,7
"ExtraTreesRegressor(max_depth=10, n_estimators=41, n_jobs=-4)",0.9542582027424713,50.72115301775074,0.024985803343962748,17.095528455284466,34.37166789849715,0.9546719039344618,0.7448311926948442,-49.28678947196347,0.023788381789661837,-25.2551025938831,-34.5163191582051,0.7757556221319776,1,1,6,1,0,1,3,2,2,2,2,3,14
"GradientBoostingRegressor(learning_rate=0.09, max_depth=7, n_estimators=650,
                          subsample=0.6)",0.9554913075257991,50.03281328118159,0.018400480419949475,23.918536947758525,35.34435004009805,0.9587755426916906,0.7406910063993561,-52.5811622158447,0.02127110274382946,-26.652778836198525,-37.30559590916004,0.7825430461996186,0,0,1,3,1,0,4,3,1,3,3,2,16
"RandomForestRegressor(max_depth=14, n_estimators=350)",0.9471444824570731,54.52273965187891,0.020947057884371376,27.47142857142859,37.91748917748917,0.9536199193684642,0.7498727005221751,-59.078008387514636,0.02851152132034842,-31.39642857142856,-41.502606060606055,0.76034436336475,4,4,4,6,3,2,2,4,5,5,5,5,26
AdaBoostRegressor(loss='square'),0.9371074804271091,59.4746646677765,0.019832808578452828,33.363636363636374,45.08979247347169,0.9437351541154324,0.5905098332043581,-59.677951634792514,0.025642127311815414,-36.16506582316005,-42.95772192898634,0.7739480269051876,5,5,2,8,6,5,8,5,3,7,6,4,33
"SVR(C=1.6, cache_size=2000, epsilon=0.09, gamma=4, kernel='poly')",0.9125279174200782,70.14023853997682,0.3288741861918843,22.812638434818155,46.15163542965335,0.9148529904105218,0.7254903568262947,-59.91290101035993,0.0860622308914118,-28.213073613501724,-41.34876277330161,0.7402590972996844,9,9,13,2,9,9,5,6,13,4,4,7,39
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=500)",0.9361852106693341,59.90915239926913,0.0446954549930597,30.172899999999913,45.256509090909084,0.9390956755110585,0.7131697592385517,-64.03883691307087,0.05019819240914867,-42.85936142857142,-49.40609440692641,0.743144577220592,6,6,7,7,7,6,6,7,8,9,8,6,44
"MLPRegressor(alpha=0.1, hidden_layer_sizes=(60, 8), max_iter=60, solver='lbfgs')",0.9164042951259949,68.5684744745236,0.04948377214709619,13.454424021381442,38.36725954671556,0.9171540657767318,0.6976235147234753,-65.2841616787069,0.07488733027939293,-32.475254349936826,-45.74725897636631,0.6931202352023806,8,8,8,0,4,8,7,8,12,6,7,8,48
"DecisionTreeRegressor(max_depth=10, min_samples_leaf=2)",0.9168991186311656,68.36523645505483,0.01796426533003473,26.5,45.89393939393939,0.9242684859705903,0.48423163005170167,-82.23327775114505,0.05001740574816483,-39.075,-55.258636363636356,0.46827370711861027,7,7,0,5,8,7,9,12,7,8,9,12,57
"Lasso(alpha=0.1, max_iter=4000)",0.8441964609195926,93.60976704986808,0.08974048365024921,50.767662504683585,64.38165240632405,0.8518998349479434,0.3404560050952868,-77.52653302832924,0.05350735770196427,-54.65982453177811,-60.937949460439825,0.6654201631703394,11,11,10,12,10,11,10,9,9,13,11,9,61
"Ridge(alpha=0.01, solver='sag')",0.8422096620340376,94.2047298425455,0.0917290050036406,50.78297935317062,64.90707302682432,0.850181576899575,0.33659211837942826,-77.573444803229,0.05448980635566959,-54.50276427486407,-60.94776089664081,0.6652746981791167,12,12,11,13,11,12,11,10,10,11,12,10,64
LinearRegression(positive=True),0.8412213752132941,94.49928516443859,0.09190440319193928,50.082643547337284,64.92142046987767,0.8491226984229309,0.3345113868264258,-77.66624524571533,0.0550020835482417,-54.58269748422119,-60.93001071011342,0.6640160954679952,13,13,12,10,12,13,12,11,11,12,10,11,67
"LGBMRegressor(learning_rate=0.11, max_depth=1, n_estimators=650, num_leaves=5)",0.8530555485574566,90.90946484916627,0.06262730240366676,50.681162076486544,68.06531388236564,0.865305862132132,-0.14849648082540937,-86.07203068951253,0.049614991924982116,-53.24946160512845,-66.86010174315066,0.446259193791677,10,10,9,11,13,10,13,13,6,10,13,13,68
