,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.07, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=500, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9141378683061436,64.2877628646136,0.02685839560485954,30.59210205078125,46.085669608738115,0.9141999722134795,0.9519669217573152,-39.94611379260834,0.013038304640973657,-22.62132110595703,-29.357485274887086,0.9539488424452672,5,5,4,7,5,5,0,0,0,0,0,0,0
"GradientBoostingRegressor(learning_rate=0.07, n_estimators=200, subsample=0.6)",0.9244799611409132,60.29184614765833,0.022699624747545614,26.892531047968447,40.7797653115223,0.9250578956574986,0.9403030652202642,-44.53025969331305,0.018001187665159502,-23.730693884583527,-35.87933105680246,0.9365833404782871,2,2,1,1,2,2,1,1,1,1,2,2,8
<catboost.core.CatBoostRegressor object at 0x000001D5D602B310>,0.9161716009383446,63.52183947295548,0.03438804162503438,28.46353914111839,45.122724205543456,0.9164953181677234,0.9376010132446504,-46.707558689551924,0.02478032828714298,-24.04481228527636,-32.21750467338876,0.941337715227578,4,4,6,3,4,4,2,2,3,3,1,1,12
"ExtraTreesRegressor(max_depth=25, n_estimators=41, n_jobs=-4)",0.9241504729352306,60.423227379565944,0.024733841868323222,23.459756097560984,41.13768822905621,0.9245145436404966,0.9233869362257169,-50.07323627843737,0.024453534898429174,-24.028426829268284,-36.78098810975609,0.9322901385083229,3,3,3,0,3,3,3,3,2,2,3,3,16
"RandomForestRegressor(max_depth=18, n_estimators=350)",0.9283118608797404,58.742325227793984,0.022447844772016314,27.834214285714225,40.58857142857149,0.9287186617108714,0.9033050852706932,-55.63504884593547,0.02627550272612772,-29.58474285714292,-39.55670165476189,0.917232088605453,1,1,0,2,1,1,5,5,4,4,4,4,26
"LGBMRegressor(learning_rate=0.07, max_depth=19, n_estimators=500, num_leaves=5)",0.8982947348888659,69.96795778492282,0.03880009794907767,42.65265746607243,53.26499158294278,0.8985210633647605,0.9085347723520825,-55.35332041211609,0.04205236317589886,-36.30733383294177,-41.55556094996241,0.9133785545429246,8,8,7,9,8,8,4,4,7,6,5,5,31
"AdaBoostRegressor(loss='square', n_estimators=80)",0.9132108620009057,64.6338710312881,0.02909117690008568,29.280361757105936,46.51814928038538,0.9134061673671998,0.8899953846644767,-59.970517121270845,0.03144354034898602,-37.54500831838605,-44.23971793478389,0.9110643528192626,6,6,5,4,6,6,6,6,5,7,6,6,36
DecisionTreeRegressor(max_depth=5),0.9350936612392406,55.894752304057604,0.023674513573301737,30.42416666666665,40.18821475625823,0.9350965080980865,0.8663715689179098,-65.61121061785667,0.04733901069583793,-32.769083916083915,-46.8234035495523,0.8690562706889112,0,0,2,6,0,0,8,7,8,5,7,10,45
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.9007678374168894,69.11203929512527,0.04570151066698176,34.60179999999997,48.86577805383023,0.9007692883094628,0.8585709437762237,-67.06053973026702,0.05690998015806547,-47.84778999999999,-51.105837049603174,0.880433239440109,7,7,8,8,7,7,9,8,9,9,8,8,51
"MLPRegressor(hidden_layer_sizes=(60, 8), max_iter=60, solver='lbfgs')",0.8181083262156803,93.56940967986807,0.07606420579052141,46.5363228306617,68.50261687415443,0.8190780013443342,0.8709262245433539,-68.30604768602036,0.03853741976296127,-79.0449130132168,-51.36685085045815,0.8888820968289167,13,13,13,10,10,13,7,9,6,13,9,7,51
"SVR(C=1.6, cache_size=4000, epsilon=0.09, gamma=4, kernel='poly')",0.8838646378285823,74.76695938883442,0.05046700344657677,30.384587534364982,55.372807873710876,0.885175317766033,0.8434847048295125,-71.14091660228152,0.22052706462095115,-39.94486552935721,-52.322018067465535,0.8697337637896145,9,9,9,5,9,9,10,10,13,8,10,9,60
"Lasso(alpha=0.1, max_iter=4000)",0.8206746961172069,92.90696380759925,0.06416326852267006,52.8062655745174,71.21889103701135,0.8209931658100046,0.7690026414696154,-86.2389110910874,0.0904430251495718,-56.85305188217543,-68.59183449932337,0.8076292308628916,11,11,10,13,12,11,11,11,11,10,11,12,66
Ridge(solver='sag'),0.8330455507025329,89.64508401282836,0.06607323205262873,51.295786326115945,70.96072171420505,0.8333301594418483,0.7671444321868424,-86.29126343177664,0.07523285816417223,-63.08453695176735,-70.5286295786079,0.8079422350369108,10,10,12,11,11,10,12,12,10,12,12,11,69
LinearRegression(),0.8200496440042322,93.06874013655026,0.06430688603473507,52.80284827174995,71.30210705040261,0.8204113011918853,-2.546974424248414,-292.63819488367545,0.16833330856712075,-57.15825426831234,-99.90076948826683,-2.2695636551640543,12,12,11,12,13,12,13,13,12,11,13,13,75
