,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni
0,0,699.0,0.34,0.17,0.34,0.0,0.05,0.1
1,1,728.0,0.47,0.14,0.15,0.05,0.13,0.06
2,2,604.0,0.38,0.11,0.06,0.09,0.31,0.05
3,3,790.0,0.36,0.1,0.31,0.06,0.09,0.08
4,4,806.0,0.43,0.17,0.15,0.0,0.14,0.11
5,5,811.0,0.47,0.12,0.12,0.05,0.13,0.11
6,6,855.0,0.43,0.19,0.19,0.0,0.11,0.08
7,7,802.0,0.39,0.1,0.31,0.05,0.08,0.07
8,8,799.0,0.47,0.13,0.13,0.05,0.12,0.1
9,9,857.0,0.43,0.2,0.22,0.0,0.08,0.07
10,10,855.0,0.47,0.14,0.19,0.05,0.1,0.05
11,11,816.0,0.43,0.2,0.19,0.0,0.09,0.09
12,12,811.0,0.46,0.14,0.23,0.05,0.07,0.05
13,13,790.0,0.44,0.14,0.22,0.05,0.09,0.06
14,14,855.0,0.43,0.19,0.24,0.0,0.08,0.06
15,15,856.0,0.43,0.18,0.24,0.0,0.1,0.05
16,16,859.0,0.47,0.14,0.2,0.05,0.09,0.05
17,17,875.0,0.43,0.24,0.22,0.0,0.05,0.06
18,18,865.0,0.43,0.25,0.22,0.0,0.05,0.05
19,19,868.0,0.43,0.24,0.23,0.0,0.05,0.05
20,20,863.0,0.43,0.23,0.21,0.0,0.08,0.05
21,21,843.0,0.47,0.12,0.2,0.05,0.11,0.05
22,22,794.0,0.43,0.15,0.17,0.05,0.14,0.06
23,23,783.0,0.42,0.1,0.3,0.05,0.07,0.06
24,24,797.0,0.47,0.11,0.22,0.05,0.1,0.05
25,25,805.0,0.47,0.13,0.2,0.05,0.1,0.05
26,26,699.0,0.29,0.22,0.34,0.0,0.05,0.1
27,27,749.0,0.47,0.07,0.16,0.09,0.16,0.05
28,28,828.0,0.43,0.14,0.21,0.05,0.12,0.05
29,29,849.0,0.47,0.18,0.15,0.05,0.1,0.05
30,30,883.0,0.47,0.2,0.18,0.05,0.05,0.05
31,31,864.0,0.43,0.18,0.2,0.0,0.12,0.07
32,32,841.0,0.47,0.17,0.16,0.05,0.1,0.05
33,33,840.0,0.46,0.21,0.18,0.05,0.05,0.05
34,34,882.0,0.43,0.22,0.22,0.0,0.08,0.05
35,35,883.0,0.43,0.22,0.23,0.0,0.07,0.05
36,36,828.0,0.43,0.2,0.21,0.0,0.09,0.07
37,37,848.0,0.43,0.22,0.25,0.0,0.05,0.05
38,38,878.0,0.47,0.19,0.19,0.05,0.05,0.05
39,39,782.0,0.43,0.29,0.18,0.0,0.05,0.05
40,40,473.0,0.182,0.091,0.182,0.182,0.182,0.182
41,41,367.0,0.182,0.182,0.091,0.182,0.182,0.182
42,42,418.0,0.182,0.182,0.182,0.182,0.091,0.182
43,43,423.0,0.182,0.182,0.182,0.182,0.182,0.091
44,44,168.0,0.053,0.211,0.211,0.0,0.263,0.263
45,45,225.0,0.125,0.125,0.125,0.0,0.125,0.5
46,46,143.0,0.0,0.0,0.25,0.25,0.25,0.25
47,47,146.0,0.0,0.05,0.238,0.238,0.238,0.238
48,48,150.0,0.0,0.1,0.225,0.225,0.225,0.225
49,49,158.0,0.0,0.15,0.213,0.213,0.213,0.213
50,50,175.0,0.0,0.333,0.167,0.167,0.167,0.167
51,51,154.0,0.0,0.25,0.0,0.25,0.25,0.25
52,52,153.0,0.0,0.238,0.05,0.238,0.238,0.238
53,53,158.0,0.0,0.225,0.1,0.225,0.225,0.225
54,54,161.0,0.0,0.213,0.15,0.213,0.213,0.213
55,55,172.0,0.0,0.167,0.333,0.167,0.167,0.167
56,56,183.0,0.0,0.25,0.25,0.25,0.0,0.25
57,57,182.0,0.0,0.238,0.238,0.238,0.05,0.238
58,58,172.0,0.0,0.225,0.225,0.225,0.1,0.225
59,59,171.0,0.0,0.213,0.213,0.213,0.15,0.213
60,60,157.0,0.0,0.167,0.167,0.167,0.333,0.167
61,61,170.0,0.0,0.225,0.225,0.225,0.225,0.1
62,62,167.0,0.0,0.213,0.213,0.213,0.213,0.15
63,63,158.0,0.0,0.167,0.167,0.167,0.167,0.333
64,64,140.0,0.0,0.267,0.267,0.0,0.267,0.2
65,65,125.0,0.0,0.2,0.2,0.0,0.2,0.4
66,66,242.0,0.143,0.143,0.143,0.0,0.143,0.429
67,67,265.0,0.154,0.154,0.154,0.0,0.154,0.385
68,68,335.0,0.167,0.167,0.167,0.0,0.167,0.333
69,69,170.0,0.0,0.283,0.283,0.0,0.283,0.15
70,70,475.0,0.05,0.317,0.317,0.0,0.317,0.0
71,71,620.0,0.1,0.3,0.3,0.0,0.3,0.0
72,72,503.0,0.182,0.182,0.182,0.0,0.182,0.273
73,73,555.0,0.213,0.213,0.213,0.0,0.213,0.15
74,74,548.0,0.225,0.225,0.225,0.0,0.225,0.1
75,75,615.0,0.238,0.238,0.238,0.0,0.238,0.05
76,76,720.0,0.25,0.25,0.25,0.0,0.25,0.0
77,77,550.0,0.238,0.05,0.238,0.0,0.238,0.238
78,78,539.0,0.225,0.1,0.225,0.0,0.225,0.225
79,79,532.0,0.167,0.333,0.167,0.0,0.167,0.167
80,80,438.0,0.238,0.238,0.05,0.0,0.238,0.238
81,81,476.0,0.225,0.225,0.1,0.0,0.225,0.225
82,82,510.0,0.213,0.213,0.15,0.0,0.213,0.213
83,83,617.0,0.167,0.167,0.333,0.0,0.167,0.167
84,84,712.0,0.25,0.25,0.25,0.0,0.0,0.25
85,85,665.0,0.238,0.238,0.238,0.0,0.05,0.238
86,86,587.0,0.225,0.225,0.225,0.0,0.1,0.225
87,87,558.0,0.213,0.213,0.213,0.0,0.15,0.213
88,88,510.0,0.167,0.167,0.167,0.0,0.333,0.167
89,89,655.0,0.15,0.283,0.283,0.0,0.283,0.0
90,90,695.0,0.2,0.267,0.267,0.0,0.267,0.0
91,91,775.0,0.4,0.2,0.2,0.0,0.2,0.0
