,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni
0,0,473,0.182,0.091,0.182,0.182,0.182,0.182
1,1,367,0.182,0.182,0.091,0.182,0.182,0.182
2,2,418,0.182,0.182,0.182,0.182,0.091,0.182
3,3,423,0.182,0.182,0.182,0.182,0.182,0.091
4,4,168,0.053,0.211,0.211,0.0,0.263,0.263
5,5,225,0.125,0.125,0.125,0.0,0.125,0.5
6,6,143,0.0,0.0,0.25,0.25,0.25,0.25
7,7,146,0.0,0.05,0.238,0.238,0.238,0.238
8,8,150,0.0,0.1,0.225,0.225,0.225,0.225
9,9,158,0.0,0.15,0.213,0.213,0.213,0.213
10,10,175,0.0,0.333,0.167,0.167,0.167,0.167
11,11,154,0.0,0.25,0.0,0.25,0.25,0.25
12,12,153,0.0,0.238,0.05,0.238,0.238,0.238
13,13,158,0.0,0.225,0.1,0.225,0.225,0.225
14,14,161,0.0,0.213,0.15,0.213,0.213,0.213
15,15,172,0.0,0.167,0.333,0.167,0.167,0.167
16,16,183,0.0,0.25,0.25,0.25,0.0,0.25
17,17,182,0.0,0.238,0.238,0.238,0.05,0.238
18,18,172,0.0,0.225,0.225,0.225,0.1,0.225
19,19,171,0.0,0.213,0.213,0.213,0.15,0.213
20,20,157,0.0,0.167,0.167,0.167,0.333,0.167
21,21,170,0.0,0.225,0.225,0.225,0.225,0.1
22,22,167,0.0,0.213,0.213,0.213,0.213,0.15
23,23,158,0.0,0.167,0.167,0.167,0.167,0.333
24,24,140,0.0,0.267,0.267,0.0,0.267,0.2
25,25,125,0.0,0.2,0.2,0.0,0.2,0.4
26,26,242,0.143,0.143,0.143,0.0,0.143,0.429
27,27,265,0.154,0.154,0.154,0.0,0.154,0.385
28,28,335,0.167,0.167,0.167,0.0,0.167,0.333
29,29,170,0.0,0.283,0.283,0.0,0.283,0.15
30,30,475,0.05,0.317,0.317,0.0,0.317,0.0
31,31,620,0.1,0.3,0.3,0.0,0.3,0.0
32,32,503,0.182,0.182,0.182,0.0,0.182,0.273
33,33,555,0.213,0.213,0.213,0.0,0.213,0.15
34,34,548,0.225,0.225,0.225,0.0,0.225,0.1
35,35,615,0.238,0.238,0.238,0.0,0.238,0.05
36,36,720,0.25,0.25,0.25,0.0,0.25,0.0
37,37,550,0.238,0.05,0.238,0.0,0.238,0.238
38,38,539,0.225,0.1,0.225,0.0,0.225,0.225
39,39,532,0.167,0.333,0.167,0.0,0.167,0.167
