,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"ExtraTreesRegressor(max_depth=25, n_estimators=41, n_jobs=-5)",0.8996453880751196,58.432397765805035,0.019043488225699463,24.292682926829286,41.18318629994811,0.9010295668067357,0.6156221305614855,-68.5566247538507,0.03279584656792819,-42.33048780487803,-51.56715447154471,0.7366756964911092,3,3,1,1,2,3,0,0,0,0,0,0,0
"RandomForestRegressor(max_depth=14, n_estimators=50)",0.8949050061466014,59.79653991026037,0.021820117691980043,28.319999999999993,42.78005319148936,0.896063690826373,0.6029352587524968,-77.38588474325954,0.04167870155984312,-47.07628571428572,-58.32383244047619,0.6941730335260251,4,4,4,3,3,4,2,3,3,1,3,2,14
"AdaBoostRegressor(loss='square', n_estimators=140)",0.8679710651080734,67.0223420430123,0.026508447188983143,40.75,49.144110947970795,0.874126897746661,0.6059534961503996,-73.86969973560977,0.047328258627993544,-48.66442891637733,-59.01235463438335,0.6961617910754422,8,8,6,8,7,8,1,1,4,4,4,1,15
"GradientBoostingRegressor(learning_rate=0.05, max_depth=5, n_estimators=200,
                          subsample=0.6)",0.9152815506099008,53.68760605574286,0.01633117252109845,25.26008554428546,39.259180627084426,0.9175385200116948,0.5768908527423212,-75.1618019342472,0.03979796284834146,-50.23468294066937,-57.08706682589425,0.6750635790615078,0,0,0,2,0,0,3,2,2,5,1,4,17
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.09, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=350, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.8922584252274655,60.54477916621527,0.021883414007695178,33.68841552734375,44.56846326462766,0.8930229437466053,0.5299123517967279,-78.06829518382898,0.03856362113416023,-47.39030990600586,-58.09230025291443,0.665968404562885,5,5,5,4,4,6,5,5,1,2,2,5,20
"LGBMRegressor(learning_rate=0.05, max_depth=19, n_estimators=500, num_leaves=8)",0.8859937432711265,62.28011174654885,0.020606278119809557,37.01451625189793,46.51507187502291,0.8939606727091024,0.5358697909316676,-77.80367867707103,0.04886178304965928,-51.95740879528633,-60.043889165739984,0.6209173053548904,6,6,2,7,5,5,4,4,5,6,6,10,35
<catboost.core.CatBoostRegressor object at 0x0000028429CC5370>,0.9018284136735273,57.79336000431361,0.0211894515314375,22.035649304506364,40.78565342386207,0.9028529732548184,0.46821429440329654,-81.28422884658569,0.05005590978433155,-52.08473161747552,-59.36749355184827,0.6232577161043249,2,2,3,0,1,1,7,6,6,7,5,9,40
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(50, 9), max_iter=60,
             solver='lbfgs')",0.9019666844470822,57.752645839071654,0.04175076715350921,41.79569558073831,47.28986777539504,0.9022049470886118,0.5060780961124831,-81.65042410043527,0.062485178438657474,-48.1777701879635,-64.0073506988844,0.5503084174373672,1,1,8,9,6,2,6,7,8,3,7,13,44
"Lasso(alpha=0.5, max_iter=7000)",0.8421873166448866,73.27502784830652,0.042523018849268304,47.04070335821456,59.43052503195138,0.8441341638575788,0.4612436287332787,-89.58148655849153,0.06787574011073529,-63.17425343771496,-71.81437306799072,0.6608750641835232,12,12,9,11,11,12,8,8,9,9,9,6,49
"Ridge(alpha=0.1, solver='sag')",0.8427901342061551,73.1349448863995,0.04452955622729043,47.72165189561656,59.52886567273991,0.8447770306647334,0.4581743648642772,-89.96333634386912,0.06832446203789193,-63.47906589450614,-72.2050558920829,0.6585051801765819,11,11,10,12,12,10,9,9,10,10,10,7,55
"DecisionTreeRegressor(max_depth=10, min_samples_leaf=4, min_samples_split=5)",0.8298746545913935,76.07983288255974,0.02762974480045233,34.0,53.65856129685916,0.8345311863427269,0.4125802061948883,-90.55628753283767,0.05970809193014177,-52.32428571428572,-70.39371626984126,0.5753532003664756,13,13,7,5,9,13,11,10,7,8,8,12,56
LinearRegression(positive=True),0.8430574714696462,73.07273500223927,0.04710448988569625,44.83029939959556,59.620338872845174,0.8447719629111753,0.4524386664523964,-90.8413851088104,0.06929514172823001,-63.943971000365664,-72.89882342336884,0.6507717403063858,10,10,12,10,13,11,10,11,11,11,11,8,62
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=500)",0.8602491012051013,68.95445731196678,0.04559149557527319,49.755666666666656,56.74538014184402,0.8604099794601932,0.3999711316475413,-91.44477534991,0.08285488419068253,-75.2934888095238,-77.68344197817461,0.6817274254280234,9,9,11,13,10,9,12,12,12,13,13,3,65
"SVR(C=1.3, cache_size=2000, epsilon=0.09, gamma=4, kernel='poly')",0.8792603525453684,64.09291021461043,0.06718632613248599,35.343365111376215,49.78913563476443,0.8803666395232936,0.3697758658136351,-97.67943890660922,0.13425003298035962,-66.75360060735417,-73.25049973353305,0.6110650040473492,7,7,13,6,8,7,13,13,13,12,12,11,74
