,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"ExtraTreesRegressor(max_depth=25, n_estimators=21, n_jobs=-2)",0.9504483962704569,52.85868589034889,0.01823555931617018,28.285714285714278,38.3331029185868,0.9505615592464333,0.8101125219671031,-62.95716185182155,0.026390624637595943,-39.3145238095238,-46.56619387755102,0.848737100447648,0,0,0,1,0,0,0,0,0,0,0,0,0
"GradientBoostingRegressor(learning_rate=0.07, max_depth=7, n_estimators=650,
                          subsample=0.6)",0.9364505681183299,59.86091359801629,0.02860892224055441,25.186810649258348,44.07659368756831,0.9364888523842778,0.7984971957708062,-66.69278509163725,0.03278957294479944,-40.92316121522083,-49.66146229425112,0.8410387078822266,2,2,3,0,3,2,2,1,2,1,1,1,8
"RandomForestRegressor(max_depth=26, min_samples_leaf=2, n_estimators=500)",0.9322150161255316,61.82359467319375,0.028458426312564466,30.00629484126968,47.08135787448214,0.9322710535641312,0.7995780267944549,-68.3599502462822,0.03152471164708043,-44.04215628823935,-49.75938403559917,0.8326494580873508,5,5,2,3,5,5,1,2,1,5,2,2,13
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=500, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9335388487590759,61.21691426141065,0.025697782005884656,29.060317993164062,43.46926825738723,0.9349148980263721,0.777786310640659,-70.79684141256584,0.03873415072339811,-44.797994995117186,-52.69035753922235,0.7991328192137239,4,4,1,2,1,3,3,4,3,6,3,6,25
<catboost.core.CatBoostRegressor object at 0x0000028429DAF430>,0.93808108924245,59.08798206677689,0.032321600184100734,31.50448978841655,43.48369223750014,0.9381051371834943,0.7492563233492693,-71.58361600166337,0.04535449853606899,-42.70837078258972,-53.271265411372255,0.8164918484163177,1,1,4,4,2,1,6,5,6,2,4,4,27
"AdaBoostRegressor(loss='square', n_estimators=110)",0.9235098478393692,65.67351585024683,0.035754968557350754,45.18107142857143,54.124246527084345,0.9235929051112021,0.7689881052097631,-70.12743211588253,0.039491545898091986,-47.832855143764434,-57.03747909099371,0.8251297554261854,6,6,5,8,6,6,4,3,4,7,8,3,29
"LGBMRegressor(learning_rate=0.11, max_depth=13, n_estimators=500, num_leaves=8)",0.9338312600760357,61.08209677033842,0.042640548614549766,36.329463683766306,46.817407852334,0.9339583095538709,0.7607523083617262,-73.01953088837725,0.0446756075487563,-43.710889265797825,-54.394691468710484,0.8070304700724616,3,3,6,5,4,4,5,6,5,4,5,5,30
"DecisionTreeRegressor(max_depth=20, min_samples_leaf=2)",0.880703755635515,82.0164354595094,0.05606446634048199,40.416666666666686,58.97069892473118,0.882105217341295,0.6745910878486989,-80.69940894435507,0.04549016391457333,-43.49833333333333,-56.1245753968254,0.7206290497480716,10,10,9,7,9,10,10,9,7,3,7,10,46
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.9105566517085025,71.01687025552928,0.04956090117069124,49.97133333333335,56.69568279569891,0.9106047450097055,0.7193133137315999,-76.26886822899974,0.06329349009664294,-55.510966666666675,-60.05140157256235,0.7885892042047674,7,7,7,9,8,7,8,7,11,9,9,7,51
"MLPRegressor(hidden_layer_sizes=(50, 9), max_iter=60, solver='lbfgs')",0.8860448614017968,80.15940066280076,0.055096648760893145,51.32947681820755,62.45932094782481,0.8861771497623346,0.7316964149335761,-76.77615069487432,0.07359305594360734,-59.40424688155667,-55.82975678010895,0.7306977759627951,9,9,8,11,10,9,7,8,12,13,6,9,55
"SVR(C=1.6, cache_size=3000, epsilon=0.01, gamma=4, kernel='poly')",0.9077339144924228,72.128774325259,0.06438742357193337,40.21618188558219,56.61114135262946,0.9092449025268947,0.6960139731986188,-83.77300029306146,0.09986829465973378,-53.65987362635194,-61.65459954154609,0.7599494096016852,8,8,13,6,7,8,9,13,13,8,10,8,61
"Lasso(alpha=0.2, max_iter=4000)",0.8799026511060126,82.29135527273677,0.0593375225981082,52.77561064555448,65.55943523255954,0.8801344259896147,0.5716611471865927,-82.5880158820543,0.059003555236506335,-57.25607109302841,-64.66486940633754,0.6900809881000136,11,11,10,12,12,11,11,10,8,11,11,11,62
"Ridge(alpha=0.1, solver='sag')",0.8794398860831413,82.44974739098872,0.05972271694436598,53.14871923940257,65.71646815015077,0.8796999186252552,0.5683402926165425,-82.80162108829636,0.05943158371685053,-57.53721446482721,-64.92058280922356,0.6887859293078162,12,12,11,13,13,12,12,11,9,12,12,12,68
LinearRegression(positive=True),0.8768047746595816,83.34593877929981,0.06262959078573954,51.19004140578045,65.52587625028704,0.8772155323349963,0.546433711202654,-83.70507457542563,0.060658667470759146,-57.01009990510547,-65.56260404166831,0.6806300382382816,13,13,12,10,11,13,13,12,10,10,13,13,71
