,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni
0,0,486.0,0.208,0.0,0.208,0.208,0.208,0.167
1,1,469.0,0.11,0.0,0.28,0.27,0.06,0.28
2,2,358.0,0.167,0.167,0.167,0.083,0.167,0.25
3,3,477.0,0.11,0.0,0.28,0.29,0.07,0.25
4,4,140.0,0.0,0.267,0.267,0.0,0.267,0.2
5,5,567.0,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0.0
6,6,167.0,0.0,0.213,0.213,0.213,0.213,0.15
7,7,494.0,0.217,0.0,0.217,0.217,0.217,0.13
8,8,550.0,0.238,0.05,0.238,0.0,0.238,0.238
9,9,273.0,0.138,0.172,0.172,0.172,0.172,0.172
10,10,538.0,0.179,0.205,0.205,0.0,0.205,0.205
11,11,182.0,0.0,0.238,0.238,0.238,0.05,0.238
12,12,265.0,0.154,0.154,0.154,0.0,0.154,0.385
13,13,423.0,0.182,0.182,0.182,0.182,0.182,0.091
14,14,557.0,0.310344828,0.172413793,0.172413793,0.172413793,0.172413793,0.0
15,15,531.0,0.238,0.048,0.0,0.238,0.238,0.238
16,16,534.0,0.222,0.0,0.222,0.111,0.222,0.222
17,17,482.0,0.31,0.172,0.172,0.0,0.172,0.172
18,18,609.0,0.308,0.154,0.154,0.077,0.154,0.154
19,19,694.0,0.429,0.071,0.143,0.071,0.143,0.143
20,20,503.0,0.182,0.182,0.182,0.0,0.182,0.273
21,21,510.0,0.167,0.167,0.167,0.0,0.333,0.167
22,22,172.0,0.0,0.167,0.333,0.167,0.167,0.167
23,23,603.0,0.315,0.137,0.137,0.137,0.137,0.137
24,24,158.0,0.0,0.225,0.1,0.225,0.225,0.225
25,25,110.0,0.059,0.235,0.235,0.0,0.235,0.235
26,26,584.0,0.222,0.222,0.0,0.111,0.222,0.222
27,27,366.0,0.182,0.273,0.0,0.182,0.182,0.182
28,28,735.0,0.375,0.125,0.125,0.125,0.125,0.125
29,29,512.0,0.333333333,0.166666667,0.166666667,0.0,0.166666667,0.166666667
30,30,162.0,0.038,0.0,0.192,0.192,0.192,0.385
31,31,150.0,0.0,0.1,0.225,0.225,0.225,0.225
32,32,183.0,0.0,0.25,0.25,0.25,0.0,0.25
33,33,476.0,0.245283019,0.188679245,0.188679245,0.188679245,0.188679245,0.0
34,34,536.0,0.2,0.2,0.0,0.2,0.2,0.2
35,35,532.0,0.167,0.333,0.167,0.0,0.167,0.167
36,36,537.0,0.167,0.167,0.167,0.083,0.25,0.167
37,37,539.0,0.225,0.1,0.225,0.0,0.225,0.225
38,38,382.0,0.167,0.208,0.208,0.0,0.208,0.208
39,39,418.0,0.182,0.182,0.182,0.182,0.091,0.182
40,40,576.0,0.286,0.143,0.143,0.143,0.143,0.143
41,41,149.0,0.07,0.0,0.233,0.0,0.233,0.465
42,42,639.0,0.222,0.222,0.222,0.111,0.222,0.0
43,43,615.0,0.238,0.238,0.238,0.0,0.238,0.05
44,44,175.0,0.0,0.333,0.167,0.167,0.167,0.167
45,45,479.0,0.231,0.192,0.192,0.0,0.192,0.192
46,46,617.0,0.167,0.167,0.333,0.0,0.167,0.167
47,47,388.0,0.158,0.211,0.211,0.0,0.211,0.211
48,48,438.0,0.238,0.238,0.05,0.0,0.238,0.238
49,49,207.0,0.091,0.182,0.182,0.182,0.182,0.182
50,50,580.0,0.23,0.15,0.23,0.08,0.15,0.16
51,51,135.0,0.077,0.308,0.0,0.0,0.308,0.308
52,52,624.0,0.384615385,0.153846154,0.153846154,0.153846154,0.153846154,0.0
53,53,441.0,0.1,0.0,0.35,0.24,0.05,0.26
54,54,139.0,0.0,0.25,0.25,0.0,0.25,0.25
55,55,408.0,0.192,0.0,0.192,0.192,0.192,0.231
56,56,629.0,0.28,0.1,0.27,0.1,0.05,0.2
57,57,290.0,0.123,0.0,0.175,0.175,0.175,0.351
58,58,657.0,0.411764706,0.147058824,0.147058824,0.147058824,0.147058824,0.0
